Brix,Density,KgSolids
0,0.99717,0
1,1.00106,0.01
2,1.00495,0.0201
3,1.00887,0.0303
4,1.01282,0.0405
5,1.0168,0.0508
6,1.0208,0.0612
7,1.02483,0.0717
8,1.02888,0.0823
9,1.03297,0.093
10,1.03709,0.1037
11,1.04123,0.1145
12,1.04541,0.1254
13,1.04961,0.1364
14,1.05385,0.1475
15,1.05811,0.1587
16,1.06241,0.17
17,1.06674,0.1813
18,1.0711,0.1928
19,1.07546,0.2043
20,1.07991,0.216
21,1.08436,0.2277
22,1.08885,0.2396
23,1.09337,0.2515
24,1.09792,0.2635
25,1.10251,0.2756
26,1.10713,0.2879
27,1.11178,0.3002
28,1.11647,0.3126
29,1.12119,0.3251
30,1.12594,0.3378
31,1.13073,0.3505
32,1.13555,0.3634
33,1.14041,0.3763
34,1.1453,0.3894
35,1.15024,0.4026
36,1.1552,0.4159
37,1.1602,0.4293
38,1.16523,0.4428
39,1.1703,0.4564
40,1.17541,0.4702
41,1.18056,0.484
42,1.18574,0.498
43,1.19069,0.512
44,1.19622,0.5263
45,1.20151,0.5407
46,1.20684,0.5551
47,1.21221,0.5697
48,1.21761,0.5845
49,1.22306,0.5993
50,1.22854,0.6143
