gel-well#,plate#,well#,PlantID,LabID,Concentration in plate,Qubit ng/uL,260/280,260/230,dilution calculations:,vol.DNA(ul),vol.H20(ul),Gel?,Notes,Qubit redo0,Qubit redo1,Qubit redo2,Dilution,Qbit ng/uL of dilution,NOTES,Nanodrop concentration
,1,1A,JH0233,19_516,,361,1.85,2.31,,2.8,97.2,,faint band,282,3.5,96.5,,,,
,1,2A,KK0136,19_539,,12.8,1.82,1.44,,78.1,21.9,,faint band,,,,,,,
,1,3A,KK0132,19_542,,12.2,1.77,0.92,,82,18,,,,,,,,,
,1,4A,KK0162,19_557,,37.5,1.84,2.14,,26.7,73.3,,,,,,,,,
,1,5A,KK0169,19_560,,182,1.85,2.24,,5.5,94.5,,,,,,,,,
,1,6A,JH0171,19_589,,178,1.84,2.32,,5.6,94.4,,,,,,,,,
,1,7A,JH0251_007,21_292,,79.7,1.87,2.49,,12.5,87.5,,,,,,,,,
,1,8A,JH0251_009,21_293,,46.3,1.86,2.72,,21.6,78.4,,,,,,,,,
,1,9A,JH0251_011,21_294,,53,1.85,2.54,,18.9,81.1,,,,,,,,,
,1,10A,JH0251_012,21_295,,23.6,1.79,4.14,,42.4,57.6,,faint band; slight smear,32.8,30.5,69.5,,,,
,1,11A,JH0251_014,21_296,,59.3,1.87,2.6,,16.9,83.1,,,,,,,,,
,1,12A,JH0251_028,21_297,,30.8,1.86,2.57,,32.5,67.5,,Bright band,40.4,,292,,,,
,1,1B,JH0251_029,21_298,,32.8,1.85,2.58,,30.5,69.5,,,,,,,,,
,1,2B,62 x 62 -17,19_640,,161,1.88,2.28,,6.2,93.8,,,,,,,,,
,1,3B,62 x 62 -18,19_641,,223,1.89,2.23,,4.5,95.5,,,,,,,,,
,1,4B,62 x 62 -19,19_642,,189,1.89,2.3,,5.3,94.7,,,,,,,,,
,1,5B,62 x 62 -33,19_656,,24.2,1.77,2.14,,41.3,58.7,,,,,,,,,
,1,6B,62 x 62 -36,19_659,,54.9,1.81,2.3,,18.2,81.8,,,,,,,,,
,1,7B,62 x 62 -52,19_689,,13.5,1.86,1.54,,74.1,25.9,,,,,,,,,
,1,8B,62 x 62 -65,19_702,,38.8,1.91,2.11,,25.8,74.2,,,,,,,,,
,1,9B,62 x 62 -66,19_703,,53,1.85,2.15,,18.9,81.1,,,,,,,,,
,1,10B,62 x 62 -67,19_704,,12.7,1.9,1.43,,78.7,21.3,,,,,,,,,
,1,11B,62 x 62 -82,19_719,,25.5,1.76,1.7,,39.2,60.8,,,,,,,,,
,1,12B,62 x 62 -83,19_731,,145,1.88,2.24,,6.9,93.1,,faint band,29.8,33.6,66.4,,,,
,1,1C,62 x 62 -97,19_745,,152,1.87,2.19,,6.6,93.4,,,,,,,,,
,1,2C,62 x 62 -98,19_746,,225,1.89,2.33,,4.4,95.6,,,,,,,,,
,1,3C,62 x 62 -99,19_747,,54,1.88,2.01,,18.5,81.5,,,,,,,,,
,1,4C,62 x 62 -113,19_761,,89.2,1.86,2.01,,11.2,88.8,,,,,,,,,
,1,5C,62 x 62 -114,19_762,,82.9,1.86,2.07,,12.1,87.9,,,,,,,,,
,1,6C,62 x 62 -115,19_763,,200,1.88,2.17,,5,95,,,,,,,,,
,1,7C,62 x 62 -129,20_015,,165,1.93,2.44,,6.1,93.9,,,,,,,,,
,1,8C,62 x 62 -130,20_016,,135,1.93,2.4,,7.4,92.6,,,,,,,,,
,1,9C,62 x 62 -131,20_018,,190,1.9,2.41,,5.3,94.7,,,,,,,,,
,1,10C,62 x 62 -145,20_032,,18.6,1.9,1.49,,53.8,46.2,,,,,,,,,
,1,11C,62 x 62 -146,20_033,,18.5,1.98,1.68,,54.1,45.9,,,,,,,,,
,1,12C,62 x 62 -147,20_034,,57,1.89,2.1,,17.5,82.5,,,,,,,,,
,1,1D,62 x 62 -161,20_048,,52,1.83,1.95,,19.2,80.8,,,,,,,,,
,1,2D,62 x 62 -163,20_050,,26.8,1.77,1.67,,37.3,62.7,,,,,,,,,
,1,3D,62 x 62 -177,20_064,,57,1.84,2.01,,17.5,82.5,,,,,,,,,
,1,4D,62 x 62 -178,20_065,,40.7,1.82,1.8,,24.6,75.4,,,,,,,,,
,1,5D,62 x 62 -179,20_066,,33.9,1.85,1.81,,29.5,70.5,,,,,,,,,
,1,6D,62 x 62 -193,20_080,,70.8,1.84,1.99,,14.1,85.9,,,,,,,,,
,1,7D,62 x 62 -194,20_081,,143,1.88,2.09,,7,93,,,,,,,,,
,1,8D,62 x 62 -195,20_082,,50,1.86,2.03,,20,80,,,,,,,,,
,1,9D,62 x 62 -209,20_096,,156,1.83,2.02,,6.4,93.6,,,,,,,,,
,1,10D,62 x 62 -210,20_097,,150,1.83,2.07,,6.7,93.3,,,,,,,,,
,1,11D,62 x 62 -211,20_098,,76,1.83,1.86,,13.2,86.8,,slightly faint,32,31.3,68.8,,,,
,1,12D,62 x 62 -225,20_112,,59.8,1.85,2.26,,16.7,83.3,,,,,,,,,
,1,1E,62 x 62 -226,20_113,,60.4,1.83,2.07,,16.6,83.4,,,,,,,,,
,1,2E,62 x 62 -227,20_114,,43.6,1.75,1.57,,22.9,77.1,,faint band,22.8,43.9,56.1,,,,
,1,3E,62 x 62 -241,20_128,,67.8,1.83,2.05,,14.7,85.3,,,,,,,,,
,1,4E,62 x 62 -242,20_129,,59.4,1.86,2.24,,16.8,83.2,,,,,,,,,
,1,5E,62 x 62 -243,20_130,,63.2,1.87,2.29,,15.8,84.2,,,,,,,,,
,1,6E,62 x 62 -257,20_144,,67.8,1.8,1.86,,14.7,85.3,,,,,,,,,
,1,7E,62 x 62 -258,20_145,,67.8,1.83,2.14,,14.7,85.3,,,,,,,,,
,1,8E,62 x 62 -259,20_146,,76.4,1.83,1.92,,13.1,86.9,,,,,,,,,
,1,9E,62 x 62 -273,20_160,,104,1.88,2.24,,9.6,90.4,,,,,,,,,
,1,10E,62 x 62 -274,20_161,,51.8,1.9,2.04,,19.3,80.7,,faint band,29.3,34.1,65.9,,,,
,1,11E,62 x 62 -275,20_162,,97.4,1.88,2.28,,10.3,89.7,,,,,,,,,
,1,12E,62 x 62 -290,20_177,,77.6,1.87,2.09,,12.9,87.1,,,,,,,,,
,1,1F,62 x 62 -291,20_178,,70.8,1.87,2.17,,14.1,85.9,,,,,,,,,
,1,2F,62 x 62 -305,20_192,,81.4,1.83,1.86,,12.3,87.7,,faint band,44.6,22.4,77.6,,,,
,1,3F,62 x 62 -306,20_193,,48.8,1.75,1.23,,20.5,79.5,,faint band,19.3,51.8,48.2,,,,
,1,4F,62 x 62 -307,20_194,,40.8,1.72,1.36,,24.5,75.5,,faint band,12.2,82,18,,,,
