unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
39_10,31,5.39666666666667,TRUE,FALSE,0,0,45.22,24.98,-2.14,34.8,7.48,52.8,25.24,3.42,50.66,9.8,6.24,2.58,3.04,42.78,11.488,29.9,6.1697752
39_102,26,5.88,TRUE,TRUE,56.95,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.23,29,NA
39_104,66,6.82,TRUE,TRUE,NA,NA,46.5,29.4,-1.2,19,7.3,55.5,21.6,8.8,54.3,9.4,6.2,2.9,3,46,25.18,26,2.869524
39_108,42.6666666666667,5.40333333333333,TRUE,TRUE,NA,NA,44.5,24.5,0.64,31.6,6.48,49.32,20.56,4,49.96,8.84,5.62,2.94,2.84,41.7,11.6325,31.25,3.81906933333333
39_110,38.5,4.84,TRUE,FALSE,0,0,46.3666666666667,26.9,-0.9,16,7.83333333333333,51.7166666666667,24.25,5.86666666666667,50.8166666666667,8.68333333333333,6.28333333333333,2.71666666666667,2.56666666666667,40.7,9.753,31.7,5.205292
39_115,33.3333333333333,5.06666666666667,TRUE,TRUE,NA,NA,48.75,31.425,-2.85,19.5,9.3,58.9,30.275,3.925,56.05,11,6.9,3.15,2.85,47.625,22.3071428571429,31.1428571428571,5.28537085714286
39_116,42.2,4.592,TRUE,TRUE,2.1,4.16666666666667,46.4333333333333,29.8,-0.9,19.8333333333333,8.51666666666667,52.85,23.9833333333333,6.03333333333333,51.95,9.08333333333333,5.73333333333333,3.18333333333333,3.03333333333333,41.7166666666667,14.651,29.9,6.8761712
39_117,45.25,5.1725,TRUE,TRUE,81.85,8.85,47.8,32.54,-3.2,33.2,10.8,56.66,24.42,7.3,53.58,9.54,5.68,2.92,2.9,41.62,16.82,31.75,4.846001
39_122,29,5.875,TRUE,TRUE,57.85,6.25,43.68,28.1,-0.6,32.8,8.16,54.52,24.04,6.16,53.78,9.12,5.94,3,2.96,45.3,13.4225,32.25,1.636574
39_123,8,4.675,NA,TRUE,43.3,4.7,46.8,29.1,-3.95,20,7.95,54.925,27.825,8.775,50.95,10.575,5.825,2.65,2.425,41,10.349,35.2,2.5242704
