trait	perm_pheno_col	pheno_col_in_permutation_cross	model	method	n_perm	addcovar	file
INFA	2	1	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/01_INFA.rds
CAL	3	2	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/02_CAL.rds
VEFN	4	3	binary	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/03_VEFN.rds
VNG	5	4	binary	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/04_VNG.rds
RALA	6	5	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/05_RALA.rds
RAST	7	6	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/06_RAST.rds
COL	8	7	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/07_COL.rds
COLL	9	8	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/08_COLL.rds
STAE	10	9	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/09_STAE.rds
TUA	11	10	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/10_TUA.rds
STATL	12	11	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/11_STATL.rds
LABL	13	12	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/12_LABL.rds
LABW	14	13	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/13_LABW.rds
CLL	15	14	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/14_CLL.rds
STAL	16	15	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/15_STAL.rds
STAW	17	16	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/16_STAW.rds
ANL	18	17	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/17_ANL.rds
ANW	19	18	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/18_ANW.rds
STIW	20	19	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/19_STIW.rds
STYL	21	20	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/20_STYL.rds
VFN	22	21	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/21_VFN.rds
FNSC	23	22	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/22_FNSC.rds
EFNSC40	24	23	normal	em	1000	F1parent	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/processed_data/scanone_1000perm_by_trait_20260608_134657/23_EFNSC40.rds
