trait	model	alpha	n_qtl	significant_ints	significant_int_pve	pve	covariate_only_pve	total_qtl_pve	trait_report_file	peak_intervals_run_id	peak_intervals_run_dir
INFA	normal	0.05	2	NA	NA	28.3913048257516	6.27742649478369	22.1138783309679	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_INFA_20260608_161020.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
CAL	normal	0.05	0	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_CAL_20260608_161026.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
VEFN	binary	0.05	0	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VEFN_20260608_161026.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
VNG	binary	0.05	1	6@8.6:F1parent	1.391	68.1140379333739	3.68585428983393	64.4281836435399	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VNG_20260608_161026.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
RALA	normal	0.05	1	NA	NA	38.9788994205457	3.93295510544963	35.0459443150961	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_RALA_20260608_161031.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
RAST	normal	0.05	1	NA	NA	41.0851874765867	1.69758362515769	39.387603851429	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_RAST_20260608_161035.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
COL	normal	0.05	2	NA	NA	40.6792607540896	17.9735117468776	22.7057490072121	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_COL_20260608_161039.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
COLL	normal	0.05	2	NA	NA	26.7079419968415	4.94368261737371	21.7642593794678	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_COLL_20260608_161045.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
STAE	normal	0.05	4	NA	NA	39.9559512281885	2.57616957119168	37.3797816569968	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAE_20260608_161050.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
TUA	normal	0.05	1	NA	NA	10.5869671582806	0.0391896682046755	10.547777490076	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_TUA_20260608_161056.txt	20260608_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260608_alpha0.05
