#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chrom1	0	100000	0.617610	0.382390	28664	20168	18071	33097	0	0	100000
Chrom1	100000	200000	0.597980	0.402020	30136	20358	19844	29662	0	0	100000
Chrom1	200000	300000	0.612130	0.387870	30245	19288	19499	30968	0	0	100000
Chrom1	300000	400000	0.608260	0.391740	29433	18562	20612	31393	0	0	100000
Chrom1	400000	500000	0.635100	0.364900	29801	17779	18711	33709	0	0	100000
Chrom1	500000	600000	0.622980	0.377020	30858	18958	18744	31440	0	0	100000
Chrom1	600000	700000	0.598260	0.401740	31150	20111	20063	28676	0	0	100000
Chrom1	700000	800000	0.606880	0.393120	30076	19704	19608	30612	0	0	100000
Chrom1	800000	900000	0.630100	0.369900	30140	18665	18325	32870	0	0	100000
Chrom1	900000	1000000	0.616590	0.383410	31614	19637	18704	30045	0	0	100000
Chrom1	1000000	1100000	0.598190	0.401810	30167	20174	20007	29652	0	0	100000
Chrom1	1100000	1200000	0.603690	0.396310	29696	20510	19121	30673	0	0	100000
Chrom1	1200000	1300000	0.580690	0.419310	28298	20235	21696	29771	0	0	100000
Chrom1	1300000	1400000	0.615360	0.384640	31543	18806	19658	29993	0	0	100000
Chrom1	1400000	1500000	0.611000	0.389000	29874	19606	19294	31226	0	0	100000
Chrom1	1500000	1600000	0.576350	0.423650	29615	21190	21175	28020	0	0	100000
Chrom1	1600000	1700000	0.599640	0.400360	31244	20006	20030	28720	0	0	100000
Chrom1	1700000	1800000	0.598520	0.401480	30593	20194	19954	29259	0	0	100000
Chrom1	1800000	1900000	0.587670	0.412330	30295	20036	21197	28472	0	0	100000
Chrom1	1900000	2000000	0.591140	0.408860	30589	20747	20139	28525	0	0	100000
Chrom1	2000000	2100000	0.616270	0.383730	31411	19144	19229	30216	0	0	100000
Chrom1	2100000	2200000	0.613950	0.386050	31720	20164	18441	29675	0	0	100000
Chrom1	2200000	2300000	0.605370	0.394630	29685	19915	19548	30852	0	0	100000
Chrom1	2300000	2400000	0.576720	0.423280	28746	20928	21400	28926	0	0	100000
Chrom1	2400000	2500000	0.593120	0.406880	30110	20437	20251	29202	0	0	100000
Chrom1	2500000	2600000	0.597530	0.402470	30400	20972	19275	29353	0	0	100000
Chrom1	2600000	2700000	0.623260	0.376740	31535	18629	19045	30791	0	0	100000
Chrom1	2700000	2800000	0.595890	0.404110	29666	19691	20720	29923	0	0	100000
Chrom1	2800000	2900000	0.592840	0.407160	29997	20063	20653	29287	0	0	100000
Chrom1	2900000	3000000	0.613610	0.386390	30526	19578	19061	30835	0	0	100000
Chrom1	3000000	3100000	0.603400	0.396600	29108	20322	19338	31232	0	0	100000
Chrom1	3100000	3200000	0.613960	0.386040	29045	19118	19486	32351	0	0	100000
Chrom1	3200000	3300000	0.615980	0.384020	29751	19231	19171	31847	0	0	100000
Chrom1	3300000	3400000	0.584430	0.415570	30832	20572	20985	27611	0	0	100000
Chrom1	3400000	3500000	0.588090	0.411910	30494	20351	20840	28315	0	0	100000
Chrom1	3500000	3600000	0.614920	0.385080	29431	18551	19957	32061	0	0	100000
Chrom1	3600000	3700000	0.616750	0.383250	31428	19203	19122	30247	0	0	100000
Chrom1	3700000	3800000	0.603270	0.396730	29662	19940	19733	30665	0	0	100000
Chrom1	3800000	3900000	0.626730	0.373270	31190	18575	18752	31483	0	0	100000
Chrom1	3900000	4000000	0.610510	0.389490	30050	19767	19182	31001	0	0	100000
Chrom1	4000000	4100000	0.600620	0.399380	28669	19917	20021	31393	0	0	100000
Chrom1	4100000	4200000	0.579630	0.420370	28622	20396	21641	29341	0	0	100000
Chrom1	4200000	4300000	0.629150	0.370850	30587	18451	18634	32328	0	0	100000
Chrom1	4300000	4400000	0.596840	0.403160	30436	20229	20087	29248	0	0	100000
Chrom1	4400000	4500000	0.583000	0.417000	28270	20278	21422	30030	0	0	100000
Chrom1	4500000	4600000	0.585080	0.414920	28719	21055	20437	29789	0	0	100000
Chrom1	4600000	4700000	0.603070	0.396930	29934	19310	20383	30373	0	0	100000
Chrom1	4700000	4800000	0.613330	0.386670	29026	19813	18854	32307	0	0	100000
Chrom1	4800000	4900000	0.614630	0.385370	29982	19455	19082	31481	0	0	100000
Chrom1	4900000	5000000	0.608530	0.391470	31096	19781	19366	29757	0	0	100000
Chrom1	5000000	5100000	0.579350	0.420650	28717	21190	20875	29218	0	0	100000
Chrom1	5100000	5200000	0.596820	0.403180	29466	19871	20447	30216	0	0	100000
Chrom1	5200000	5300000	0.594990	0.405010	29766	20384	20117	29733	0	0	100000
Chrom1	5300000	5400000	0.606640	0.393360	30806	19776	19560	29858	0	0	100000
Chrom1	5400000	5500000	0.592880	0.407120	30214	20688	20024	29074	0	0	100000
Chrom1	5500000	5600000	0.590940	0.409060	29359	20282	20624	29735	0	0	100000
Chrom1	5600000	5700000	0.567370	0.432630	28828	21644	21619	27909	0	0	100000
Chrom1	5700000	5800000	0.589830	0.410170	30633	20279	20738	28350	0	0	100000
Chrom1	5800000	5900000	0.605660	0.394340	30422	19387	20047	30144	0	0	100000
Chrom1	5900000	6000000	0.612970	0.387030	30826	19331	19372	30471	0	0	100000
Chrom1	6000000	6100000	0.600690	0.399310	30887	20200	19731	29182	0	0	100000
Chrom1	6100000	6200000	0.604760	0.395240	30545	19834	19690	29931	0	0	100000
Chrom1	6200000	6300000	0.584120	0.415880	29318	20491	21097	29094	0	0	100000
Chrom1	6300000	6400000	0.593820	0.406180	29532	20334	20284	29850	0	0	100000
Chrom1	6400000	6500000	0.612620	0.387380	30581	19322	19416	30681	0	0	100000
Chrom1	6500000	6600000	0.616890	0.383110	32146	19312	18999	29543	0	0	100000
Chrom1	6600000	6700000	0.608900	0.391100	29205	19131	19979	31685	0	0	100000
Chrom1	6700000	6800000	0.609660	0.390340	30416	19404	19630	30550	0	0	100000
Chrom1	6800000	6900000	0.614660	0.385340	31131	19668	18866	30335	0	0	100000
Chrom1	6900000	7000000	0.595920	0.404080	29546	20022	20386	30046	0	0	100000
Chrom1	7000000	7100000	0.618220	0.381780	32515	19405	18773	29307	0	0	100000
Chrom1	7100000	7200000	0.618420	0.381580	31848	18994	19164	29994	0	0	100000
Chrom1	7200000	7300000	0.594140	0.405860	30420	19787	20799	28994	0	0	100000
Chrom1	7300000	7400000	0.613720	0.386280	29483	18555	20073	31889	0	0	100000
Chrom1	7400000	7500000	0.590910	0.409090	30396	21542	19367	28695	0	0	100000
Chrom1	7500000	7600000	0.613230	0.386770	29704	19336	19341	31619	0	0	100000
Chrom1	7600000	7700000	0.621510	0.378490	30423	18928	18921	31728	0	0	100000
Chrom1	7700000	7800000	0.587440	0.412560	28469	20576	20680	30275	0	0	100000
Chrom1	7800000	7900000	0.606000	0.394000	32211	20284	19116	28389	0	0	100000
Chrom1	7900000	8000000	0.618140	0.381860	30377	18846	19340	31437	0	0	100000
Chrom1	8000000	8100000	0.587630	0.412370	29963	20184	21053	28800	0	0	100000
Chrom1	8100000	8200000	0.578860	0.421140	29813	21564	20550	28073	0	0	100000
Chrom1	8200000	8300000	0.582120	0.417880	27776	21071	20717	30436	0	0	100000
Chrom1	8300000	8400000	0.608740	0.391260	29345	19670	19456	31529	0	0	100000
Chrom1	8400000	8500000	0.570490	0.429510	28297	21550	21401	28752	0	0	100000
Chrom1	8500000	8600000	0.596000	0.404000	29080	20035	20365	30520	0	0	100000
Chrom1	8600000	8700000	0.608010	0.391990	30527	19622	19577	30274	0	0	100000
Chrom1	8700000	8800000	0.618190	0.381810	32391	19764	18417	29428	0	0	100000
Chrom1	8800000	8900000	0.612880	0.387120	31339	19453	19259	29949	0	0	100000
Chrom1	8900000	9000000	0.595220	0.404780	28704	20031	20447	30818	0	0	100000
Chrom1	9000000	9100000	0.563720	0.436280	29065	21436	22192	27307	0	0	100000
Chrom1	9100000	9200000	0.595560	0.404440	29621	20605	19839	29935	0	0	100000
Chrom1	9200000	9300000	0.602640	0.397360	28513	20393	19343	31751	0	0	100000
Chrom1	9300000	9400000	0.570310	0.429690	28654	21120	21849	28377	0	0	100000
Chrom1	9400000	9500000	0.573210	0.426790	27995	21419	21260	29326	0	0	100000
Chrom1	9500000	9600000	0.603250	0.396750	29504	19166	20509	30821	0	0	100000
Chrom1	9600000	9700000	0.607540	0.392460	30552	19386	19860	30202	0	0	100000
Chrom1	9700000	9800000	0.637640	0.362360	32119	18470	17766	31645	0	0	100000
Chrom1	9800000	9900000	0.623150	0.376850	32311	19162	18523	30004	0	0	100000
Chrom1	9900000	10000000	0.597250	0.402750	29818	20189	20086	29907	0	0	100000
Chrom1	10000000	10100000	0.607730	0.392270	29730	19666	19561	31043	0	0	100000
Chrom1	10100000	10200000	0.626540	0.373460	32000	19171	18175	30654	0	0	100000
Chrom1	10200000	10300000	0.595700	0.404300	29994	20189	20241	29576	0	0	100000
Chrom1	10300000	10400000	0.620320	0.379680	31004	19083	18885	31028	0	0	100000
Chrom1	10400000	10500000	0.555260	0.444740	28195	22157	22317	27331	0	0	100000
Chrom1	10500000	10600000	0.611970	0.388030	30739	19494	19309	30458	0	0	100000
Chrom1	10600000	10700000	0.601730	0.398270	30241	20038	19789	29932	0	0	100000
Chrom1	10700000	10800000	0.593560	0.406440	28990	20616	20028	30366	0	0	100000
Chrom1	10800000	10900000	0.613740	0.386260	30127	18952	19674	31247	0	0	100000
Chrom1	10900000	11000000	0.617910	0.382090	31751	19132	19077	30040	0	0	100000
Chrom1	11000000	11100000	0.621320	0.378680	30964	19126	18742	31168	0	0	100000
Chrom1	11100000	11200000	0.630230	0.369770	30921	18024	18953	32102	0	0	100000
Chrom1	11200000	11300000	0.604960	0.395040	29802	19614	19890	30694	0	0	100000
Chrom1	11300000	11400000	0.549210	0.450790	27663	22469	22610	27258	0	0	100000
Chrom1	11400000	11500000	0.574560	0.425440	28111	20841	21703	29345	0	0	100000
Chrom1	11500000	11600000	0.602160	0.397840	29961	19320	20464	30255	0	0	100000
Chrom1	11600000	11700000	0.608690	0.391310	29880	19342	19789	30989	0	0	100000
Chrom1	11700000	11800000	0.604190	0.395810	30110	19859	19722	30309	0	0	100000
Chrom1	11800000	11900000	0.627140	0.372860	31705	18341	18945	31009	0	0	100000
Chrom1	11900000	12000000	0.595090	0.404910	29376	20694	19797	30133	0	0	100000
Chrom1	12000000	12100000	0.572000	0.428000	29743	22016	20784	27457	0	0	100000
Chrom1	12100000	12200000	0.611880	0.388120	30498	19725	19087	30690	0	0	100000
Chrom1	12200000	12300000	0.599640	0.400360	29993	19762	20274	29971	0	0	100000
Chrom1	12300000	12400000	0.598590	0.401410	29903	19943	20198	29956	0	0	100000
Chrom1	12400000	12500000	0.582940	0.417060	29813	21185	20521	28481	0	0	100000
Chrom1	12500000	12600000	0.615400	0.384600	30172	18978	19482	31368	0	0	100000
Chrom1	12600000	12700000	0.611120	0.388880	30781	19648	19240	30331	0	0	100000
