chr	pos	lod
Chrom2-17263199	2	35.6622768115906	3.56917459363285
Chrom2-17316165	2	35.7829407827716	3.73204428734084
c2.loc36	2	36	3.79238712341322
Chrom2-17426101	2	36.0273914223029	3.79831527588766
Chrom2-17535352	2	36.2712702888785	4.00438815872502
Chrom2-17638256	2	36.2712703888785	4.00438815910707
Chrom2-17844284	2	36.5024616971349	4.00527305335828
Chrom2-17895951	2	36.5024617971349	4.0052730537418
Chrom2-17946580	2	36.936388266526	4.00694300523719
Chrom2-17997230	2	36.936388366526	4.0069430056235
Chrom2-18047863	2	36.936388466526	4.00694298406205
Chrom2-18152921	2	37.3183999438742	3.54184886294729
Chrom2-18203006	2	37.6652814233168	3.41012517577457
Chrom2-18255877	2	37.718772362051	3.44000164538301
c2.loc38	2	38	3.6734351552148
Chrom2-18306916	2	38.1277539239129	3.72626077726818
Chrom2-18358950	2	38.1277540239129	3.72626076891942
Chrom2-18409093	2	38.1277541239129	3.7262608016631
Chrom2-18510654	2	38.4900950838706	3.88675887514432
Chrom2-18725615	2	39.1636414082186	3.70304510250691
Chrom2-18832578	2	39.2974645971716	3.7975530897956
c2.loc40	2	40	4.00690202340252
c2.loc42	2	42	4.31366061546328
Chrom2-23161770	2	42.4326536454264	4.31166825403216
c2.loc44	2	44	4.82585584402858
Chrom2-27175557	2	45.0973745747932	4.99057043658331
Chrom2-27330415	2	45.0973746747932	4.9905704496976
Chrom2-27433736	2	45.3359423038117	5.08280351648477
Chrom2-27489648	2	45.7534955468582	5.11656971093072
c2.loc46	2	46	5.1382404132666
Chrom2-27593319	2	46.0799575438947	5.12598217371675
Chrom2-27698966	2	46.0799576438947	5.12598217414171
Chrom2-28308525	2	46.8533127316258	4.1523321962701
Chrom2-28412378	2	46.8533128316258	4.15233219663003
Chrom2-28514142	2	46.9563805012083	4.07609280452181
Chrom2-28565881	2	46.9563806012083	4.07609280277148
Chrom2-28624495	2	47.3814663127683	4.09812450849995
c2.loc48	2	48	3.48277782475174
Chrom2-48035691	2	73.6637322578618	3.29625976310524
Chrom2-48208735	2	73.6637323578618	3.29625980856775
Chrom2-48691029	2	73.6637324578618	3.2962598143697
Chrom2-48834267	2	73.6637325578618	3.29625982017166
Chrom2-48987447	2	73.6637326578619	3.29625982017166
Chrom2-97022457	2	76.333297394968	3.71969474869354
Chrom2-99596652	2	76.333297494968	3.71969474869354
Chrom2-101551991	2	76.4359160914477	3.69193618363209
Chrom2-107015396	2	76.5385363943961	3.75000645758911
Chrom2-117320155	2	76.6411558290937	3.75000645758911
Chrom2-118312936	2	76.7437750462366	3.88099135336279
Chrom2-119294796	2	76.8463940466421	3.88099135336279
Chrom2-119731832	2	76.9490130465707	3.88099135336279
Chrom2-119924209	2	77.0515453186473	4.00846219310125
Chrom2-128902024	2	77.1881962331702	4.40105747455681
Chrom2-129054640	2	77.4628937185688	4.34205843674948
Chrom2-129165232	2	77.4628938185688	4.34205845167702
Chrom2-129625143	2	77.4628939185688	4.34205845167702
Chrom2-129740274	2	77.6169868048368	4.38055420020908
Chrom2-129791481	2	77.7708200289383	4.39327112735248
Chrom2-129947911	2	77.7708201289383	4.39327112735248
Chrom2-130519794	2	77.8736106711385	4.27307717894411
Chrom2-131226038	2	77.9758396873618	4.23081179079003
c2.loc78	2	78	4.2450738817044
Chrom2-131381449	2	78.2333850415289	4.33825505147229
Chrom2-131549992	2	78.4908309259213	4.45005652726303
Chrom2-131809095	2	78.632124667842	4.58340143133927
Chrom2-131965415	2	78.8629036010556	4.72788921905686
Chrom2-132178593	2	79.0035053889088	4.96888950938188
Chrom2-132290069	2	79.0035054889088	4.96888964840321
Chrom2-132979028	2	79.4171779716228	4.77774720034233
Chrom2-133030668	2	79.4171780716228	4.7777471760179
Chrom2-133082194	2	79.5949373306512	4.77774717601784
Chrom2-133134422	2	79.7727346424314	4.77774717601784
Chrom2-133185053	2	79.7727347424314	4.77774717601773
c2.loc80	2	80	4.7583605388985
Chrom2-133352929	2	80.172573737938	4.72036406423302
Chrom2-133506154	2	80.6261618224741	5.07746256646067
Chrom2-133608381	2	80.9307036281882	4.65111270755403
Chrom2-133764594	2	81.0641825630283	4.63309971590206
Chrom2-133865537	2	81.2563223026542	4.63309971590206
Chrom2-134079434	2	81.2854918849755	4.64004785855985
Chrom2-134234252	2	81.5086372207932	4.49643542135493
Chrom2-134336818	2	81.5086373207932	4.49643539723792
c2.loc82	2	82	4.49850428321025
Chrom2-134388056	2	82.0278820070425	4.49479367525493
Chrom2-134438542	2	82.0278821070425	4.49479366123279
Chrom2-134539563	2	82.2762399682389	4.46847650122891
Chrom2-134591599	2	82.4260178099331	4.44765399966656
Chrom2-134642084	2	82.5759620964861	4.42324959262601
Chrom2-134797489	2	82.757613595853	4.38922968661768
Chrom2-134847924	2	83.0300515546092	4.34811367244322
Chrom2-134901296	2	83.4407117596792	4.22641713484984
c2.loc84	2	84	4.01768707269116
Chrom2-134951512	2	84.0455507040014	3.99727709211027
Chrom2-135002204	2	84.0455508040014	3.99727712381338
Chrom2-135053052	2	84.0455509040014	3.99727717261709
Chrom2-135155193	2	84.6585610835185	3.97081311494753
Chrom2-135205619	2	84.6585611835185	3.97081306084493
Chrom2-135312497	2	84.9821365196784	3.97081306084493
Chrom2-135482189	2	84.9821366196785	3.97081306084493
Chrom2-135692297	2	85.0846653519718	3.97081306084482
Chrom2-135795279	2	85.2560206999177	3.93351821495406
Chrom2-135949750	2	85.4269838129565	3.74399892846839
Chrom2-136164117	2	85.6557947271046	3.32825391858347
c2.loc86	2	86	3.40002198851818
Chrom2-136375809	2	86.1131841748897	3.43914592452808
Chrom2-136589033	2	86.3288446045896	3.4296954384796
Chrom2-136800537	2	87.4376648736552	3.43950028906715
Chrom2-136855359	2	87.4376649736552	3.43950028823565
Chrom2-136913106	2	87.4376650736552	3.43950028835781
Chrom2-136965746	2	87.4376651736552	3.43950024345293
Chrom2-137018255	2	87.4376652736552	3.43950020116569
Chrom5-6922483	5	0	3.55780398487576
Chrom5-6978960	5	1.00000002822922e-07	3.55780398513014
Chrom5-7030854	5	0.519560320144629	3.88619883450156
Chrom5-7088889	5	0.519560420144632	3.88619885478624
Chrom5-7141370	5	0.903757680876916	3.9989229700638
Chrom5-7191657	5	0.903757780876918	3.99892299809818
Chrom5-7243348	5	0.903757880876921	3.99892299852053
Chrom5-7293867	5	0.903757980876924	3.99892299894287
Chrom5-7397380	5	1.02838807144391	3.99944996003359
Chrom5-7501639	5	1.02838817144392	3.99944993016413
Chrom5-7603327	5	1.30850417310529	3.88786773287944
Chrom5-7653898	5	1.538956566235	3.75772796534716
Chrom5-7706168	5	1.538956666235	3.75772790139649
Chrom5-7762455	5	1.53895676623501	3.75772790095908
c5.loc2	5	2	3.7544382025556
Chrom5-7864649	5	2.28860673142321	3.75192732899814
Chrom5-7915421	5	2.53209405707392	3.984190763009
Chrom5-7968016	5	2.53209415707392	3.98419082187309
Chrom5-8069546	5	2.53209425707393	3.98419088073825
Chrom5-8119855	5	2.72376600376687	3.97838720635519
Chrom5-8223225	5	2.86792765054563	3.97398547446778
Chrom5-8330922	5	2.86792775054563	3.97398547143752
Chrom5-8381940	5	2.86792785054563	3.97398546957209
Chrom5-8433713	5	3.17714347997564	3.96969974600756
Chrom5-8485209	5	3.17714357997564	3.96969977348073
c5.loc4	5	4	3.58654560298993
Chrom5-8537062	5	4.01596243223274	3.57404295165514
Chrom5-8594083	5	4.01596253223274	3.57404289724116
Chrom5-8644790	5	4.5114259313767	3.52704426030033
