chr	interval	marker	pos	lod
chr8	lod_1.5	Chrom8-13813201	36.5599803010975	4.30280117953458
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	5.93142448202713
chr8	lod_1.5	Chrom8-44700904	41.0816556290401	5.93142448202713
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	5.93142448202713
chr8	lod_1.5	Chrom8-93522371	48.2867087004956	4.23122660712721
chr8	lod_2	Chrom8-13012241	33.9118373634893	3.821059308857
chr8	lod_2	Chrom8-44440966	41.0816555290401	5.93142448202713
chr8	lod_2	Chrom8-44700904	41.0816556290401	5.93142448202713
chr8	lod_2	Chrom8-50415370	41.1842749818426	5.93142448202713
chr8	lod_2	Chrom8-95787883	52.5029350358179	3.32252458699509
chr8	bayes	Chrom8-13924075	36.9263780194074	4.68756517279149
chr8	bayes	Chrom8-44440966	41.0816555290401	5.93142448202713
chr8	bayes	Chrom8-93368076	47.5677356084361	4.8182658142747
