chr	trait.1	trait.2	start.1	end.1	start.2	end.2	overlap_start	overlap_end	overlap_len	frac_sum	jaccard	frac_small
chr2	ANL	COL	38.1277539239129	112.730484831628	21.2915419990313	39.2974645971716	38.1277539239129	39.2974645971716	1.1697106732586988	0.01263068437967021	0.012792259370279084	0.0649625514540149
chr2	ANL	COLL	38.1277539239129	112.730484831628	25.6790092917765	97.8154308592524	38.1277539239129	97.8154308592524	59.6876769353395	0.40676040394489	0.6856595659658283	0.8274277492335556
chr2	ANL	EFNSC40	38.1277539239129	112.730484831628	45.0973745747932	86.1131841748897	45.0973745747932	86.1131841748897	41.015809600096496	0.354751144755415	0.5497896538242517	1
chr1	ANL	H3_labellum	0	118.923254448536	41.5868001923233	52.1828797360261	41.5868001923233	52.1828797360261	10.5960795437028	0.0818107939339601	0.08910014776200269	1
chr4	ANL	H4_bract	0.535871340374083	29.823884371406	4.52629569308872	26.4802465150859	4.52629569308872	26.4802465150859	21.95395082199718	0.4284369522792871	0.7495882632507717	1
chr1	ANL	H4_labellum	0	118.923254448536	40.8436629437429	48.1731453759963	40.8436629437429	48.1731453759963	7.3294824322534	0.05805404788312873	0.06163203711705713	1
chr1	ANL	H4_petal	0	118.923254448536	33.578721464302	61.4481945915442	33.578721464302	61.4481945915442	27.869473127242202	0.1898559525903983	0.23434838927404822	1
chr1	ANL	INFA	0	118.923254448536	64.3407748508903	118.923254448536	64.3407748508903	118.923254448536	54.5824795976457	0.31458602735928937	0.4589722998311171	1
chr2	ANL	INFA	38.1277539239129	112.730484831628	39.1636414082186	98.3785065029769	39.1636414082186	98.3785065029769	59.2148650947583	0.4425043257664247	0.7937358910896725	1
chr2	ANL	LABL	38.1277539239129	112.730484831628	17.1717607381977	112.730484831628	38.1277539239129	112.730484831628	74.60273090771511	0.43842320757784387	0.7807003663503715	1
chr1	ANL	LABW	0	118.923254448536	26.547780744899	59.5039519767497	26.547780744899	59.5039519767497	32.956171231850696	0.21698904301365532	0.27712133665255917	1
chr2	ANL	LABW	38.1277539239129	112.730484831628	55.9416856271949	96.4938907432317	55.9416856271949	96.4938907432317	40.5522051160368	0.35215342490983176	0.543575343993782	1
chr4	ANL	LABW	0.535871340374083	29.823884371406	12.9851272657353	25.4017788689852	12.9851272657353	25.4017788689852	12.4166516032499	0.297728124950398	0.42394994805874753	1
chr2	ANL	RAST	38.1277539239129	112.730484831628	19.6048807932008	110.526660008141	38.1277539239129	110.526660008141	72.39890608422809	0.4373908494311796	0.7774328750056054	0.9704591936960968
chr1	ANL	S1B_labellum	0	118.923254448536	40.8436629437429	49.9199625436917	40.8436629437429	49.9199625436917	9.076299599948804	0.0709088376707219	0.07632064596648395	1
chr1	ANL	S1B_petal	0	118.923254448536	41.2155531349241	61.4481945915442	41.2155531349241	61.4481945915442	20.2326414566201	0.1453955028280654	0.17013191869362915	1
chr4	ANL	S1G_bract	0.535871340374083	29.823884371406	15.5092106341939	28.6493296703628	15.5092106341939	28.6493296703628	13.1401190361689	0.30970298233626237	0.44865177512200555	1
chr4	ANL	S1R_bract	0.535871340374083	29.823884371406	5.75428622195748	26.9768540789319	5.75428622195748	26.9768540789319	21.222567856974422	0.4201608352917139	0.7246161709395648	1
chr1	ANL	S1R_labellum	0	118.923254448536	40.8436629437429	48.0707832908858	40.8436629437429	48.0707832908858	7.2271203471429	0.05728972552676439	0.060771296418485034	1
chr1	ANL	S1R_petal	0	118.923254448536	40.8436629437429	60.9340377636462	40.8436629437429	60.9340377636462	20.090374819903303	0.14452090004145	0.16893562922630415	1
chr4	ANL	S1R_petal	0.535871340374083	29.823884371406	1.79544014738965	87.2087244451583	1.79544014738965	29.823884371406	28.028444224016347	0.24436030696035232	0.3233820420118282	0.9569937091437032
chr2	ANL	S1U_bract	38.1277539239129	112.730484831628	18.7298052779706	38.1277541239129	38.1277539239129	38.1277541239129	2.0000000233721948e-7	2.1276442134391885e-9	2.1276442179660585e-9	1.031036858203984e-8
chr1	ANL	S1U_petal	0	118.923254448536	40.8436629437429	56.5346424590995	40.8436629437429	56.5346424590995	15.690979515356602	0.11656255845548526	0.13194206287170576	1
chr2	ANL	S1U_petal	38.1277539239129	112.730484831628	1.34173894834407	49.654480535787	38.1277539239129	49.654480535787	11.526726611874103	0.09377766995386339	0.1034819677739447	0.23858564496927742
chr1	ANL	S1V_petal	0	118.923254448536	40.8436629437429	56.9216474397811	40.8436629437429	56.9216474397811	16.077984496038198	0.11909508847277422	0.13519630429384139	1
