chr	pos	lod
Chrom6-73270	6	0	9.81082689209211
Chrom6-129067	6	1.00000002822922e-07	9.81082689231266
Chrom6-181093	6	2.00000005645844e-07	9.81082689253321
Chrom6-231178	6	3.00000008468766e-07	9.81082689275377
Chrom6-336857	6	0.142888806526717	8.67010962845131
Chrom6-391127	6	0.14288890652672	8.67010881336796
Chrom6-507884	6	0.142889006526723	8.67010799863624
Chrom6-717185	6	0.142889106526726	8.67010799863624
Chrom6-827419	6	0.24640024268566	8.67010799863624
Chrom6-879492	6	0.246400342685662	8.67010799863624
Chrom6-930925	6	0.401036503906482	8.67010799863618
Chrom6-981010	6	0.401036603906485	8.67010799863624
Chrom6-1041076	6	0.401036703906488	8.67010799863618
Chrom6-1315788	6	0.555481851187793	8.67010799863624
Chrom6-1591152	6	0.970043466301647	9.26671679323368
Chrom6-1704506	6	0.97004356630165	9.26671691270957
Chrom6-1856576	6	1.09107225500776	9.40372334085612
Chrom6-1959797	6	1.63604158147202	9.24091303302708
Chrom6-2013476	6	1.95698856839003	9.57179089354355
c6.loc2	6	2	9.58994196328695
Chrom6-2116314	6	2.01729888024157	9.59491358146329
Chrom6-2273738	6	2.51924632266273	9.66622143783826
Chrom6-2375622	6	2.77406982610984	9.69361653470725
Chrom6-2433430	6	2.77406992610985	9.69361654425228
Chrom6-2598284	6	3.25034837984214	10.0716586689504
Chrom6-2763924	6	3.48847204290306	10.2237248744677
Chrom6-2867802	6	3.71978283969091	10.2271566322594
Chrom6-2920772	6	3.86163927187879	10.2271566322594
Chrom6-2971046	6	3.86163937187879	10.2271566322594
Chrom6-3073307	6	3.8616394718788	10.2271566132426
c6.loc4	6	4	10.2183055355794
Chrom6-3177492	6	4.31105527017933	9.90301868929089
Chrom6-3292422	6	4.411092702964	9.8964677629142
Chrom6-3343495	6	5.01773564678791	10.4336435612648
Chrom6-3395469	6	5.36482860481246	10.7568548276644
Chrom6-3449893	6	5.36482870481246	10.7568548365549
Chrom6-3557058	6	5.83248005047386	10.7958466556777
c6.loc6	6	6	10.8001422471605
Chrom6-3659787	6	6.12377503075363	10.7999383798368
Chrom6-3768149	6	6.31045455914472	10.7941699378974
Chrom6-3819694	6	6.31045465914472	10.7941699601166
Chrom6-3871865	6	6.70920358332416	11.5640362637025
Chrom6-3979303	6	7.44831772108912	12.3075191383447
Chrom6-4030167	6	7.44831782108913	12.30751916289
Chrom6-4134050	6	7.79123726115418	12.297353479378
Chrom6-4185289	6	7.79123736115419	12.2973535494397
Chrom6-4287717	6	7.9856346024176	12.2564762589828
c6.loc8	6	8	12.2775369396409
Chrom6-4343022	6	8.31263333136983	12.5943392802353
Chrom6-4397163	6	8.57162938617707	12.7125800203963
Chrom6-4448805	6	8.57162948617707	12.7125799371886
Chrom6-4605791	6	9.16173149323558	11.787381547186
Chrom6-4657266	6	9.16173159323558	11.7873815422112
Chrom6-4757587	6	9.71650089817456	11.0924737737572
Chrom6-4810911	6	9.71650099817456	11.0924736238448
c6.loc10	6	10	10.7510831706156
Chrom6-4962302	6	10.4164992978407	10.0474574866232
Chrom6-5020730	6	10.4164993978407	10.0474574614493
Chrom6-5227053	6	11.1033593162009	9.60575278402985
Chrom6-5280222	6	11.2041671771479	9.6057527840299
Chrom6-5647729	6	11.4417479682122	9.50089442481612
Chrom6-5751007	6	11.9636755089479	9.71567548344677
Chrom6-5801565	6	11.9636756089479	9.71567548774004
Chrom6-5851898	6	11.9636757089479	9.7156754921869
c6.loc12	6	12	9.71525029209045
Chrom6-6007371	6	12.8615824058296	9.38848453770953
Chrom6-6061231	6	12.8615825058296	9.38848450246724
Chrom6-6225256	6	13.1688362142265	9.38848450246718
Chrom6-6275705	6	13.1688363142265	9.38848459872418
Chrom6-6384796	6	13.8952121974912	8.75451787498338
Chrom6-6437612	6	13.8952122974912	8.75451787498332
c6.loc14	6	14	8.74989856462327
Chrom6-6597375	6	14.4123768153272	8.59548618731304
Chrom6-6648202	6	14.5366516131979	8.59548618731304
Chrom6-6750259	6	14.9661531756631	8.57463174453619
Chrom6-6800747	6	14.9661532756631	8.57463169620149
Chrom6-6904345	6	15.6509737141548	8.5080828282729
Chrom6-6954373	6	15.6509738141548	8.50808282827285
c6.loc16	6	16	8.96179776096642
Chrom6-7056419	6	16.2015357807524	9.10511125374586
Chrom6-7106949	6	16.2015358807524	9.10511130028357
