chr	pos	lod
Chrom1-17634061	1	40.8436629437429	3.85611296455573
Chrom1-17737887	1	41.2155531349241	4.13796554657523
Chrom1-17845954	1	41.5868001923233	4.38119577162024
Chrom1-18053208	1	41.5868002923233	4.3811957640346
Chrom1-18203714	1	41.7092201463062	4.3811957640346
Chrom1-18306263	1	41.9301021841797	4.38119576403443
Chrom1-18409583	1	41.9859968783154	4.3811957640346
c1.loc42	1	42	4.3818804971354
Chrom1-18511464	1	42.2189446302547	4.39036319763363
Chrom1-18663582	1	42.8243675219366	4.04583577976456
Chrom1-18824405	1	43.1871229709535	4.04583577976433
Chrom1-18875865	1	43.2553394337504	4.00626580502933
Chrom1-18925875	1	43.3995390716731	3.87565189270185
c1.loc56	1	56	3.75544678538773
Chrom1-115029927	1	56.0830419889183	3.77802894436024
Chrom1-115134316	1	56.2012352646029	3.77802894436007
Chrom1-115245443	1	56.4068580400199	3.7780289443603
Chrom1-115349709	1	56.4068581400199	3.7780289443603
Chrom1-115551454	1	56.5346424590995	3.79287939362285
Chrom8-10855113	8	29.7654166759164	4.30447466257056
c8.loc30	8	30	4.45290816498476
Chrom8-10908027	8	30.119663844323	4.52572949413735
Chrom8-10970631	8	30.3756586636803	4.43829487001238
Chrom8-11133263	8	30.6848002908046	4.10449550364552
Chrom8-11183840	8	30.6848003908046	4.10449550364609
Chrom8-11239491	8	30.8450700020141	4.10449550364558
Chrom8-11346852	8	31.1702261510899	4.36694334145545
Chrom8-11397833	8	31.1702262510899	4.36694319025975
Chrom8-11562976	8	31.4780537343095	3.96056492806974
Chrom8-11672293	8	31.5802975108822	3.96056492806986
Chrom8-12083733	8	31.8312908374532	4.04027163349804
Chrom8-12250057	8	31.9847700766264	4.39811220933262
c8.loc32	8	32	4.40236931860528
Chrom8-12356049	8	32.1569776075378	4.43670881067044
Chrom8-12468218	8	32.4952083427474	4.36543085298979
Chrom8-12522729	8	32.4952084427474	4.36543080643719
Chrom8-12746211	8	33.404859513084	4.08932111897917
Chrom8-12907965	8	33.9118371634893	4.32689824459896
Chrom8-12960832	8	33.9118372634893	4.32689822927733
Chrom8-13012241	8	33.9118373634893	4.32689823169522
c8.loc34	8	34	4.35090821090171
Chrom8-13113417	8	35.0250528494458	4.41755692059155
Chrom8-13164887	8	35.0250529494458	4.41755690205935
Chrom8-13216932	8	35.0250530494458	4.41755689412338
Chrom8-13267045	8	35.0250531494458	4.41755688016383
Chrom8-13376083	8	35.0250532494458	4.41755689520107
Chrom8-13481991	8	35.7380311179653	4.47057746254563
Chrom8-13532250	8	35.7380312179653	4.47057747138524
c8.loc36	8	36	4.4768991254569
Chrom8-13583789	8	36.1612519235953	4.46456410685448
Chrom8-13635051	8	36.1612520235953	4.46456408587886
Chrom8-13753535	8	36.5599802010975	4.71990198231975
Chrom8-13813201	8	36.5599803010975	4.71990229646633
Chrom8-13924075	8	36.9263780194074	5.77900791246833
Chrom8-14025481	8	36.9263781194074	5.77900790745105
Chrom8-14882957	8	37.5728472066028	5.95101798255672
Chrom8-14986015	8	37.5728473066028	5.95101798792592
Chrom8-15087752	8	37.5728474066028	5.95101804765181
Chrom8-15259653	8	37.5728493816064	5.9510192711661
Chrom8-15485229	8	37.8523738969763	6.09739206322678
Chrom8-15592502	8	37.8523739969763	6.09739209382548
c8.loc38	8	38	6.07796613608775
Chrom8-15746465	8	38.2844605221014	5.88954401047874
Chrom8-16369574	8	38.5248991467625	5.90410256773862
Chrom8-17416670	8	38.6337244289097	5.90410256773885
Chrom8-17889448	8	38.6337245289097	5.90410259571956
Chrom8-18058137	8	39.1820993238876	5.89712921600892
Chrom8-18274563	8	39.1820994238876	5.89712921600903
Chrom8-18448565	8	39.1820995238876	5.89712921600903
Chrom8-18683818	8	39.1820996238876	5.89712921600903
Chrom8-18848646	8	39.4367633105465	5.89712921600903
Chrom8-19904389	8	39.4367634105465	5.89712921600903
Chrom8-20333800	8	39.563869297409	5.89712921600903
Chrom8-21117884	8	39.7545575247268	5.89712921600903
Chrom8-21606017	8	39.7545603202593	5.89712921600903
Chrom8-22108019	8	39.9458077718391	6.47991303838438
Chrom8-22268690	8	39.9458078718391	6.47991325813911
Chrom8-22377748	8	39.9458079718391	6.47991325813916
c8.loc40	8	40	6.47991323838068
Chrom8-23128741	8	40.0548234037424	6.47991325813894
Chrom8-24461752	8	40.157428702302	6.47991325813911
Chrom8-27713482	8	40.2600494416429	6.47991325813916
Chrom8-28512082	8	40.3626699649908	6.47991325813916
Chrom8-29549395	8	40.465291139873	6.57474252917012
Chrom8-33823147	8	40.5679101737759	6.57474252917012
Chrom8-38038103	8	40.5679102737759	6.57474252917012
Chrom8-38356098	8	40.7733458704726	6.57474252917012
Chrom8-38467862	8	40.7733459704726	6.57474252917018
Chrom8-40191569	8	40.8760939238291	6.57474252917012
Chrom8-40515877	8	40.8760940238291	6.57474252917012
Chrom8-40637481	8	40.8760941238291	6.57474252917012
Chrom8-44276226	8	41.0816554290401	6.57474252917012
Chrom8-44440966	8	41.0816555290401	6.57474252917018
Chrom8-44700904	8	41.0816556290401	6.57474252917012
Chrom8-50415370	8	41.1842749818426	6.57474252917012
Chrom8-75882863	8	41.2866351346688	6.28888969820116
Chrom8-76372637	8	41.4927198759075	6.28888969820116
Chrom8-82069301	8	41.5950795950036	6.28888969820116
Chrom8-84093539	8	41.6974416005708	5.7238739339146
Chrom8-84462893	8	41.9028729812813	5.65277329151115
Chrom8-84719673	8	41.9028730812813	5.65277317727629
c8.loc42	8	42	5.60621813947523
Chrom8-84936295	8	42.3156153195737	5.37930949930251
Chrom8-85039076	8	42.3156154195737	5.3793095742941
Chrom8-85091551	8	42.4182970783962	5.3793095742941
Chrom8-85709750	8	42.5209178739284	5.48952930370194
Chrom8-86297606	8	42.623276817785	5.489529303702
Chrom8-86656773	8	42.8294993264242	5.39550140376269
Chrom8-86707357	8	43.0344104942125	5.15306019614587
Chrom8-86949727	8	43.0344105942125	5.15306009975518
Chrom8-88960105	8	43.2404946981861	4.80762859198819
Chrom8-89318330	8	43.3425942320608	4.80762859198779
Chrom8-89656160	8	43.5489519409496	4.50635259833672
Chrom8-89709565	8	43.7534698753073	4.50635259833678
Chrom8-89822099	8	43.7534699753073	4.506352598337
c8.loc44	8	44	4.50635253008551
Chrom8-90193943	8	44.1663502909464	4.50635259833649
Chrom8-90417425	8	44.1663503909464	4.50635259833672
Chrom8-91408397	8	44.2801163972064	4.52589112578772
Chrom8-91646297	8	44.5875430707638	4.71067149405508
Chrom8-91699234	8	44.5875431707638	4.7106714928189
Chrom8-91852496	8	45.1819940515665	4.52888707250878
Chrom8-92010372	8	45.3006856222897	4.52888707250872
Chrom8-92117883	8	45.4372166196092	4.52888707250878
Chrom8-92320877	8	45.7124528883734	4.44935725569644
Chrom8-92480994	8	45.8146321671636	4.44935725569616
Chrom8-92635466	8	45.920283582968	4.44935725569627
c8.loc46	8	46	4.40117115997214
Chrom8-92950185	8	46.1399531403878	4.29066057563597
Chrom8-93053427	8	46.7032796328592	4.43592173635534
Chrom8-93155246	8	46.8780008870364	4.43269061074744
Chrom8-93257491	8	47.2733360031565	4.20789734392179
Chrom8-93315463	8	47.5677355084361	4.18412672282238
Chrom8-93368076	8	47.5677356084361	4.18412671287922
c8.loc48	8	48	4.12933723967711
Chrom8-93522371	8	48.2867087004956	4.08016709416546
Chrom8-93573612	8	48.2867088004956	4.08016707527537
Chrom8-93674555	8	48.2867089004956	4.08016705638511
Chrom8-93726102	8	48.2867090004956	4.08016705738754
Chrom8-93829360	8	48.6426320060186	4.02544691214092
Chrom9-78403	9	0	4.64001845428567
Chrom9-128746	9	1.00000002822922e-07	4.64001845618117
Chrom9-236447	9	2.00000005645844e-07	4.64001845824487
Chrom9-338863	9	3.00000008468766e-07	4.64001846030845
Chrom9-497441	9	4.00000011291688e-07	4.64001846237215
Chrom9-758890	9	0.546937242979958	4.65138830024546
Chrom9-810614	9	0.546937342979961	4.65138830233957
Chrom9-862260	9	0.546937442979964	4.65138830233968
Chrom9-914298	9	0.546937542979967	4.65138830233957
Chrom9-1086869	9	0.9660706136948	4.60250628187333
Chrom9-1143729	9	1.0026333724508	4.59772729368063
Chrom9-1250222	9	1.0026334724508	4.59772733546146
Chrom9-1356319	9	1.37552568167463	4.5719432031014
Chrom9-1407915	9	1.37552578167463	4.57194328298891
c9.loc2	9	2	5.40332101970836
Chrom9-1563665	9	2.06972011297745	5.47674252104866
Chrom9-1616809	9	2.06972021297745	5.4767425204804
Chrom9-1673316	9	2.06972031297746	5.47674251997682
Chrom9-1724692	9	2.37198284363606	5.67187547821118
Chrom9-1775817	9	3.17161183103508	5.49823072918821
Chrom9-1882153	9	3.61930201550683	5.3320745441859
c9.loc4	9	4	5.47935755766599
Chrom9-2037707	9	4.13020527371939	5.48091984370808
Chrom9-2089752	9	4.1302053737194	5.48091984572392
Chrom9-2140340	9	4.53172200889496	4.85669612905093
Chrom9-2192459	9	4.53172210889496	4.85669616286833
Chrom9-2243431	9	4.53172220889497	4.85669619668573
Chrom9-2344529	9	4.53172230889497	4.85669642621639
Chrom9-2400684	9	4.83519700094874	5.60051463076411
Chrom9-2564137	9	5.63419826195333	5.44379861737082
Chrom9-2676161	9	5.63419836195333	5.44379855439678
c9.loc6	9	6	5.87046451632102
Chrom9-3107064	9	6.51521604320608	6.17445208575566
Chrom9-3325193	9	6.91247544514482	6.20070425871614
Chrom9-3490865	9	7.0493859629238	6.21177515606547
Chrom9-3593599	9	7.40502495983996	6.45570858753837
Chrom9-3748653	9	7.87612696967191	6.66550813133443
Chrom9-3923208	9	7.87612706967191	6.66550787627767
c9.loc8	9	8	6.58384048002483
Chrom9-4078838	9	8.16515661702292	6.15135686761897
Chrom9-4131929	9	9.14825760706946	5.29591659249274
Chrom9-4185437	9	9.14825770706946	5.29591650038998
Chrom9-4235489	9	9.2387580742218	5.27885272138519
Chrom9-4291019	9	9.2387581742218	5.27885272253678
Chrom9-4344881	9	9.37715244759267	5.28539198174735
Chrom9-4448511	9	9.37715254759267	5.28539198661468
Chrom9-4507762	9	9.37715264759268	5.28539205502761
Chrom9-4559492	9	9.98900791904572	5.62274857655348
