chr	pos	lod
Chrom1-5652	1	0	1.64838965178743
Chrom1-183102	1	1.00000002822922e-07	1.64838965174549
Chrom1-603629	1	2.00000005645844e-07	1.64838965170359
Chrom1-761741	1	3.00000008468766e-07	1.64838965166168
Chrom1-863105	1	0.103471568004863	1.64834600970305
Chrom1-964613	1	0.103471668004866	1.6483460050514
Chrom1-1016938	1	0.29823127307677	1.63605817001788
Chrom1-1069694	1	0.298231373076772	1.6360581752389
Chrom1-1121619	1	0.761938634387554	1.59620031319442
Chrom1-1172951	1	0.761938734387557	1.59620031331508
Chrom1-1223030	1	0.76193883438756	1.59620032028154
Chrom1-1325794	1	1.12247822222867	1.43350726393844
Chrom1-1390198	1	1.12247832222867	1.4335072170695
Chrom1-1441272	1	1.5608482569274	1.3912983681567
Chrom1-1492718	1	1.5608483569274	1.39129835793741
Chrom1-1546098	1	1.5608484569274	1.39129834771807
c1.loc2	1	2	1.3440298113597
Chrom1-1596723	1	2.37488230695494	1.30022914876351
Chrom1-1711327	1	2.59177479975153	1.27366358808852
Chrom1-1763616	1	2.59177489975153	1.27366358537419
Chrom1-1814638	1	2.59177499975153	1.27366358265962
Chrom1-1872167	1	2.93163406541386	1.25394181656164
Chrom1-1924661	1	3.2714210113261	1.21538259937269
Chrom1-2027517	1	3.27142111132611	1.21538258573598
Chrom1-2136853	1	3.74661300739908	1.16437569916705
Chrom1-2187817	1	3.86936961640132	1.14823381213445
c1.loc4	1	4	1.12993286724003
Chrom1-2239587	1	4.16994016573716	1.10464079535544
Chrom1-2291990	1	4.16994026573716	1.10464078927607
Chrom1-2344686	1	4.5197693826835	1.05720512808416
Chrom1-2395776	1	4.87048564535907	1.06839309415873
Chrom1-2446015	1	5.23534709509334	1.23767925951529
Chrom1-2496728	1	5.23534719509334	1.23767929799517
Chrom1-2549023	1	5.32624849103758	1.12845498011198
Chrom1-2650133	1	5.43268963957073	1.0619044955971
Chrom1-2756385	1	5.6582739067001	1.20979777171824
c1.loc6	1	6	1.20290889331113
Chrom1-2807086	1	6.77101698684563	1.16741143024186
Chrom1-2857437	1	6.77101708684564	1.16741141625189
Chrom1-2912792	1	6.77101718684564	1.16741141191233
Chrom1-2965574	1	7.23115784769613	1.17791384746752
Chrom1-3019235	1	7.48236225482419	1.17399045347735
Chrom1-3070720	1	7.48236235482419	1.17399044653038
Chrom1-3122485	1	7.9463985498561	1.11188036749053
Chrom1-3172507	1	7.9463986498561	1.11188036282569
c1.loc8	1	8	1.10499813649589
Chrom1-3229036	1	8.88687984842846	0.992769094507196
Chrom1-3381594	1	8.88687994842846	0.992769090626389
Chrom1-3432080	1	9.11737529316105	0.99316671643988
Chrom1-3482935	1	9.11737539316105	0.993166716612912
Chrom1-3586241	1	9.11737549316105	0.993166716786291
Chrom1-3800847	1	9.61576382607849	0.923205221241048
Chrom1-3956346	1	9.73747460492996	0.94535662800719
c1.loc10	1	10	0.977457610185468
Chrom1-4160303	1	10.1513314850335	1.00093018846817
Chrom1-4212527	1	10.1513315850335	1.00093018864269
Chrom1-4372350	1	10.855619093551	1.29632996187552
Chrom1-4538427	1	11.0628943257647	1.33783326707142
Chrom1-4643471	1	11.8375833438862	1.43789125423923
c1.loc12	1	12	1.45060266191933
Chrom1-4897657	1	12.1220004588309	1.46024269816615
Chrom1-4948517	1	12.1220005588309	1.46024269797422
Chrom1-5056936	1	12.6388664157656	1.32755390494814
Chrom1-5107761	1	12.6388665157656	1.32755386641398
Chrom1-5160796	1	12.6388666157656	1.32755384627094
Chrom1-5213184	1	13.0832233528156	1.35174077521599
Chrom1-5264775	1	13.0832234528156	1.35174079377541
Chrom1-5315439	1	13.0832235528156	1.3517407939971
c1.loc14	1	14	1.23340156669564
Chrom1-5418960	1	14.1012404074118	1.21805679533505
Chrom1-5474279	1	14.1012405074118	1.21805677464818
Chrom1-5525822	1	14.1012406074118	1.21805675396166
Chrom1-5578409	1	14.4944338870687	1.21854010497515
Chrom1-5628901	1	14.8997739657646	1.19975268561004
Chrom1-5679112	1	15.1640255852324	1.20669280581777
Chrom1-5781306	1	15.4484802760875	1.23240847748695
Chrom1-5831406	1	15.4484803760875	1.2324084654579
Chrom1-5882169	1	15.4484804760875	1.23240845696272
c1.loc16	1	16	1.23361043042982
Chrom1-5936223	1	16.0935410285572	1.23381364647354
Chrom1-5987582	1	16.0935411285572	1.23381364858545
