chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-14936900	31.2692191489371	7.41318110862244
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	9.2507722730237
chr2	lod_1.5	Chrom2-23161770	42.4326536454264	6.38421905356955
chr2	lod_2	Chrom2-14331940	29.489869148048	7.00554284247653
chr2	lod_2	Chrom2-18358950	38.1277540239129	9.2507722730237
chr2	lod_2	Chrom2-23161770	42.4326536454264	6.38421905356955
chr2	bayes	Chrom2-15041390	31.7515297290852	7.84096038507289
chr2	bayes	Chrom2-18358950	38.1277540239129	9.2507722730237
chr2	bayes	Chrom2-23161770	42.4326536454264	6.38421905356955
chr5	lod_1.5	Chrom5-6922483	0	3.67008089901947
chr5	lod_1.5	Chrom5-6978960	1.00000002822922e-07	3.6700809292181
chr5	lod_1.5	Chrom5-128908393	43.5103212795396	2.11673521054149
chr5	lod_2	Chrom5-6922483	0	3.67008089901947
chr5	lod_2	Chrom5-6978960	1.00000002822922e-07	3.6700809292181
chr5	lod_2	Chrom5-133597033	54.5464692848837	1.42274563712823
chr5	bayes	Chrom5-6922483	0	3.67008089901947
chr5	bayes	Chrom5-6978960	1.00000002822922e-07	3.6700809292181
chr5	bayes	Chrom5-133542311	54.0320452957375	1.79108134310235
chr7	lod_1.5	Chrom7-4686555	14.3921022580911	1.82001933506297
chr7	lod_1.5	Chrom7-11143863	30.6917673320297	3.41517409688123
chr7	lod_1.5	Chrom7-13755723	35.7169569437889	1.79423561689595
chr7	lod_2	Chrom7-4036322	11.922366624576	1.3302285047356
chr7	lod_2	Chrom7-11143863	30.6917673320297	3.41517409688123
chr7	lod_2	Chrom7-67697044	49.2808703980985	1.3087668979706
chr7	bayes	Chrom7-1114898	0.753418137359509	1.12446697732713
chr7	bayes	Chrom7-11143863	30.6917673320297	3.41517409688123
chr7	bayes	Chrom7-86846133	100.521908585756	1.11649045208031
