chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-16631397	39.0854216630121	2.06291773213879
chr1	lod_1.5	Chrom1-115349709	56.4068581400199	3.87818028484814
chr1	lod_1.5	Chrom1-145141298	118.923254448536	0.676041787974313
chr1	lod_2	Chrom1-16577688	38.7492796980689	1.84419784708091
chr1	lod_2	Chrom1-115349709	56.4068581400199	3.87818028484814
chr1	lod_2	Chrom1-145141298	118.923254448536	0.676041787974313
chr1	bayes	Chrom1-16786631	39.421506590683	2.38778819526704
chr1	bayes	Chrom1-115349709	56.4068581400199	3.87818028484814
chr1	bayes	Chrom1-145141298	118.923254448536	0.676041787974313
chr2	lod_1.5	Chrom2-135795279	85.2560206999177	2.56376349812298
chr2	lod_1.5	Chrom2-160099085	108.220687393173	4.3119373476555
chr2	lod_1.5	Chrom2-162653500	112.730484831628	3.84342428355876
chr2	lod_2	Chrom2-48987447	73.6637326578619	1.96771205803793
chr2	lod_2	Chrom2-160099085	108.220687393173	4.3119373476555
chr2	lod_2	Chrom2-162653500	112.730484831628	3.84342428355876
chr2	bayes	Chrom2-136800537	87.4376648736552	3.50922919901885
chr2	bayes	Chrom2-160099085	108.220687393173	4.3119373476555
chr2	bayes	Chrom2-162653500	112.730484831628	3.84342428355876
chr8	lod_1.5	Chrom8-5559192	14.0281664452649	2.29626689454223
chr8	lod_1.5	Chrom8-103938310	67.4209596211129	3.81957084639372
chr8	lod_1.5	Chrom8-110015317	84.6793336650558	3.46809749252519
chr8	lod_2	Chrom8-3013566	5.27410429109928	1.78921568453021
chr8	lod_2	Chrom8-103938310	67.4209596211129	3.81957084639372
chr8	lod_2	Chrom8-110015317	84.6793336650558	3.46809749252519
chr8	bayes	Chrom8-3625470	7.49668893382306	2.26286378653616
chr8	bayes	Chrom8-103938310	67.4209596211129	3.81957084639372
chr8	bayes	Chrom8-110015317	84.6793336650558	3.46809749252519
