chr	interval	marker	pos	lod
chr8	lod_1.5	Chrom8-2520969	4.83997419003871	8.84998154589957
chr8	lod_1.5	Chrom8-5150659	13.7323654168753	10.6826805553973
chr8	lod_1.5	Chrom8-6757981	17.5138280921898	8.93812572121847
chr8	lod_2	Chrom8-2315267	4.42262214311179	8.53862926918994
chr8	lod_2	Chrom8-5150659	13.7323654168753	10.6826805553973
chr8	lod_2	Chrom8-7253140	19.5399401578182	8.59846953128679
chr8	bayes	Chrom8-2416517	4.6315812319131	9.09822607870034
chr8	bayes	Chrom8-5150659	13.7323654168753	10.6826805553973
chr8	bayes	Chrom8-7041008	18.662858640646	9.01131460842341
chr9	lod_1.5	Chrom9-78403	0	3.2125888550255
chr9	lod_1.5	Chrom9-1882153	3.61930201550683	4.47867198125957
chr9	lod_1.5	Chrom9-3107064	6.51521604320608	2.88069341824945
chr9	lod_2	Chrom9-78403	0	3.2125888550255
chr9	lod_2	Chrom9-1882153	3.61930201550683	4.47867198125957
chr9	lod_2	Chrom9-4078838	8.16515661702292	1.89966525660279
chr9	bayes	Chrom9-78403	0	3.2125888550255
chr9	bayes	Chrom9-1882153	3.61930201550683	4.47867198125957
chr9	bayes	Chrom9-3107064	6.51521604320608	2.88069341824945
