chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	2.56941087851808
chr1	lod_1.5	Chrom1-110853266	52.3048591120826	4.58581772061781
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	2.02474922200869
chr1	lod_2	Chrom1-17457715	40.2450241849802	2.56941087851808
chr1	lod_2	Chrom1-110853266	52.3048591120826	4.58581772061781
chr1	lod_2	Chrom1-124526980	61.8614668315148	2.02474922200869
chr1	bayes	Chrom1-17737887	41.2155531349241	3.34523301157213
chr1	bayes	Chrom1-110853266	52.3048591120826	4.58581772061781
chr1	bayes	Chrom1-123567103	61.4481945915442	3.53967792296798
chr8	lod_1.5	Chrom8-14025481	36.9263781194074	8.3109525658468
chr8	lod_1.5	Chrom8-29549395	40.465291139873	10.2203650454925
chr8	lod_1.5	Chrom8-33823147	40.5679101737759	10.2203650454925
chr8	lod_1.5	Chrom8-38038103	40.5679102737759	10.2203650454925
chr8	lod_1.5	Chrom8-38356098	40.7733458704726	10.2203650454925
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	10.2203650454925
chr8	lod_1.5	Chrom8-40191569	40.8760939238291	10.2203650454925
chr8	lod_1.5	Chrom8-40515877	40.8760940238291	10.2203650454925
chr8	lod_1.5	Chrom8-40637481	40.8760941238291	10.2203650454925
chr8	lod_1.5	Chrom8-44276226	41.0816554290401	10.2203650454925
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	10.2203650454925
chr8	lod_1.5	Chrom8-44700904	41.0816556290401	10.2203650454925
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	10.2203650454925
chr8	lod_1.5	Chrom8-84093539	41.6974416005708	8.60330362082026
chr8	lod_2	Chrom8-13813201	36.5599803010975	8.12091212412488
chr8	lod_2	Chrom8-29549395	40.465291139873	10.2203650454925
chr8	lod_2	Chrom8-33823147	40.5679101737759	10.2203650454925
chr8	lod_2	Chrom8-38038103	40.5679102737759	10.2203650454925
chr8	lod_2	Chrom8-38356098	40.7733458704726	10.2203650454925
chr8	lod_2	Chrom8-38467862	40.7733459704726	10.2203650454925
chr8	lod_2	Chrom8-40191569	40.8760939238291	10.2203650454925
chr8	lod_2	Chrom8-40515877	40.8760940238291	10.2203650454925
chr8	lod_2	Chrom8-40637481	40.8760941238291	10.2203650454925
chr8	lod_2	Chrom8-44276226	41.0816554290401	10.2203650454925
chr8	lod_2	Chrom8-44440966	41.0816555290401	10.2203650454925
chr8	lod_2	Chrom8-44700904	41.0816556290401	10.2203650454925
chr8	lod_2	Chrom8-50415370	41.1842749818426	10.2203650454925
chr8	lod_2	Chrom8-84936295	42.3156153195737	6.55068420021892
chr8	bayes	Chrom8-14882957	37.5728472066028	9.1696007578272
chr8	bayes	Chrom8-29549395	40.465291139873	10.2203650454925
chr8	bayes	Chrom8-82069301	41.5950795950036	9.76382111397768
chr9	lod_1.5	Chrom9-78403	0	5.28824501107766
chr9	lod_1.5	Chrom9-1724692	2.37198284363606	6.61282120937568
chr9	lod_1.5	Chrom9-4131929	9.14825760706946	4.80323030718996
chr9	lod_2	Chrom9-78403	0	5.28824501107766
chr9	lod_2	Chrom9-1724692	2.37198284363606	6.61282120937568
chr9	lod_2	Chrom9-5230136	11.3788157836196	4.21663598966853
chr9	bayes	Chrom9-1407915	1.37552578167463	5.48706569085255
chr9	bayes	Chrom9-1724692	2.37198284363606	6.61282120937568
chr9	bayes	Chrom9-4078838	8.16515661702292	6.06268048076539
