chr	pos	lod
c2.loc38	2	38	3.87687891380722
Chrom2-18306916	2	38.1277539239129	4.06570041688656
Chrom2-18358950	2	38.1277540239129	4.06570054652929
Chrom2-18409093	2	38.1277541239129	4.06570050795563
Chrom2-18725615	2	39.1636414082186	3.39018326195765
Chrom2-18832578	2	39.2974645971716	3.41176118170125
Chrom6-2013476	6	1.95698856839003	3.40295068327799
c6.loc2	6	2	3.41015417374376
Chrom6-2116314	6	2.01729888024157	3.41263613113716
Chrom6-2273738	6	2.51924632266273	3.5801710294358
Chrom6-2375622	6	2.77406982610984	3.65551597877447
Chrom6-2433430	6	2.77406992610985	3.65551599066657
Chrom6-2598284	6	3.25034837984214	3.88338007150912
Chrom6-2763924	6	3.48847204290306	3.93966309833712
Chrom6-2867802	6	3.71978283969091	3.867143445647
Chrom6-2920772	6	3.86163927187879	3.79587525006377
Chrom6-2971046	6	3.86163937187879	3.79587519746366
Chrom6-3073307	6	3.8616394718788	3.79587521599666
c6.loc4	6	4	3.85944871071376
Chrom6-3177492	6	4.31105527017933	3.93987365717362
Chrom6-3292422	6	4.411092702964	4.04081487905108
Chrom6-3343495	6	5.01773564678791	4.60047466235699
Chrom6-3395469	6	5.36482860481246	4.84762162015659
Chrom6-3449893	6	5.36482870481246	4.84762166975497
Chrom6-3557058	6	5.83248005047386	4.81106085449721
c6.loc6	6	6	4.80265633413279
Chrom6-3659787	6	6.12377503075363	4.79333105175215
Chrom6-3768149	6	6.31045455914472	4.68631309145542
Chrom6-3819694	6	6.31045465914472	4.68631303717086
Chrom6-3871865	6	6.70920358332416	4.53199929308749
Chrom6-3979303	6	7.44831772108912	4.84280734078959
Chrom6-4030167	6	7.44831782108913	4.84280732480272
Chrom6-4134050	6	7.79123726115418	4.81829135932992
Chrom6-4185289	6	7.79123736115419	4.81829138656894
Chrom6-4287717	6	7.9856346024176	4.8747593950576
c6.loc8	6	8	4.87718068703032
Chrom6-4343022	6	8.31263333136983	4.90083248717195
Chrom6-4397163	6	8.57162938617707	4.83251614983175
Chrom6-4448805	6	8.57162948617707	4.83251615218319
Chrom6-4605791	6	9.16173149323558	5.15259256534301
Chrom6-4657266	6	9.16173159323558	5.15259258457064
Chrom6-4757587	6	9.71650089817456	5.50264701908384
Chrom6-4810911	6	9.71650099817456	5.50264704844864
c6.loc10	6	10	5.77507797314723
Chrom6-4962302	6	10.4164992978407	6.08278288735056
Chrom6-5020730	6	10.4164993978407	6.08278292582037
Chrom6-5227053	6	11.1033593162009	6.35529888669186
Chrom6-5280222	6	11.2041671771479	6.35529888669197
Chrom6-5647729	6	11.4417479682122	6.41356809294962
