chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	5.98902080514267
chr1	lod_1.5	Chrom1-18203714	41.7092201463062	8.1078861319829
chr1	lod_1.5	Chrom1-25711641	48.0707832908858	6.29854700016269
chr1	lod_2	Chrom1-17457715	40.2450241849802	5.98902080514267
chr1	lod_2	Chrom1-18203714	41.7092201463062	8.1078861319829
chr1	lod_2	Chrom1-27286572	48.5839635543164	6.07087051578105
chr1	bayes	Chrom1-17634061	40.8436629437429	7.17699238615553
chr1	bayes	Chrom1-18203714	41.7092201463062	8.1078861319829
chr1	bayes	Chrom1-25711641	48.0707832908858	6.29854700016269
chr8	lod_1.5	Chrom8-2315267	4.42262214311179	4.22111828640446
chr8	lod_1.5	Chrom8-29549395	40.465291139873	5.74041562017793
chr8	lod_1.5	Chrom8-33823147	40.5679101737759	5.74041562017793
chr8	lod_1.5	Chrom8-38038103	40.5679102737759	5.74041562017793
chr8	lod_1.5	Chrom8-38356098	40.7733458704726	5.74041562017793
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	5.74041562017793
chr8	lod_1.5	Chrom8-40191569	40.8760939238291	5.74041562017793
chr8	lod_1.5	Chrom8-40515877	40.8760940238291	5.74041562017793
chr8	lod_1.5	Chrom8-40637481	40.8760941238291	5.74041562017793
chr8	lod_1.5	Chrom8-44276226	41.0816554290401	5.74041562017793
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	5.74041562017793
chr8	lod_1.5	Chrom8-44700904	41.0816556290401	5.74041562017793
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	5.74041562017793
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	4.02612368477436
chr8	lod_2	Chrom8-2159897	3.56816191215158	3.65643395667841
chr8	lod_2	Chrom8-29549395	40.465291139873	5.74041562017793
chr8	lod_2	Chrom8-33823147	40.5679101737759	5.74041562017793
chr8	lod_2	Chrom8-38038103	40.5679102737759	5.74041562017793
chr8	lod_2	Chrom8-38356098	40.7733458704726	5.74041562017793
chr8	lod_2	Chrom8-38467862	40.7733459704726	5.74041562017793
chr8	lod_2	Chrom8-40191569	40.8760939238291	5.74041562017793
chr8	lod_2	Chrom8-40515877	40.8760940238291	5.74041562017793
chr8	lod_2	Chrom8-40637481	40.8760941238291	5.74041562017793
chr8	lod_2	Chrom8-44276226	41.0816554290401	5.74041562017793
chr8	lod_2	Chrom8-44440966	41.0816555290401	5.74041562017793
chr8	lod_2	Chrom8-44700904	41.0816556290401	5.74041562017793
chr8	lod_2	Chrom8-50415370	41.1842749818426	5.74041562017793
chr8	lod_2	Chrom8-88960105	43.2404946981861	3.41230672137797
chr8	bayes	Chrom8-2159897	3.56816191215158	3.65643395667841
chr8	bayes	Chrom8-29549395	40.465291139873	5.74041562017793
chr8	bayes	Chrom8-86297606	42.623276817785	4.02040772390392
chr9	lod_1.5	Chrom9-1250222	1.0026334724508	2.73300406277808
chr9	lod_1.5	c9.loc6	6	4.75238144840321
chr9	lod_1.5	Chrom9-94203579	34.2180647122457	3.23815778170609
chr9	lod_2	Chrom9-1250222	1.0026334724508	2.73300406277808
chr9	lod_2	c9.loc6	6	4.75238144840321
chr9	lod_2	Chrom9-95105362	34.6039741888128	2.71539932772694
chr9	bayes	Chrom9-1356319	1.37552568167463	3.35623215255869
chr9	bayes	c9.loc6	6	4.75238144840321
chr9	bayes	Chrom9-94203579	34.2180647122457	3.23815778170609
