chr	pos	lod
Chrom1-5652	1	0	0.27410896809306
Chrom1-183102	1	1.00000002822922e-07	0.274108968077087
Chrom1-603629	1	2.00000005645844e-07	0.274108968061
Chrom1-761741	1	3.00000008468766e-07	0.274108968045027
Chrom1-863105	1	0.103471568004863	0.274092368085803
Chrom1-964613	1	0.103471668004866	0.274092376176782
Chrom1-1016938	1	0.29823127307677	0.289732851659039
Chrom1-1069694	1	0.298231373076772	0.289732857576269
Chrom1-1121619	1	0.761938634387554	0.320991913766363
Chrom1-1172951	1	0.761938734387557	0.32099191374823
Chrom1-1223030	1	0.76193883438756	0.320991913746184
Chrom1-1325794	1	1.12247822222867	0.331315955354285
Chrom1-1390198	1	1.12247832222867	0.331315997986962
Chrom1-1441272	1	1.5608482569274	0.532970294275628
Chrom1-1492718	1	1.5608483569274	0.532970343386239
Chrom1-1546098	1	1.5608484569274	0.532970335614095
c1.loc2	1	2	0.521009840158001
Chrom1-1596723	1	2.37488230695494	0.54616683823042
Chrom1-1711327	1	2.59177479975153	0.546109615682155
Chrom1-1763616	1	2.59177489975153	0.546109629563375
Chrom1-1814638	1	2.59177499975153	0.546109643444481
Chrom1-1872167	1	2.93163406541386	0.604324358142662
Chrom1-1924661	1	3.2714210113261	0.681575787235772
Chrom1-2027517	1	3.27142111132611	0.681575812217886
Chrom1-2136853	1	3.74661300739908	0.62329043832267
Chrom1-2187817	1	3.86936961640132	0.609401975630419
c1.loc4	1	4	0.595314070146173
Chrom1-2239587	1	4.16994016573716	0.578181579432851
Chrom1-2291990	1	4.16994026573716	0.578181563482701
Chrom1-2344686	1	4.5197693826835	0.560652410569503
Chrom1-2395776	1	4.87048564535907	0.547735864107324
Chrom1-2446015	1	5.23534709509334	0.523582478634296
Chrom1-2496728	1	5.23534719509334	0.52358249297049
Chrom1-2549023	1	5.32624849103758	0.519675694046214
Chrom1-2650133	1	5.43268963957073	0.492289355938681
Chrom1-2756385	1	5.6582739067001	0.460834184781561
c1.loc6	1	6	0.462200495939783
Chrom1-2807086	1	6.77101698684563	0.462813107612988
Chrom1-2857437	1	6.77101708684564	0.462813095935303
Chrom1-2912792	1	6.77101718684564	0.462813087078416
Chrom1-2965574	1	7.23115784769613	0.424303386319536
Chrom1-3019235	1	7.48236225482419	0.422487328722809
Chrom1-3070720	1	7.48236235482419	0.422487328888508
Chrom1-3122485	1	7.9463985498561	0.434908118801047
Chrom1-3172507	1	7.9463986498561	0.434908131339398
c1.loc8	1	8	0.434922061027976
Chrom1-3229036	1	8.88687984842846	0.429125054929671
Chrom1-3381594	1	8.88687994842846	0.429125054349868
Chrom1-3432080	1	9.11737529316105	0.425360189814228
Chrom1-3482935	1	9.11737539316105	0.42536018979348
Chrom1-3586241	1	9.11737549316105	0.425360189772732
Chrom1-3800847	1	9.61576382607849	0.294802917083473
Chrom1-3956346	1	9.73747460492996	0.287533526473283
c1.loc10	1	10	0.403905122556353
Chrom1-4160303	1	10.1513314850335	0.484817372837142
Chrom1-4212527	1	10.1513315850335	0.484817372821226
Chrom1-4372350	1	10.855619093551	0.530476929006511
Chrom1-4538427	1	11.0628943257647	0.529332044767216
Chrom1-4643471	1	11.8375833438862	0.415737863276263
c1.loc12	1	12	0.407645451779047
Chrom1-4897657	1	12.1220004588309	0.401129409695045
Chrom1-4948517	1	12.1220005588309	0.401129410101873
Chrom1-5056936	1	12.6388664157656	0.406712187018684
Chrom1-5107761	1	12.6388665157656	0.406712188689085
Chrom1-5160796	1	12.6388666157656	0.406712189519624
Chrom1-5213184	1	13.0832233528156	0.229615184966178
Chrom1-5264775	1	13.0832234528156	0.229615148559844
Chrom1-5315439	1	13.0832235528156	0.229615120658877
c1.loc14	1	14	0.224593396959449
Chrom1-5418960	1	14.1012404074118	0.224060686614337
Chrom1-5474279	1	14.1012405074118	0.224060687092674
Chrom1-5525822	1	14.1012406074118	0.224060687571182
Chrom1-5578409	1	14.4944338870687	0.28726683057954
Chrom1-5628901	1	14.8997739657646	0.354042744331139
Chrom1-5679112	1	15.1640255852324	0.442559681137539
Chrom1-5781306	1	15.4484802760875	0.481829113925869
Chrom1-5831406	1	15.4484803760875	0.481829112090054
Chrom1-5882169	1	15.4484804760875	0.481829112653543
c1.loc16	1	16	0.47818073171203
Chrom1-5936223	1	16.0935410285572	0.477949631335491
Chrom1-5987582	1	16.0935411285572	0.47794962407869
Chrom1-6039981	1	16.7382288276951	0.324097289343172
Chrom1-6094232	1	16.7382289276951	0.324097292173576
Chrom1-6144233	1	16.7382290276951	0.32409729370886
Chrom1-6318649	1	17.6098727589947	0.0578358863398876
Chrom1-6369443	1	17.6098728589947	0.0578358723788028
Chrom1-6420980	1	17.6098729589947	0.0578358671234014
Chrom1-6523782	1	17.8970247699018	0.018645705808126
c1.loc18	1	18	0.0191114078189685
Chrom1-6629073	1	18.1264280110141	0.0219765064653075
Chrom1-6679388	1	18.1264281110141	0.0219765049823764
Chrom1-6782046	1	18.7007566422192	0.0159198276380152
Chrom1-6833788	1	18.9065784435635	0.0161270111229328
Chrom1-6891522	1	19.0515741996239	0.0207752169866922
Chrom1-6942777	1	19.5270202672787	0.0366757023414834
c1.loc20	1	20	0.0181096662198001
Chrom1-6994230	1	20.0519922909055	0.0206877889223165
Chrom1-7046610	1	20.0519923909055	0.0206877929721259
Chrom1-7098549	1	20.6219415147693	0.0215164610572174
Chrom1-7150657	1	20.8907858828773	0.0213621719669845
Chrom1-7201632	1	20.8907859828773	0.0213621716600301
Chrom1-7267012	1	21.4748075447272	0.0197702111176454
Chrom1-7373428	1	21.9419675765868	0.018389472870922
c1.loc22	1	22	0.0190083588951779
Chrom1-7535262	1	22.1133534802102	0.0202325754935373
Chrom1-7638676	1	22.1133535802102	0.0202325765818046
Chrom1-7798435	1	22.2476391396362	0.00533412870095162
Chrom1-7917007	1	22.2476392396362	0.00533412922430898
Chrom1-8080770	1	22.493879116791	0.0293926856720077
Chrom1-8133986	1	22.493879216791	0.0293926862638614
Chrom1-8190487	1	22.65744863269	0.0474999940961993
