chr	pos	lod
Chrom1-5652	1	0	1.38436727565357
Chrom1-183102	1	1.00000002822922e-07	1.38436727557829
Chrom1-603629	1	2.00000005645844e-07	1.38436727550302
Chrom1-761741	1	3.00000008468766e-07	1.38436727542775
Chrom1-863105	1	0.103471568004863	1.38428905099877
Chrom1-964613	1	0.103471668004866	1.38428904787121
Chrom1-1016938	1	0.29823127307677	1.37575759999634
Chrom1-1069694	1	0.298231373076772	1.3757576271056
Chrom1-1121619	1	0.761938634387554	1.44781989008609
Chrom1-1172951	1	0.761938734387557	1.44781989018804
Chrom1-1223030	1	0.76193883438756	1.44781989724417
Chrom1-1325794	1	1.12247822222867	1.26332473549924
Chrom1-1390198	1	1.12247832222867	1.26332468660138
Chrom1-1441272	1	1.5608482569274	1.22451934088228
Chrom1-1492718	1	1.5608483569274	1.22451933159812
Chrom1-1546098	1	1.5608484569274	1.22451932231387
c1.loc2	1	2	1.18203767544
Chrom1-1596723	1	2.37488230695494	1.14336266680136
Chrom1-1711327	1	2.59177479975153	1.12017038908186
Chrom1-1763616	1	2.59177489975153	1.12017039108105
Chrom1-1814638	1	2.59177499975153	1.12017039308056
Chrom1-1872167	1	2.93163406541386	1.11526217266811
Chrom1-1924661	1	3.2714210113261	1.08821780001541
Chrom1-2027517	1	3.27142111132611	1.08821778918965
Chrom1-2136853	1	3.74661300739908	1.01717365057
Chrom1-2187817	1	3.86936961640132	0.995647747277769
c1.loc4	1	4	0.971608607731863
Chrom1-2239587	1	4.16994016573716	0.938918355151742
Chrom1-2291990	1	4.16994026573716	0.938918347883781
Chrom1-2344686	1	4.5197693826835	0.874881116172496
Chrom1-2395776	1	4.87048564535907	0.887147153589076
Chrom1-2446015	1	5.23534709509334	1.02866360495909
Chrom1-2496728	1	5.23534719509334	1.02866363429619
Chrom1-2549023	1	5.32624849103758	0.922216395120657
Chrom1-2650133	1	5.43268963957073	0.851909773488281
Chrom1-2756385	1	5.6582739067001	0.988440683509815
c1.loc6	1	6	0.981146523059941
Chrom1-2807086	1	6.77101698684563	0.947966346998403
Chrom1-2857437	1	6.77101708684564	0.94796633146855
Chrom1-2912792	1	6.77101718684564	0.94796632765377
Chrom1-2965574	1	7.23115784769613	0.972897826457086
Chrom1-3019235	1	7.48236225482419	0.98201568001803
Chrom1-3070720	1	7.48236235482419	0.982015677838408
Chrom1-3122485	1	7.9463985498561	0.938010387501205
Chrom1-3172507	1	7.9463986498561	0.938010382073607
c1.loc8	1	8	0.929956783938927
Chrom1-3229036	1	8.88687984842846	0.796023440014508
Chrom1-3381594	1	8.88687994842846	0.796023434915266
Chrom1-3432080	1	9.11737529316105	0.796375778580266
Chrom1-3482935	1	9.11737539316105	0.796375778733729
Chrom1-3586241	1	9.11737549316105	0.79637577888662
Chrom1-3800847	1	9.61576382607849	0.764528306950073
Chrom1-3956346	1	9.73747460492996	0.784722405031427
c1.loc10	1	10	0.842197132474968
Chrom1-4160303	1	10.1513314850335	0.881913568211765
Chrom1-4212527	1	10.1513315850335	0.881913568368073
Chrom1-4372350	1	10.855619093551	1.23259044294239
Chrom1-4538427	1	11.0628943257647	1.24100362104137
Chrom1-4643471	1	11.8375833438862	1.3376702847081
c1.loc12	1	12	1.34706183014474
Chrom1-4897657	1	12.1220004588309	1.35424111669478
