chr	pos	lod
c2.loc44	2	44	3.84087275537803
Chrom2-27175557	2	45.0973745747932	3.91032295117031
Chrom2-27330415	2	45.0973746747932	3.91032294779046
Chrom2-27433736	2	45.3359423038117	3.9983052639389
Chrom2-27489648	2	45.7534955468582	4.14492591847153
c2.loc46	2	46	4.19406237494621
Chrom2-27593319	2	46.0799575438947	4.19149672942655
Chrom2-27698966	2	46.0799576438947	4.19149672983792
Chrom2-28308525	2	46.8533127316258	4.01165970112004
Chrom2-28412378	2	46.8533128316258	4.01165970146423
Chrom2-28514142	2	46.9563805012083	4.01201464265341
Chrom2-28565881	2	46.9563806012083	4.01201464299811
Chrom2-28624495	2	47.3814663127683	4.09288096724811
Chrom2-33618532	2	54.29625580742	3.84676108827188
Chrom2-33720949	2	54.29625590742	3.84676109116953
Chrom2-33773706	2	54.5926761809634	3.81968581903084
Chrom2-33828381	2	54.5926762809634	3.81968579814026
Chrom2-33965696	2	54.7261808505609	3.78525587192991
Chrom2-34072150	2	54.8865464252014	3.87394549894992
Chrom2-34232929	2	55.1580414783971	3.88851860324041
Chrom2-34338495	2	55.1580415783971	3.88851868717347
Chrom2-34388777	2	55.4192376730009	4.20673202855016
Chrom2-34440350	2	55.6021761092847	4.19091639975829
Chrom2-34593589	2	55.9416856271949	4.33453637131868
Chrom2-34805081	2	55.9416857271949	4.33453639193152
c2.loc56	2	56	4.39454506292651
Chrom2-34910104	2	56.2769753688999	4.50054181266586
Chrom2-35193863	2	56.4988575713209	4.46081542232082
Chrom2-35551437	2	56.9472843713748	3.80948215962673
Chrom2-36075024	2	57.794022817676	3.85593229738845
c2.loc58	2	58	3.83952831239566
Chrom2-36244014	2	58.1657274861616	3.82543097516759
Chrom2-36345082	2	58.1657275861616	3.82543096642803
Chrom2-36549897	2	58.4328791671344	3.8011285487828
Chrom2-36611792	2	58.6278166529177	3.80628214595134
Chrom2-36662271	2	58.6985055177903	3.79942054929245
Chrom2-36712581	2	58.8571996208768	3.78310798307791
Chrom2-36763279	2	58.9654508562414	3.77167980295224
Chrom2-37241012	2	59.9298000652425	3.80287848562648
Chrom2-37292052	2	59.9298001652425	3.80287837523798
Chrom2-48035691	2	73.6637322578618	3.86171796556999
Chrom2-48208735	2	73.6637323578618	3.86171802904545
Chrom2-48691029	2	73.6637324578618	3.86171802904545
Chrom2-48834267	2	73.6637325578618	3.86171802904545
Chrom2-48987447	2	73.6637326578619	3.86171802904545
Chrom2-49352451	2	73.7663689482425	3.81466965838371
Chrom2-49559363	2	73.8687301593115	3.82965677369606
c2.loc74	2	74	3.82965694271019
Chrom2-50336763	2	74.0745478491326	3.82965677369606
Chrom2-50440628	2	74.0745479491326	3.82965677369606
Chrom2-50980348	2	74.0745480491326	3.82965677369606
Chrom2-51413438	2	74.2803668686467	3.90997979731264
Chrom2-52126773	2	74.3827259833609	3.7641083242786
Chrom2-52319337	2	74.3827260833609	3.7641083242786
Chrom2-54412830	2	74.4853442484743	3.7641083242786
Chrom2-54516602	2	74.5877037562761	3.76410832427871
Chrom2-54884360	2	74.7935259478462	3.7641083242786
Chrom2-55089747	2	74.9993481388811	3.82129159204572
Chrom2-67092948	2	75.1018369871025	3.82129159204567
Chrom2-71219895	2	75.1529292929099	3.82129159204572
Chrom2-73410888	2	75.2041164005814	3.82129159204567
Chrom2-80576007	2	75.5121016786054	3.79415397349214
Chrom2-97022457	2	76.333297394968	4.31176598279563
Chrom2-99596652	2	76.333297494968	4.31176598279563
Chrom2-101551991	2	76.4359160914477	4.28928192105883
Chrom2-107015396	2	76.5385363943961	4.31034421154851
Chrom2-117320155	2	76.6411558290937	4.31034421154851
Chrom2-118312936	2	76.7437750462366	4.47052772253124
Chrom2-119294796	2	76.8463940466421	4.47052772253124
Chrom2-119731832	2	76.9490130465707	4.47052772253124
Chrom2-119924209	2	77.0515453186473	4.5716436300321
Chrom2-128902024	2	77.1881962331702	4.81037283877095
Chrom2-129054640	2	77.4628937185688	4.82794932400014
Chrom2-129165232	2	77.4628938185688	4.82794934759005
Chrom2-129625143	2	77.4628939185688	4.82794934759005
Chrom2-129740274	2	77.6169868048368	4.93980871347065
Chrom2-129791481	2	77.7708200289383	5.03305315308563
Chrom2-129947911	2	77.7708201289383	5.03305315308563
Chrom2-130519794	2	77.8736106711385	5.03305315308563
Chrom2-131226038	2	77.9758396873618	5.16216881874135
c2.loc78	2	78	5.16216887593197
Chrom2-131381449	2	78.2333850415289	5.16216881874141
Chrom2-131549992	2	78.4908309259213	5.16926143389884
Chrom2-131809095	2	78.632124667842	5.28804211419867
Chrom2-131965415	2	78.8629036010556	5.28804211419867
Chrom2-132178593	2	79.0035053889088	5.85999495282891
Chrom2-132290069	2	79.0035054889088	5.85999528717144
Chrom2-132979028	2	79.4171779716228	5.85999528717144
Chrom2-133030668	2	79.4171780716228	5.8599952871715
Chrom2-133082194	2	79.5949373306512	5.85999528717144
Chrom2-133134422	2	79.7727346424314	5.85999528717144
Chrom2-133185053	2	79.7727347424314	5.85999528717144
c2.loc80	2	80	5.77549201356697
Chrom2-133352929	2	80.172573737938	5.6915607083875
Chrom2-133506154	2	80.6261618224741	5.85439650576006
Chrom2-133608381	2	80.9307036281882	5.51897557008658
Chrom2-133764594	2	81.0641825630283	5.46898136606563
Chrom2-133865537	2	81.2563223026542	5.46898136606575
Chrom2-134079434	2	81.2854918849755	5.45872518532184
Chrom2-134234252	2	81.5086372207932	5.2512916197644
Chrom2-134336818	2	81.5086373207932	5.25129148023433
c2.loc82	2	82	5.40054933576192
Chrom2-134388056	2	82.0278820070425	5.40763018212954
Chrom2-134438542	2	82.0278821070425	5.40763020719936
Chrom2-134539563	2	82.2762399682389	5.40142685594901
Chrom2-134591599	2	82.4260178099331	5.39265944208267
Chrom2-134642084	2	82.5759620964861	5.3801527181011
Chrom2-134797489	2	82.757613595853	5.3602381951535
Chrom2-134847924	2	83.0300515546092	5.20718296199863
Chrom2-134901296	2	83.4407117596792	4.89284619587727
c2.loc84	2	84	4.54839147962423
Chrom2-134951512	2	84.0455507040014	4.51582013415771
Chrom2-135002204	2	84.0455508040014	4.51582015065594
Chrom2-135053052	2	84.0455509040014	4.51582017249234
Chrom2-135155193	2	84.6585610835185	4.33838247725021
Chrom2-135205619	2	84.6585611835185	4.33838242278438
Chrom2-135312497	2	84.9821365196784	4.33838242278438
Chrom2-135482189	2	84.9821366196785	4.33838242278438
Chrom2-135692297	2	85.0846653519718	4.33838242278438
Chrom2-135795279	2	85.2560206999177	4.30741040020735
Chrom2-135949750	2	85.4269838129565	4.27603480681302
Chrom2-136164117	2	85.6557947271046	3.9289179896835
Chrom2-136266969	2	85.807386890739	3.89175836040295
c2.loc86	2	86	3.87252901012567
Chrom2-136375809	2	86.1131841748897	3.86170355856046
Chrom2-136589033	2	86.3288446045896	3.84502129229162
