chr	interval	marker	pos	lod
chr4	lod_1.5	Chrom4-2881053	4.88039643773485	5.44067471642523
chr4	lod_1.5	Chrom4-11057547	25.4017789689852	7.27125010931976
chr4	lod_1.5	Chrom4-12633024	27.6658646877998	5.46788050039508
chr4	lod_2	Chrom4-2233943	3.42045794336328	4.76276024500229
chr4	lod_2	Chrom4-11057547	25.4017789689852	7.27125010931976
chr4	lod_2	Chrom4-13065911	28.6493296703628	4.44239290380811
chr4	bayes	Chrom4-3203204	5.75428622195748	6.20383078641355
chr4	bayes	Chrom4-11057547	25.4017789689852	7.27125010931976
chr4	bayes	Chrom4-12157341	26.9768540789319	6.2589062332541
chr6	lod_1.5	Chrom6-231178	3.00000008468766e-07	1.61164663201232
chr6	lod_1.5	Chrom6-112844321	70.1169302318963	3.51134199917992
chr6	lod_1.5	Chrom6-115591418	80.0108714498996	1.66351309354946
chr6	lod_2	Chrom6-73270	0	1.61164663024372
chr6	lod_2	Chrom6-112844321	70.1169302318963	3.51134199917992
chr6	lod_2	Chrom6-118425974	88.3032200956482	1.39945746023461
chr6	bayes	Chrom6-1315788	0.555481851187793	2.02233405708542
chr6	bayes	Chrom6-112844321	70.1169302318963	3.51134199917992
chr6	bayes	Chrom6-115540271	79.346214667835	2.05014960831424
chr8	lod_1.5	Chrom8-6923893	17.7849751657077	3.75853849293375
chr8	lod_1.5	Chrom8-44700904	41.0816556290401	5.41273853589596
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	5.41273853589596
chr8	lod_1.5	Chrom8-94872639	50.5584538161282	3.71875691585419
chr8	lod_2	Chrom8-3829622	7.49668923382307	3.05097675335173
chr8	lod_2	Chrom8-44700904	41.0816556290401	5.41273853589596
chr8	lod_2	Chrom8-50415370	41.1842749818426	5.41273853589596
chr8	lod_2	Chrom8-95787883	52.5029350358179	2.93222561365999
chr8	bayes	Chrom8-4048181	9.08645758631888	3.78731158416382
chr8	bayes	Chrom8-44700904	41.0816556290401	5.41273853589596
chr8	bayes	Chrom8-95576067	51.6900356736486	3.8270252436567
