chr	pos	lod
Chrom2-17869	2	0	0.531625478997341
Chrom2-124577	2	1.00000002822922e-07	0.531625478939191
Chrom2-550580	2	0.10197987531197	0.513831210037495
Chrom2-768406	2	0.545071631783923	0.71999726267461
Chrom2-872275	2	0.545071731783926	0.719997309579696
Chrom2-922294	2	0.80647517795362	0.722115320777959
Chrom2-972438	2	1.34173894834407	0.729583129556715
Chrom2-1073791	2	1.87198825322641	0.731169770428437
Chrom2-1236932	2	1.87198835322641	0.731169732839135
c2.loc2	2	2	0.675320888706551
Chrom2-1340325	2	2.21798435598771	0.583962477714522
Chrom2-1396160	2	2.39027566795576	0.573132298875294
Chrom2-1452395	2	2.64944085570836	0.585458150157478
Chrom2-1561233	2	2.90924106507422	0.592323668412462
Chrom2-1670354	2	3.09313857806797	0.587397894226854
Chrom2-1722267	2	3.32497117482492	0.587302409493816
Chrom2-1772571	2	3.46108108976558	0.605178497787108
Chrom2-2037270	2	3.73728049394073	0.74294603251218
c2.loc4	2	4	0.740506287998926
Chrom2-2373770	2	4.42289266838883	0.735337461471943
Chrom2-2427998	2	4.42289276838883	0.73533746009258
Chrom2-2529679	2	4.98073073565203	0.608483291564767
Chrom2-2581054	2	4.98073083565203	0.608483279898223
Chrom2-2632994	2	4.98073093565203	0.60848326823168
Chrom2-2683121	2	5.3553334537152	0.669665298674943
Chrom2-2736558	2	5.3553335537152	0.669665315192105
Chrom2-2839292	2	5.79789972218197	0.669465238921191
Chrom2-2919626	2	5.79789982218198	0.669465221266648
c2.loc6	2	6	0.59554578735441
Chrom2-3181097	2	6.21256944877326	0.519658063202144
Chrom2-3232903	2	6.34617022010741	0.4722721223348
Chrom2-3291827	2	6.55804929513579	0.369971324819858
Chrom2-3342703	2	6.78856505457184	0.361352414973908
Chrom2-3393426	2	6.93854640505694	0.361320378589994
Chrom2-3499828	2	6.93854650505695	0.361320378569246
Chrom2-3611997	2	7.2390946319094	0.361257732413605
Chrom2-3714339	2	7.23909473190941	0.361257736107859
Chrom2-3834391	2	7.98248709125552	0.378461524432055
c2.loc8	2	8	0.379170104541004
Chrom2-3896824	2	8.21172986843419	0.38709707007547
Chrom2-4050191	2	8.70998380234533	0.407433712049794
Chrom2-4310626	2	9.11530565440523	0.489211655208919
Chrom2-4364006	2	9.24845174977863	0.489309425770614
Chrom2-4466196	2	9.24845184977864	0.489309425844397
Chrom2-4576623	2	9.36943198962067	0.619026899825144
Chrom2-4683565	2	9.56201796903387	0.732408292061677
c2.loc10	2	10	0.852402802430959
Chrom2-4785190	2	10.6672008029204	1.02822433225089
Chrom2-4886118	2	10.6672009029204	1.02822433127403
Chrom2-5048280	2	10.6672010029204	1.02822433029689
Chrom2-5105895	2	10.9293506053382	1.02847779532925
Chrom2-5156989	2	11.3246133397476	0.974348607702552
Chrom2-5207209	2	11.3246134397476	0.974348607794241
Chrom2-5260899	2	11.3246135397476	0.974348607885815
Chrom2-5364959	2	11.3246136397476	0.974348607977447
Chrom2-5517692	2	11.4986849506841	0.974508413484102
Chrom2-5576049	2	11.6747718850906	0.974670544142612
Chrom2-5677501	2	11.6747719850906	0.974670543515401
c2.loc12	2	12	0.977967661481898
Chrom2-5780035	2	12.2963680734076	0.973283788689741
Chrom2-5830452	2	12.7178771056742	1.04145518217609
Chrom2-5936760	2	13.0984112735212	1.08683540123809
Chrom2-5987173	2	13.0984113735212	1.08683541441968
Chrom2-6090649	2	13.0984114735212	1.08683545326227
Chrom2-6257901	2	13.6668192155023	1.29526669889458
Chrom2-6477608	2	13.9979689761637	1.38630617903664
c2.loc14	2	14	1.38686280040912
Chrom2-6584184	2	14.3277657448572	1.47600634760664
Chrom2-6789180	2	14.3277658448572	1.4760063745394
Chrom2-7001375	2	14.4455994219425	1.4837430451978
Chrom2-7179644	2	15.1238849387807	1.60805216190204
Chrom2-7231931	2	15.1238850387807	1.60805217552434
Chrom2-7352083	2	15.4061297446635	1.76054080276168
Chrom2-7407433	2	15.8322979522546	1.84562540515179
Chrom2-7513697	2	15.8322980522546	1.84562540952129
Chrom2-7621070	2	15.8322981522546	1.84562541172193
c2.loc16	2	16	1.86386238077404
Chrom2-7722875	2	16.5990409418859	1.9231837582094
Chrom2-7828235	2	17.0482162934954	2.35172246133033
Chrom2-7935148	2	17.1717607381977	2.36333038847459
Chrom2-8036322	2	17.1717608381977	2.36333039060696
Chrom2-8138062	2	17.8931138644137	2.36085053901053
Chrom2-8250900	2	17.8931139644137	2.36085066697751
c2.loc18	2	18	2.49137950220455
Chrom2-8312329	2	18.1700378629195	2.6670177347529
Chrom2-8362508	2	18.1700379629195	2.66701773395687
Chrom2-8534728	2	18.7298052779706	2.37924756983682
Chrom2-8693204	2	18.7298053779706	2.37924749666223
Chrom2-8750710	2	18.7298054779706	2.37924749616025
Chrom2-8958966	2	18.9760602724898	2.3786431230082
Chrom2-9010988	2	18.9760603724898	2.37864315660374
Chrom2-9113862	2	19.6048807932008	2.54705848434378
Chrom2-9217292	2	19.7845117300668	2.27833541704797
Chrom2-9271955	2	19.7845118300668	2.27833541510222
Chrom2-9322644	2	19.9951783371993	2.29383238130731
c2.loc20	2	20	2.29398208137962
Chrom2-9374383	2	20.0391773348359	2.29522387673939
Chrom2-9426462	2	20.235216397941	2.295990982425
Chrom2-9477357	2	20.2950676986413	2.296079910027
Chrom2-9527721	2	20.4736370231241	2.31645350458621
Chrom2-9631210	2	20.7131938006155	2.22649983671005
Chrom2-9737277	2	20.9642467005033	2.60034418806652
Chrom2-9840589	2	20.9642468005033	2.6003443248847
Chrom2-9951860	2	21.2915418990313	2.832871551133
Chrom2-10008393	2	21.2915419990313	2.83287160278451
Chrom2-10061748	2	21.6183240540762	2.7554176980189
Chrom2-10216233	2	21.6183241540762	2.75541765343007
Chrom2-10317666	2	21.9894114689357	2.94851347625854
Chrom2-10367820	2	21.9894115689357	2.94851351822217
c2.loc22	2	22	2.94463112401274
Chrom2-10469968	2	22.3806756078318	2.78434402270102
Chrom2-10572884	2	22.6703595307429	2.62158317003457
Chrom2-10676948	2	22.8947597305449	2.61165806587923
Chrom2-10726982	2	22.8947598305449	2.61165806596773
Chrom2-11020702	2	23.4350103084336	2.64252538266783
Chrom2-11121830	2	23.7458696790007	2.66024775049021
Chrom2-11176246	2	23.7458697790007	2.66024775662135
Chrom2-11227156	2	23.7458698790007	2.66024776274935
Chrom2-11281495	2	23.8516417404039	2.66687370627091
c2.loc24	2	24	2.67662726495291
Chrom2-11332379	2	24.281027358325	2.69639985758471
Chrom2-11385837	2	24.281027458325	2.69639985784511
Chrom2-11436320	2	24.6458396999835	3.04909075998467
Chrom2-11538872	2	24.6458397999835	3.04909080727845
Chrom2-11641169	2	24.6458398999835	3.0490908365868
Chrom2-11808250	2	25.1410290711159	3.19449777409955
Chrom2-12015573	2	25.3189802638361	3.200373224347
Chrom2-12121107	2	25.6790092917765	4.01602117253077
Chrom2-12223898	2	25.6790093917765	4.01602117473919
Chrom2-12329733	2	25.6790094917765	4.01602117465484
Chrom2-12432524	2	25.6790095917765	4.01602117494804
c2.loc26	2	26	4.0477674349786
Chrom2-12533633	2	26.0434845965415	4.05194360790671
Chrom2-12636116	2	26.2439647562251	4.0515777726651
Chrom2-12690566	2	26.6497154525311	3.64935161637163
Chrom2-12809533	2	26.6497155525311	3.6493516161338
Chrom2-12859749	2	26.6497156525311	3.64935161589659
Chrom2-12964373	2	27.0087755154938	3.66502369905413
Chrom2-13180456	2	27.1872850426893	3.67177698617826
Chrom2-13340518	2	27.3321294680469	3.5324697465486
Chrom2-13393879	2	27.623241172449	3.53288440490348
Chrom2-13446167	2	27.623241272449	3.53288440504673
c2.loc28	2	28	3.53342205006788
Chrom2-13702714	2	28.0398925699492	3.53347922734889
Chrom2-13815647	2	28.0398926699492	3.53347922444874
Chrom2-13969238	2	28.8787770792329	3.6309562861266
Chrom2-14020217	2	29.0314166044306	3.62638427190308
Chrom2-14074666	2	29.0314167044306	3.62638426893
Chrom2-14179797	2	29.0314168044306	3.62638427118981
Chrom2-14280803	2	29.489869048048	3.65416983151408
Chrom2-14331940	2	29.489869148048	3.65416983334092
Chrom2-14382139	2	29.8651962069567	3.80297508633686
c2.loc30	2	30	3.8166136009869
Chrom2-14562741	2	30.659403044976	3.83657026697597
Chrom2-14667199	2	30.9155736940028	3.76189238481584
Chrom2-14782211	2	30.9155737940028	3.761892408351
Chrom2-14886788	2	31.2692190489371	4.05351761987555
Chrom2-14936900	2	31.2692191489371	4.05351761174552
Chrom2-15041390	2	31.7515297290852	4.31803671904976
c2.loc32	2	32	4.4333405069961
Chrom2-15189735	2	32.2073523149975	4.51717943051244
Chrom2-15350197	2	32.2073524149975	4.51717942485766
Chrom2-15512884	2	32.6734036142903	3.94786589642337
Chrom2-15564211	2	32.6734037142903	3.94786589288276
Chrom2-15666418	2	32.9136264987385	4.14742654819167
Chrom2-15720492	2	33.1548610140433	4.29921995227369
Chrom2-15772443	2	33.3949982740508	4.29943457983956
Chrom2-16033825	2	33.3949983740508	4.2994345799288
Chrom2-16136817	2	33.3949984740508	4.29943450407939
Chrom2-16242408	2	33.8316743205875	3.87100204451593
Chrom2-16299972	2	33.8316744205875	3.87100212029543
c2.loc34	2	34	3.97810959841854
Chrom2-16351768	2	34.1843400430904	4.04533075804227
Chrom2-16510670	2	34.5739084191358	4.05778256865693
Chrom2-16616712	2	34.5739085191358	4.05778257454398
Chrom2-16788844	2	34.8406123980911	4.07331656995626
Chrom2-16893275	2	34.8406124980911	4.07331653069531
Chrom2-16998688	2	34.8406125980911	4.07331653123583
Chrom2-17100264	2	35.1704992838503	4.05339835737931
Chrom2-17152980	2	35.1705059523782	4.05339874985327
Chrom2-17263199	2	35.6622768115906	3.99918930964168
Chrom2-17316165	2	35.7829407827716	4.14901987496677
c2.loc36	2	36	4.14919199050922
Chrom2-17426101	2	36.0273914223029	4.14921387664509
Chrom2-17535352	2	36.2712702888785	4.04150115712758
Chrom2-17638256	2	36.2712703888785	4.04150115721018
Chrom2-17844284	2	36.5024616971349	4.04169320338275
Chrom2-17895951	2	36.5024617971349	4.04169320346574
Chrom2-17946580	2	36.936388266526	4.04205100781076
Chrom2-17997230	2	36.936388366526	4.04205100789295
Chrom2-18047863	2	36.936388466526	4.04205100599228
Chrom2-18152921	2	37.3183999438742	4.04168498063183
Chrom2-18203006	2	37.6652814233168	3.97374966337344
Chrom2-18255877	2	37.718772362051	3.98261127215324
c2.loc38	2	38	4.18613645960829
Chrom2-18306916	2	38.1277539239129	4.25362395644089
Chrom2-18358950	2	38.1277540239129	4.25362401004907
Chrom2-18409093	2	38.1277541239129	4.25362396548024
Chrom2-18510654	2	38.4900950838706	3.47065332475074
Chrom2-18725615	2	39.1636414082186	3.61244872531961
Chrom2-18832578	2	39.2974645971716	3.45456903403243
c2.loc40	2	40	3.56910340304898
c2.loc42	2	42	3.40446486970029
Chrom2-23161770	2	42.4326536454264	3.27741379716917
c2.loc44	2	44	3.60892489429409
Chrom2-27175557	2	45.0973745747932	3.65540275608282
Chrom2-27330415	2	45.0973746747932	3.65540275154677
Chrom2-27433736	2	45.3359423038117	3.64898576177012
Chrom2-27489648	2	45.7534955468582	3.64545674323477
c2.loc46	2	46	3.34993223197245
Chrom2-27593319	2	46.0799575438947	3.23378908350929
Chrom2-27698966	2	46.0799576438947	3.2337890835912
Chrom2-28308525	2	46.8533127316258	3.28410744293416
Chrom2-28412378	2	46.8533128316258	3.28410744300601
Chrom2-28514142	2	46.9563805012083	3.17082554218564
Chrom2-28565881	2	46.9563806012083	3.17082554363458
Chrom2-28624495	2	47.3814663127683	3.17418762399848
c2.loc48	2	48	3.12404992416566
Chrom2-28905072	2	48.4660084266359	2.85477303869374
Chrom2-29226959	2	48.6122599754554	2.74632111624584
Chrom2-29332917	2	48.8740821515946	2.50510506019145
