chr	pos	lod
Chrom1-5652	1	0	0.715378600879305
Chrom1-183102	1	1.00000002822922e-07	0.71537860067748
Chrom1-603629	1	2.00000005645844e-07	0.715378600475638
Chrom1-761741	1	3.00000008468766e-07	0.715378600273722
Chrom1-863105	1	0.103471568004863	0.715169255533702
Chrom1-964613	1	0.103471668004866	0.715169243325692
Chrom1-1016938	1	0.29823127307677	0.690295406109401
Chrom1-1069694	1	0.298231373076772	0.690295394628018
Chrom1-1121619	1	0.761938634387554	0.61660896684557
Chrom1-1172951	1	0.761938734387557	0.616608966845186
Chrom1-1223030	1	0.76193883438756	0.616608954223928
Chrom1-1325794	1	1.12247822222867	0.3110583863514
Chrom1-1390198	1	1.12247832222867	0.311058326144849
Chrom1-1441272	1	1.5608482569274	0.295128252765316
Chrom1-1492718	1	1.5608483569274	0.295128249024208
Chrom1-1546098	1	1.5608484569274	0.295128245282985
c1.loc2	1	2	0.278301125159379
Chrom1-1596723	1	2.37488230695494	0.263443894648017
Chrom1-1711327	1	2.59177479975153	0.254706309334662
Chrom1-1763616	1	2.59177489975153	0.254706318338787
Chrom1-1814638	1	2.59177499975153	0.254706327342925
Chrom1-1872167	1	2.93163406541386	0.2856745548037
Chrom1-1924661	1	3.2714210113261	0.315411882037724
Chrom1-2027517	1	3.27142111132611	0.315411890342503
Chrom1-2136853	1	3.74661300739908	0.333069872022918
Chrom1-2187817	1	3.86936961640132	0.336808839967905
c1.loc4	1	4	0.340342363867627
Chrom1-2239587	1	4.16994016573716	0.344204727334382
Chrom1-2291990	1	4.16994026573716	0.344204739508072
Chrom1-2344686	1	4.5197693826835	0.250410601667244
Chrom1-2395776	1	4.87048564535907	0.190929938357224
Chrom1-2446015	1	5.23534709509334	0.202857610988021
Chrom1-2496728	1	5.23534719509334	0.202857609297121
Chrom1-2549023	1	5.32624849103758	0.178771029598114
Chrom1-2650133	1	5.43268963957073	0.175333795424811
Chrom1-2756385	1	5.6582739067001	0.216345494767181
c1.loc6	1	6	0.236460604916168
Chrom1-2807086	1	6.77101698684563	0.280833331816957
