chr	pos	lod
Chrom1-5652	1	0	0.951789268149838
Chrom1-183102	1	1.00000002822922e-07	0.951789268218604
Chrom1-603629	1	2.00000005645844e-07	0.951789268287413
Chrom1-761741	1	3.00000008468766e-07	0.951789268356052
Chrom1-863105	1	0.103471568004863	0.95186045853157
Chrom1-964613	1	0.103471668004866	0.95186044560603
Chrom1-1016938	1	0.29823127307677	0.926135020371674
Chrom1-1069694	1	0.298231373076772	0.926135040699492
Chrom1-1121619	1	0.761938634387554	0.972151199151867
Chrom1-1172951	1	0.761938734387557	0.972151199154766
Chrom1-1223030	1	0.76193883438756	0.972151203087336
Chrom1-1325794	1	1.12247822222867	0.80172629287604
Chrom1-1390198	1	1.12247832222867	0.801726263107113
Chrom1-1441272	1	1.5608482569274	0.807356464033944
Chrom1-1492718	1	1.5608483569274	0.80735646526341
Chrom1-1546098	1	1.5608484569274	0.807356466492919
c1.loc2	1	2	0.812480803402693
Chrom1-1596723	1	2.37488230695494	0.816399226323554
Chrom1-1711327	1	2.59177479975153	0.818451842105986
Chrom1-1763616	1	2.59177489975153	0.818451845289317
Chrom1-1814638	1	2.59177499975153	0.818451848473018
Chrom1-1872167	1	2.93163406541386	0.816030407042248
Chrom1-1924661	1	3.2714210113261	0.78824861664242
Chrom1-2027517	1	3.27142111132611	0.788248605127563
Chrom1-2136853	1	3.74661300739908	0.786098353561258
Chrom1-2187817	1	3.86936961640132	0.780983920677386
c1.loc4	1	4	0.773484326725878
Chrom1-2239587	1	4.16994016573716	0.760654332860923
Chrom1-2291990	1	4.16994026573716	0.760654352149302
Chrom1-2344686	1	4.5197693826835	0.535548145346482
Chrom1-2395776	1	4.87048564535907	0.326404802878599
Chrom1-2446015	1	5.23534709509334	0.404059898402338
Chrom1-2496728	1	5.23534719509334	0.404059906229662
Chrom1-2549023	1	5.32624849103758	0.318856814729656
Chrom1-2650133	1	5.43268963957073	0.23136728119934
Chrom1-2756385	1	5.6582739067001	0.25532413967484
c1.loc6	1	6	0.266747464042155
Chrom1-2807086	1	6.77101698684563	0.288655421260088
Chrom1-2857437	1	6.77101708684564	0.288655422264654
Chrom1-2912792	1	6.77101718684564	0.288655428565562
Chrom1-2965574	1	7.23115784769613	0.256597677066253
Chrom1-3019235	1	7.48236225482419	0.216783785225871
Chrom1-3070720	1	7.48236235482419	0.216783780711552
Chrom1-3122485	1	7.9463985498561	0.227615461221305
Chrom1-3172507	1	7.9463986498561	0.227615467637833
c1.loc8	1	8	0.236225479329491
Chrom1-3229036	1	8.88687984842846	0.414861587277343
Chrom1-3381594	1	8.88687994842846	0.414861593022252
Chrom1-3432080	1	9.11737529316105	0.414878585964203
Chrom1-3482935	1	9.11737539316105	0.414878585971792
Chrom1-3586241	1	9.11737549316105	0.414878585979238
Chrom1-3800847	1	9.61576382607849	0.389238809698853
Chrom1-3956346	1	9.73747460492996	0.396055721357001
c1.loc10	1	10	0.317549579427478
Chrom1-4160303	1	10.1513314850335	0.269860328721009
Chrom1-4212527	1	10.1513315850335	0.269860328728015
Chrom1-4372350	1	10.855619093551	0.195345711168386
Chrom1-4538427	1	11.0628943257647	0.20357247071243
Chrom1-4643471	1	11.8375833438862	0.232142636910339
c1.loc12	1	12	0.239878080452627
Chrom1-4897657	1	12.1220004588309	0.246090670191975
Chrom1-4948517	1	12.1220005588309	0.246090680961757
Chrom1-5056936	1	12.6388664157656	0.224991333177059
Chrom1-5107761	1	12.6388665157656	0.224991327103609
Chrom1-5160796	1	12.6388666157656	0.224991319548451
Chrom1-5213184	1	13.0832233528156	0.152038063430041
Chrom1-5264775	1	13.0832234528156	0.152038054733026
Chrom1-5315439	1	13.0832235528156	0.152038054745503
c1.loc14	1	14	0.177306989174625
Chrom1-5418960	1	14.1012404074118	0.179731909023801
Chrom1-5474279	1	14.1012405074118	0.179731918168969
Chrom1-5525822	1	14.1012406074118	0.179731927315004
Chrom1-5578409	1	14.4944338870687	0.263816077453285
Chrom1-5628901	1	14.8997739657646	0.367627410898649
Chrom1-5679112	1	15.1640255852324	0.388187871596386
Chrom1-5781306	1	15.4484802760875	0.601218836214343
