chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-18510654	38.4900950838706	2.44572090850005
chr2	lod_1.5	Chrom2-28412378	46.8533128316258	4.54527364928236
chr2	lod_1.5	Chrom2-39264958	61.7155643960008	3.01025349263102
chr2	lod_2	Chrom2-18510654	38.4900950838706	2.44572090850005
chr2	lod_2	Chrom2-28412378	46.8533128316258	4.54527364928236
chr2	lod_2	Chrom2-141263060	98.3785065029769	1.96629164605781
chr2	bayes	Chrom2-18510654	38.4900950838706	2.44572090850005
chr2	bayes	Chrom2-28412378	46.8533128316258	4.54527364928236
chr2	bayes	Chrom2-141263060	98.3785065029769	1.96629164605781
chr1	lod_1.5	Chrom1-126216853	64.3407748508903	2.72657190959836
chr1	lod_1.5	c1.loc90	90	8.97639707425736
chr1	lod_1.5	Chrom1-145141298	118.923254448536	3.08202390618851
chr1	lod_2	Chrom1-126216853	64.3407748508903	2.72657190959836
chr1	lod_2	c1.loc90	90	8.97639707425736
chr1	lod_2	Chrom1-145141298	118.923254448536	3.08202390618851
chr1	bayes	Chrom1-126216853	64.3407748508903	2.72657190959836
chr1	bayes	c1.loc90	90	8.97639707425736
chr1	bayes	Chrom1-145141298	118.923254448536	3.08202390618851
