chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	5.96581756004645
chr1	lod_1.5	Chrom1-103361357	49.8173387571623	8.170913001044
chr1	lod_1.5	Chrom1-110853266	52.3048591120826	6.00505446779551
chr1	lod_2	Chrom1-17457715	40.2450241849802	5.96581756004645
chr1	lod_2	Chrom1-103361357	49.8173387571623	8.170913001044
chr1	lod_2	Chrom1-110853266	52.3048591120826	6.00505446779551
chr1	bayes	Chrom1-17634061	40.8436629437429	7.09523419966274
chr1	bayes	Chrom1-103361357	49.8173387571623	8.170913001044
chr1	bayes	Chrom1-110042458	52.1828797360261	7.55354441647617
chr8	lod_1.5	Chrom8-5041397	12.5435338157931	5.212852397693
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	7.08474483987873
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	4.21130700178618
chr8	lod_2	Chrom8-4833081	10.9999726629396	4.59515610305179
chr8	lod_2	Chrom8-50415370	41.1842749818426	7.08474483987873
chr8	lod_2	Chrom8-84936295	42.3156153195737	4.21130700178618
chr8	bayes	Chrom8-4936870	12.2702783722152	5.23206344968524
chr8	bayes	Chrom8-50415370	41.1842749818426	7.08474483987873
chr8	bayes	Chrom8-84936295	42.3156153195737	4.21130700178618
chr9	lod_1.5	Chrom9-1407915	1.37552578167463	4.81692510960373
chr9	lod_1.5	Chrom9-2564137	5.63419826195333	7.26348192222465
chr9	lod_1.5	Chrom9-4131929	9.14825760706946	4.2444742919626
chr9	lod_2	Chrom9-1407915	1.37552578167463	4.81692510960373
chr9	lod_2	Chrom9-2564137	5.63419826195333	7.26348192222465
chr9	lod_2	Chrom9-4131929	9.14825760706946	4.2444742919626
chr9	bayes	Chrom9-1407915	1.37552578167463	4.81692510960373
chr9	bayes	Chrom9-2564137	5.63419826195333	7.26348192222465
chr9	bayes	Chrom9-4078838	8.16515661702292	6.0057240046933
