chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-12164327	33.578721464302	2.79228480875639
chr1	lod_1.5	Chrom1-18511464	42.2189446302547	4.30261888273219
chr1	lod_1.5	Chrom1-24493594	47.8655385459496	2.78376335908581
chr1	lod_2	Chrom1-11002572	30.5246015150964	2.05700377379628
chr1	lod_2	Chrom1-18511464	42.2189446302547	4.30261888273219
chr1	lod_2	Chrom1-27286572	48.5839635543164	2.23918568639607
chr1	bayes	Chrom1-12164327	33.578721464302	2.79228480875639
chr1	bayes	Chrom1-18511464	42.2189446302547	4.30261888273219
chr1	bayes	Chrom1-25711641	48.0707832908858	2.57242828913934
chr9	lod_1.5	Chrom9-1407915	1.37552578167463	2.80893354817425
chr9	lod_1.5	Chrom9-3748653	7.87612696967191	4.80268946309235
chr9	lod_1.5	Chrom9-94203579	34.2180647122457	3.2639130282156
chr9	lod_2	Chrom9-78403	0	2.81017884509856
chr9	lod_2	Chrom9-3748653	7.87612696967191	4.80268946309235
chr9	lod_2	Chrom9-95105362	34.6039741888128	2.66972801027345
chr9	bayes	Chrom9-1407915	1.37552578167463	2.80893354817425
chr9	bayes	Chrom9-3748653	7.87612696967191	4.80268946309235
chr9	bayes	Chrom9-94203579	34.2180647122457	3.2639130282156
