chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	7.06273469053369
chr1	lod_1.5	Chrom1-18306263	41.9301021841797	9.27178001747522
chr1	lod_1.5	Chrom1-103675120	49.9199625436917	7.64754718782221
chr1	lod_2	Chrom1-17457715	40.2450241849802	7.06273469053369
chr1	lod_2	Chrom1-18306263	41.9301021841797	9.27178001747522
chr1	lod_2	Chrom1-109593936	51.9766394439115	7.08401766489047
chr1	bayes	Chrom1-17634061	40.8436629437429	8.20874480197961
chr1	bayes	Chrom1-18306263	41.9301021841797	9.27178001747522
chr1	bayes	Chrom1-103675120	49.9199625436917	7.64754718782221
chr8	lod_1.5	Chrom8-5041397	12.5435338157931	6.07786945970146
chr8	lod_1.5	Chrom8-29549395	40.465291139873	7.62967916186847
chr8	lod_1.5	Chrom8-84462893	41.9028729812813	6.12558913988411
chr8	lod_2	Chrom8-3443071	6.3944882399706	5.03576617015256
chr8	lod_2	Chrom8-29549395	40.465291139873	7.62967916186847
chr8	lod_2	Chrom8-84936295	42.3156153195737	5.00701185432712
chr8	bayes	Chrom8-3625470	7.49668893382306	5.78825123136748
chr8	bayes	Chrom8-29549395	40.465291139873	7.62967916186847
chr8	bayes	Chrom8-84936295	42.3156153195737	5.00701185432712
chr9	lod_1.5	Chrom9-1407915	1.37552578167463	4.62327903147235
chr9	lod_1.5	Chrom9-2564137	5.63419826195333	6.34799659826371
chr9	lod_1.5	Chrom9-4131929	9.14825760706946	3.82883992482271
chr9	lod_2	Chrom9-1250222	1.0026334724508	3.73359009405245
chr9	lod_2	Chrom9-2564137	5.63419826195333	6.34799659826371
chr9	lod_2	Chrom9-4131929	9.14825760706946	3.82883992482271
chr9	bayes	Chrom9-1407915	1.37552578167463	4.62327903147235
chr9	bayes	Chrom9-2564137	5.63419826195333	6.34799659826371
chr9	bayes	Chrom9-4078838	8.16515661702292	5.26708928460769
