chr	pos	lod
Chrom2-55089747	2	74.9993481388811	3.91889395177034
Chrom2-67092948	2	75.1018369871025	3.91889395177031
Chrom2-71219895	2	75.1529292929099	3.91889395177031
Chrom2-73410888	2	75.2041164005814	3.91889395177034
Chrom2-76412602	2	75.3068658083616	3.91889395177034
Chrom2-77167831	2	75.4094837506587	3.91889395177034
Chrom2-77371168	2	75.4094838506587	3.91889395177034
Chrom2-78533456	2	75.4094839506587	3.91889395177034
Chrom2-80576007	2	75.5121016786054	3.91889395177034
Chrom2-86794839	2	75.6145909009599	3.84058768896503
Chrom2-89054996	2	75.7688259088432	3.84058768896503
Chrom2-89657524	2	75.922733454419	3.84058768896503
Chrom2-90299153	2	75.922733554419	3.84058768896506
c2.loc76	2	76	3.84058770883078
Chrom2-91447276	2	76.0254379734429	3.84058768896503
Chrom2-93112369	2	76.1280582771657	4.06203331337798
Chrom2-94667168	2	76.2306787976794	4.06203331337795
Chrom2-97022457	2	76.333297394968	4.06203331337798
Chrom2-99596652	2	76.333297494968	4.06203331337798
Chrom2-101551991	2	76.4359160914477	4.06203331337798
Chrom2-107015396	2	76.5385363943961	4.06203331337798
Chrom2-117320155	2	76.6411558290937	4.06203331337798
Chrom2-118312936	2	76.7437750462366	4.06203331337798
Chrom2-119294796	2	76.8463940466421	4.06203331337798
Chrom2-119731832	2	76.9490130465707	4.06203331337798
Chrom2-119924209	2	77.0515453186473	4.06203331337801
Chrom2-128902024	2	77.1881962331702	4.11569752783257
Chrom2-129054640	2	77.4628937185688	3.81429357640354
Chrom2-129165232	2	77.4628938185688	3.81429341827828
Chrom2-129625143	2	77.4628939185688	3.81429341827828
Chrom2-129740274	2	77.6169868048368	3.78012753841355
Chrom2-129791481	2	77.7708200289383	3.73700231795036
Chrom2-129947911	2	77.7708201289383	3.73700231795036
Chrom2-130519794	2	77.8736106711385	3.73700231795036
Chrom6-73270	6	0	10.7340902407579
Chrom6-129067	6	1.00000002822922e-07	10.7340902414047
Chrom6-181093	6	2.00000005645844e-07	10.7340902420515
Chrom6-231178	6	3.00000008468766e-07	10.7340902426983
Chrom6-336857	6	0.142888806526717	9.43118703496316
Chrom6-391127	6	0.14288890652672	9.43118616911048
Chrom6-507884	6	0.142889006526723	9.43118530317682
Chrom6-717185	6	0.142889106526726	9.43118530317682
Chrom6-827419	6	0.24640024268566	9.43118530317682
Chrom6-879492	6	0.246400342685662	9.43118530317682
Chrom6-930925	6	0.401036503906482	9.43118530317679
Chrom6-981010	6	0.401036603906485	9.43118530317682
Chrom6-1041076	6	0.401036703906488	9.43118530317679
Chrom6-1315788	6	0.555481851187793	9.43118530317682
Chrom6-1591152	6	0.970043466301647	10.1846034118751
Chrom6-1704506	6	0.97004356630165	10.1846035521548
Chrom6-1856576	6	1.09107225500776	10.3275538326586
Chrom6-1959797	6	1.63604158147202	9.57019065477385
Chrom6-2013476	6	1.95698856839003	9.11607415023661
c6.loc2	6	2	9.03138627362156
Chrom6-2116314	6	2.01729888024157	8.99595433129741
Chrom6-2273738	6	2.51924632266273	9.07551299350999
Chrom6-2375622	6	2.77406982610984	9.10765197098766
Chrom6-2433430	6	2.77406992610985	9.10765198246239
Chrom6-2598284	6	3.25034837984214	9.0561723885084
Chrom6-2763924	6	3.48847204290306	9.0177736738064
Chrom6-2867802	6	3.71978283969091	9.02660620973626
Chrom6-2920772	6	3.86163927187879	9.02660620973617
Chrom6-2971046	6	3.86163937187879	9.02660620973629
Chrom6-3073307	6	3.8616394718788	9.02660622919225
c6.loc4	6	4	9.34641697658279
Chrom6-3177492	6	4.31105527017933	9.82449375418585
Chrom6-3292422	6	4.411092702964	9.9782078750772
Chrom6-3343495	6	5.01773564678791	11.0161109291563
Chrom6-3395469	6	5.36482860481246	11.5985218931518
Chrom6-3449893	6	5.36482870481246	11.5985219402102
Chrom6-3557058	6	5.83248005047386	11.625306043042
c6.loc6	6	6	11.6272983202489
Chrom6-3659787	6	6.12377503075363	11.6261209627911
Chrom6-3768149	6	6.31045455914472	11.6200678641802
Chrom6-3819694	6	6.31045465914472	11.6200678940074
Chrom6-3871865	6	6.70920358332416	12.4046291545608
Chrom6-3979303	6	7.44831772108912	12.9440455395191
Chrom6-4030167	6	7.44831782108913	12.9440455327322
Chrom6-4134050	6	7.79123726115418	12.8958954254816
Chrom6-4185289	6	7.79123736115419	12.8958955189098
Chrom6-4287717	6	7.9856346024176	13.0507948470048
c6.loc8	6	8	13.0906897383458
Chrom6-4343022	6	8.31263333136983	13.7619554318111
Chrom6-4397163	6	8.57162938617707	14.096140229574
Chrom6-4448805	6	8.57162948617707	14.0961402116135
Chrom6-4605791	6	9.16173149323558	13.5575990668404
Chrom6-4657266	6	9.16173159323558	13.5575990687464
Chrom6-4757587	6	9.71650089817456	12.3319632822243
Chrom6-4810911	6	9.71650099817456	12.3319630288152
c6.loc10	6	10	12.1803463712716
Chrom6-4962302	6	10.4164992978407	11.670759484542
Chrom6-5020730	6	10.4164993978407	11.670759469037
Chrom6-5227053	6	11.1033593162009	10.9243746069598
Chrom6-5280222	6	11.2041671771479	10.9243746069596
Chrom6-5647729	6	11.4417479682122	9.97688706571975
Chrom6-5751007	6	11.9636755089479	9.52978788818936
Chrom6-5801565	6	11.9636756089479	9.52978778484737
Chrom6-5851898	6	11.9636757089479	9.5297876794163
c6.loc12	6	12	9.52754526943883
Chrom6-6007371	6	12.8615824058296	9.04974251122877
Chrom6-6061231	6	12.8615825058296	9.0497424620095
Chrom6-6225256	6	13.1688362142265	9.0497424620095
Chrom6-6275705	6	13.1688363142265	9.04974247315187
Chrom6-6384796	6	13.8952121974912	8.72161496799848
Chrom6-6437612	6	13.8952122974912	8.72161496799848
c6.loc14	6	14	8.70946356014238
Chrom6-6597375	6	14.4123768153272	8.48618945326828
Chrom6-6648202	6	14.5366516131979	8.48618945326828
Chrom6-6750259	6	14.9661531756631	8.50493093902733
Chrom6-6800747	6	14.9661532756631	8.50493091298279
Chrom6-6904345	6	15.6509737141548	8.23915312240942
Chrom6-6954373	6	15.6509738141548	8.23915312240936
c6.loc16	6	16	8.33996877705809
Chrom6-7056419	6	16.2015357807524	8.29497141622812
Chrom6-7106949	6	16.2015358807524	8.29497137410394
Chrom6-7260338	6	17.2652035061135	7.41165623793916
Chrom6-7363382	6	17.2652036061135	7.41165621919299
Chrom6-7417027	6	17.9420343078368	6.7831612762514
c6.loc18	6	18	6.74230171323006
Chrom6-7521953	6	18.4244745240047	6.30550708563723
Chrom6-7636574	6	18.5524463561422	5.92527763682338
Chrom6-7798277	6	18.7036273449325	5.92527763682341
Chrom6-7964580	6	18.8727922290534	5.92527763682341
Chrom6-8066554	6	19.0374582184706	5.96869925029685
Chrom6-8168820	6	19.5151027377392	5.89865948434959
Chrom6-8223410	6	19.7580353507228	5.81087256617545
c6.loc20	6	20	5.81087234858848
Chrom6-8332167	6	20.1365838945175	5.81087256617539
Chrom6-8437215	6	20.5261348426906	5.5060107332616
Chrom6-8553196	6	20.9060288304123	5.08463863065731
Chrom6-8606754	6	20.9060289304123	5.08463856167987
Chrom6-8666408	6	20.9937751096111	5.01704244806209
Chrom6-8774367	6	21.6638061861047	4.57198005447887
Chrom6-8824523	6	21.6638062861047	4.57197996534214
