chr	pos	lod
Chrom1-5652	1	0	0.366019464149247
Chrom1-183102	1	1.00000002822922e-07	0.366019464194437
Chrom1-603629	1	2.00000005645844e-07	0.366019464239628
Chrom1-761741	1	3.00000008468766e-07	0.366019464284761
Chrom1-863105	1	0.103471568004863	0.366066273418369
Chrom1-964613	1	0.103471668004866	0.366066268835198
Chrom1-1016938	1	0.29823127307677	0.356442220841245
Chrom1-1069694	1	0.298231373076772	0.356442201159552
Chrom1-1121619	1	0.761938634387554	0.291619302515528
Chrom1-1172951	1	0.761938734387557	0.291619302559809
Chrom1-1223030	1	0.76193883438756	0.291619302546621
Chrom1-1325794	1	1.12247822222867	0.261936077448581
Chrom1-1390198	1	1.12247832222867	0.26193601268244
Chrom1-1441272	1	1.5608482569274	0.0782215782025446
Chrom1-1492718	1	1.5608483569274	0.0782215506340549
Chrom1-1546098	1	1.5608484569274	0.0782215461121609
c1.loc2	1	2	0.0796050840202156
Chrom1-1596723	1	2.37488230695494	0.113628264645513
Chrom1-1711327	1	2.59177479975153	0.113679864029848
Chrom1-1763616	1	2.59177489975153	0.113679873232741
Chrom1-1814638	1	2.59177499975153	0.113679882435576
Chrom1-1872167	1	2.93163406541386	0.150530063972951
Chrom1-1924661	1	3.2714210113261	0.196979278493245
Chrom1-2027517	1	3.27142111132611	0.196979293303116
Chrom1-2136853	1	3.74661300739908	0.262015122043351
Chrom1-2187817	1	3.86936961640132	0.278943465935981
c1.loc4	1	4	0.284661902889013
Chrom1-2239587	1	4.16994016573716	0.291821832839503
Chrom1-2291990	1	4.16994026573716	0.291821843736557
Chrom1-2344686	1	4.5197693826835	0.308645398749263
Chrom1-2395776	1	4.87048564535907	0.300181071915063
Chrom1-2446015	1	5.23534709509334	0.354533391510586
Chrom1-2496728	1	5.23534719509334	0.354533399695129
Chrom1-2549023	1	5.32624849103758	0.361788225725888
Chrom1-2650133	1	5.43268963957073	0.361826883123967
Chrom1-2756385	1	5.6582739067001	0.355003385625878
c1.loc6	1	6	0.316943326268074
Chrom1-2807086	1	6.77101698684563	0.228637077246503
Chrom1-2857437	1	6.77101708684564	0.228637068593457
Chrom1-2912792	1	6.77101718684564	0.228637064978841
Chrom1-2965574	1	7.23115784769613	0.277934793815632
Chrom1-3019235	1	7.48236225482419	0.22760208087908
Chrom1-3070720	1	7.48236235482419	0.227602060529705
Chrom1-3122485	1	7.9463985498561	0.104550487795507
Chrom1-3172507	1	7.9463986498561	0.10455047367617
c1.loc8	1	8	0.10915892168839
Chrom1-3229036	1	8.88687984842846	0.190733973881777
Chrom1-3381594	1	8.88687994842846	0.190733983052326
Chrom1-3432080	1	9.11737529316105	0.190795509425357
Chrom1-3482935	1	9.11737539316105	0.190795509437862
Chrom1-3586241	1	9.11737549316105	0.190795501312436
Chrom1-3800847	1	9.61576382607849	0.124567073941137
Chrom1-3956346	1	9.73747460492996	0.098297388183255
c1.loc10	1	10	0.118694077423413
Chrom1-4160303	1	10.1513314850335	0.131122860375228
Chrom1-4212527	1	10.1513315850335	0.131122860401319
Chrom1-4372350	1	10.855619093551	0.123398014619795
Chrom1-4538427	1	11.0628943257647	0.14482319031498
Chrom1-4643471	1	11.8375833438862	0.128533725058787
c1.loc12	1	12	0.128509648305851
Chrom1-4897657	1	12.1220004588309	0.128319741479629
Chrom1-4948517	1	12.1220005588309	0.128319731237866
Chrom1-5056936	1	12.6388664157656	0.0938125028278023
Chrom1-5107761	1	12.6388665157656	0.0938124970671765
Chrom1-5160796	1	12.6388666157656	0.0938124930495405
Chrom1-5213184	1	13.0832233528156	0.080224375939224
Chrom1-5264775	1	13.0832234528156	0.0802243769088022
Chrom1-5315439	1	13.0832235528156	0.0802243837096626
c1.loc14	1	14	0.109880511033339
Chrom1-5418960	1	14.1012404074118	0.113225813183021
Chrom1-5474279	1	14.1012405074118	0.113225820076082
Chrom1-5525822	1	14.1012406074118	0.113225826969199
Chrom1-5578409	1	14.4944338870687	0.140978182838126
Chrom1-5628901	1	14.8997739657646	0.170170417638758
Chrom1-5679112	1	15.1640255852324	0.167933673054677
Chrom1-5781306	1	15.4484802760875	0.181083542473914
Chrom1-5831406	1	15.4484803760875	0.181083553170936
Chrom1-5882169	1	15.4484804760875	0.181083557259569
c1.loc16	1	16	0.181315412777849
Chrom1-5936223	1	16.0935410285572	0.181354697524057
Chrom1-5987582	1	16.0935411285572	0.181354695633217
Chrom1-6039981	1	16.7382288276951	0.248353056295684
Chrom1-6094232	1	16.7382289276951	0.248353074677766
Chrom1-6144233	1	16.7382290276951	0.248353084504174
Chrom1-6318649	1	17.6098727589947	0.268654587372225
Chrom1-6369443	1	17.6098728589947	0.268654600417108
Chrom1-6420980	1	17.6098729589947	0.268654617436141
Chrom1-6523782	1	17.8970247699018	0.277143145703235
c1.loc18	1	18	0.302628242187154
Chrom1-6629073	1	18.1264280110141	0.337078777666022
Chrom1-6679388	1	18.1264281110141	0.337078774650593
Chrom1-6782046	1	18.7007566422192	0.372325965696007
Chrom1-6833788	1	18.9065784435635	0.370398336981339
Chrom1-6891522	1	19.0515741996239	0.372226269837768
Chrom1-6942777	1	19.5270202672787	0.372932536952476
c1.loc20	1	20	0.353883015575093
Chrom1-6994230	1	20.0519922909055	0.351909680634947
Chrom1-7046610	1	20.0519923909055	0.351909679425376
Chrom1-7098549	1	20.6219415147693	0.323345947201915
Chrom1-7150657	1	20.8907858828773	0.30714031906075
Chrom1-7201632	1	20.8907859828773	0.307140315487516
Chrom1-7267012	1	21.4748075447272	0.302857889966219
Chrom1-7373428	1	21.9419675765868	0.273959229884667
c1.loc22	1	22	0.272046018900198
Chrom1-7535262	1	22.1133534802102	0.268187404734704
Chrom1-7638676	1	22.1133535802102	0.268187401262651
Chrom1-7798435	1	22.2476391396362	0.21197760726119
Chrom1-7917007	1	22.2476392396362	0.211977604243486
Chrom1-8080770	1	22.493879116791	0.222119386414136
Chrom1-8133986	1	22.493879216791	0.22211938669335
Chrom1-8190487	1	22.65744863269	0.144896774213521
Chrom1-8315433	1	22.65744873269	0.144896733575308
Chrom1-8418313	1	22.9880906363023	0.14995295565933
Chrom1-8519661	1	23.1990511379591	0.150378550260029
Chrom1-8570618	1	23.1990512379591	0.150378550306925
Chrom1-8620754	1	23.1990513379591	0.150378550353707
c1.loc24	1	24	0.0837144364340361
Chrom1-8723314	1	24.0351135343336	0.0811570164539717
Chrom1-8824762	1	24.8715986109492	0.0334016425674122
Chrom1-8880536	1	24.8715987109492	0.0334016425251775
Chrom1-8939823	1	24.8715988109492	0.0334016364034255
Chrom1-9041782	1	25.4670509154335	0.0229082421607245
Chrom1-9094942	1	25.6763342193412	0.026601421494604
Chrom1-9146814	1	25.6763343193412	0.0266014234683212
c1.loc26	1	26	0.0332635473430969
Chrom1-9202503	1	26.547780744899	0.047693247572397
Chrom1-9313638	1	26.547780844899	0.0476932505108039
Chrom1-9363831	1	26.547780944899	0.0476932537685002
Chrom1-9465395	1	27.0707766700726	0.0274477856606268
Chrom1-9519090	1	27.199406856907	0.029062283711653
Chrom1-9620268	1	27.3292516514762	0.0309296942386936
Chrom1-9676126	1	27.3292517514762	0.0309296992588202
Chrom1-9783173	1	27.6684541469588	0.043931787285544
Chrom1-9833757	1	27.7452713696009	0.0437779281231769
Chrom1-9887020	1	27.9064613311172	0.0386725077894425
c1.loc28	1	28	0.0367070393891709
Chrom1-9995779	1	28.4398393590234	0.0291261990369094
Chrom1-10054696	1	28.8004175017485	0.0337003453583407
Chrom1-10105268	1	28.8004176017485	0.0337003467233785
Chrom1-10158658	1	28.8004177017485	0.0337003479709779
Chrom1-10264368	1	29.8206639275874	0.0386592272716371
Chrom1-10314433	1	29.8206640275874	0.0386592284589256
c1.loc30	1	30	0.0259541077122663
Chrom1-10469547	1	30.0442358693533	0.0231990447429098
Chrom1-10782470	1	30.2594592018528	0.0242253510474484
Chrom1-11002572	1	30.5246015150964	0.0212735227873964
Chrom1-11282337	1	31.3436613870164	0.038061228609763
Chrom1-11581340	1	31.5432559709027	0.0390377963713604
Chrom1-11734526	1	31.7431112777533	0.00628762313647258
c1.loc32	1	32	0.00348745961605346
Chrom1-11888825	1	32.4219039912082	0.011786007047931
Chrom1-12010387	1	32.4219040912082	0.0117860102208738
Chrom1-12113892	1	32.8386390639686	0.0318531414685594
Chrom1-12164327	1	33.578721464302	0.0146583422304616
Chrom1-12215819	1	33.6235232290978	0.0138783387057515
c1.loc34	1	34	0.0112275736755691
Chrom1-12266909	1	34.0070192051692	0.0111852466766322
Chrom1-12370910	1	34.2727225599418	0.0145651802317275
Chrom1-12522284	1	34.3820431104492	0.014565180231557
Chrom1-12628489	1	34.5878426884874	0.0248922084122682
Chrom1-12745616	1	34.5878427884874	0.0248922084122114
Chrom1-12902338	1	34.5878428884874	0.0248922084122682
Chrom1-12952798	1	34.7106719628827	0.0227601867386511
Chrom1-13105023	1	34.9581537777207	0.0266038595402165
Chrom1-13213048	1	35.204679608573	0.0544819135047874
Chrom1-13320090	1	35.204679708573	0.0544819188388033
Chrom1-13490147	1	35.204679808573	0.0544819188388033
Chrom1-13540912	1	35.3588311764454	0.0407666702400888
Chrom1-13642304	1	35.5123709599889	0.0332316721575694
Chrom1-13793503	1	35.5123710599889	0.0332316690421521
Chrom1-13960398	1	35.8299267196203	0.0357904458918483
