chr	pos	lod
Chrom2-4683565	2	9.56201796903387	3.64584356395267
c2.loc10	2	10	3.65448148657453
Chrom2-4785190	2	10.6672008029204	3.50521945591845
Chrom2-4886118	2	10.6672009029204	3.50521943389822
Chrom2-5048280	2	10.6672010029204	3.50521941187833
Chrom2-5105895	2	10.9293506053382	3.50592911630832
Chrom2-5830452	2	12.7178771056742	3.48247461561704
Chrom2-5936760	2	13.0984112735212	3.44742867247493
Chrom2-5987173	2	13.0984113735212	3.44742868109034
Chrom2-6090649	2	13.0984114735212	3.44742869244192
Chrom2-6257901	2	13.6668192155023	3.47538423706732
Chrom2-6477608	2	13.9979689761637	3.47529787833662
c2.loc14	2	14	3.475283448102
Chrom2-6584184	2	14.3277657448572	3.4707701952031
Chrom2-6789180	2	14.3277658448572	3.47077019317396
Chrom2-7352083	2	15.4061297446635	3.45576687956515
Chrom2-7828235	2	17.0482162934954	3.63110478048179
Chrom2-7935148	2	17.1717607381977	3.65998294988623
Chrom2-8036322	2	17.1717608381977	3.65998297244613
Chrom2-8138062	2	17.8931138644137	3.6685230377613
Chrom2-8250900	2	17.8931139644137	3.66852316863981
c2.loc18	2	18	3.80331288669817
Chrom2-8312329	2	18.1700378629195	3.99033957140398
Chrom2-8362508	2	18.1700379629195	3.99033956586902
Chrom2-8534728	2	18.7298052779706	3.77631681588804
Chrom2-8693204	2	18.7298053779706	3.77631675565306
Chrom2-8750710	2	18.7298054779706	3.77631674815694
Chrom2-8958966	2	18.9760602724898	3.75765149516241
Chrom2-9010988	2	18.9760603724898	3.75765154608598
Chrom2-9113862	2	19.6048807932008	4.01771834580973
Chrom2-9217292	2	19.7845117300668	3.76415695662058
Chrom2-9271955	2	19.7845118300668	3.76415706325639
Chrom2-9322644	2	19.9951783371993	3.98163375714358
c2.loc20	2	20	3.97988669366509
Chrom2-9374383	2	20.0391773348359	3.96563264976976
Chrom2-9426462	2	20.235216397941	3.89812095910145
Chrom2-9477357	2	20.2950676986413	3.870852846687
Chrom2-9527721	2	20.4736370231241	3.76903669626199
Chrom2-9737277	2	20.9642467005033	3.75215082379526
Chrom2-9840589	2	20.9642468005033	3.75215098515372
Chrom2-9951860	2	21.2915418990313	3.90948005024211
Chrom2-10008393	2	21.2915419990313	3.90948007713376
Chrom2-10061748	2	21.6183240540762	3.75673962999332
Chrom2-10216233	2	21.6183241540762	3.75673956258834
Chrom2-10317666	2	21.9894114689357	3.6900487351819
Chrom2-10367820	2	21.9894115689357	3.69004877534201
c2.loc22	2	22	3.69073072204952
Chrom2-10469968	2	22.3806756078318	3.69396141694079
Chrom2-10572884	2	22.6703595307429	3.60103964182514
Chrom2-10676948	2	22.8947597305449	3.54575291616328
Chrom2-10726982	2	22.8947598305449	3.5457529163906
Chrom2-11020702	2	23.4350103084336	3.62273613720959
Chrom2-11121830	2	23.7458696790007	3.6022591423104
Chrom2-11176246	2	23.7458697790007	3.60225913535504
Chrom2-11227156	2	23.7458698790007	3.60225912839434
Chrom2-11281495	2	23.8516417404039	3.59477608371122
c2.loc24	2	24	3.58389553343204
Chrom2-11332379	2	24.281027358325	3.56224004767427
Chrom2-11385837	2	24.281027458325	3.56224004475513
Chrom2-11436320	2	24.6458396999835	3.77356731468961
Chrom2-11538872	2	24.6458397999835	3.77356731116356
Chrom2-11641169	2	24.6458398999835	3.7735673081151
Chrom2-11808250	2	25.1410290711159	3.91916711434232
Chrom2-12015573	2	25.3189802638361	3.94646127187139
Chrom2-12121107	2	25.6790092917765	4.49085435715676
Chrom2-12223898	2	25.6790093917765	4.49085436656571
Chrom2-12329733	2	25.6790094917765	4.49085437103548
Chrom2-12432524	2	25.6790095917765	4.49085436319666
c2.loc26	2	26	4.47690566468003
Chrom2-12533633	2	26.0434845965415	4.47089885999196
Chrom2-12636116	2	26.2439647562251	4.47919874184868
Chrom2-12690566	2	26.6497154525311	4.49166271048995
Chrom2-12809533	2	26.6497155525311	4.49166271448786
Chrom2-12859749	2	26.6497156525311	4.49166271848628
Chrom2-12964373	2	27.0087755154938	4.52125963078294
Chrom2-13180456	2	27.1872850426893	4.52962634887479
Chrom2-13340518	2	27.3321294680469	4.03748785762065
Chrom2-13393879	2	27.623241172449	4.03831027800521
Chrom2-13446167	2	27.623241272449	4.03831027828966
c2.loc28	2	28	4.03937982525406
Chrom2-13702714	2	28.0398925699492	4.03949303747345
Chrom2-13815647	2	28.0398926699492	4.03949301593985
Chrom2-13969238	2	28.8787770792329	3.87815054917246
Chrom2-14020217	2	29.0314166044306	3.85820608777215
Chrom2-14074666	2	29.0314167044306	3.85820607475767
Chrom2-14179797	2	29.0314168044306	3.85820607541507
Chrom2-14280803	2	29.489869048048	3.93122748559142
Chrom2-14331940	2	29.489869148048	3.93122749806196
Chrom2-14382139	2	29.8651962069567	4.13306623288082
c2.loc30	2	30	4.15353879844423
Chrom2-14562741	2	30.659403044976	4.1970699437789
Chrom2-14667199	2	30.9155736940028	4.23297562668353
Chrom2-14782211	2	30.9155737940028	4.23297562930753
Chrom2-14886788	2	31.2692190489371	4.42016612884169
Chrom2-14936900	2	31.2692191489371	4.42016608408028
Chrom2-15041390	2	31.7515297290852	4.74262440609851
c2.loc32	2	32	4.89655162811101
Chrom2-15189735	2	32.2073523149975	5.01116282895617
Chrom2-15350197	2	32.2073524149975	5.01116285238214
Chrom2-15512884	2	32.6734036142903	5.32046502623461
Chrom2-15564211	2	32.6734037142903	5.32046505487546
Chrom2-15666418	2	32.9136264987385	5.32459552091456
Chrom2-15720492	2	33.1548610140433	5.22887965560881
Chrom2-15772443	2	33.3949982740508	5.22950171558085
Chrom2-16033825	2	33.3949983740508	5.22950171584029
Chrom2-16136817	2	33.3949984740508	5.2295016870587
Chrom2-16242408	2	33.8316743205875	5.01051791333731
Chrom2-16299972	2	33.8316744205875	5.01051798940699
c2.loc34	2	34	5.11284279713482
Chrom2-16351768	2	34.1843400430904	5.169266808656
Chrom2-16510670	2	34.5739084191358	5.13167989788934
Chrom2-16616712	2	34.5739085191358	5.13167988965819
Chrom2-16788844	2	34.8406123980911	5.23278270312409
Chrom2-16893275	2	34.8406124980911	5.23278269899578
Chrom2-16998688	2	34.8406125980911	5.2327827072105
Chrom2-17100264	2	35.1704992838503	5.37716011340376
Chrom2-17152980	2	35.1705059523782	5.3771612988736
Chrom2-17263199	2	35.6622768115906	5.1345044048993
Chrom2-17316165	2	35.7829407827716	5.05989669658061
c2.loc36	2	36	5.06043327085342
Chrom2-17426101	2	36.0273914223029	5.06050098347811
Chrom2-17535352	2	36.2712702888785	4.83549089945109
Chrom2-17638256	2	36.2712703888785	4.83549089970444
Chrom2-17844284	2	36.5024616971349	4.83608048142293
Chrom2-17895951	2	36.5024617971349	4.83608048167832
Chrom2-17946580	2	36.936388266526	4.837189162139
Chrom2-17997230	2	36.936388366526	4.83718916239496
Chrom2-18047863	2	36.936388466526	4.8371891749652
Chrom2-18152921	2	37.3183999438742	5.00113588870818
Chrom2-18203006	2	37.6652814233168	5.07981808240083
Chrom2-18255877	2	37.718772362051	5.1881757275645
c2.loc38	2	38	5.73197441749841
Chrom2-18306916	2	38.1277539239129	5.85049607304757
Chrom2-18358950	2	38.1277540239129	5.85049614181202
Chrom2-18409093	2	38.1277541239129	5.8504960428113
Chrom2-18510654	2	38.4900950838706	4.68585689340898
Chrom2-18725615	2	39.1636414082186	4.56657359401129
Chrom2-18832578	2	39.2974645971716	4.4047207713225
c2.loc40	2	40	4.18795204965892
c2.loc44	2	44	3.4541503958061
Chrom2-27175557	2	45.0973745747932	3.70370931491959
Chrom2-27330415	2	45.0973746747932	3.70370931416852
Chrom2-27433736	2	45.3359423038117	3.67498286250196
Chrom2-27489648	2	45.7534955468582	3.61305442140139
Chrom2-36244014	2	58.1657274861616	3.42956287571343
Chrom2-36345082	2	58.1657275861616	3.42956289824633
Chrom2-36549897	2	58.4328791671344	3.46418293586214
Chrom2-36611792	2	58.6278166529177	3.4872138388414
Chrom2-36662271	2	58.6985055177903	3.49508521985786
Chrom2-36712581	2	58.8571996208768	3.51180568740091
Chrom2-36763279	2	58.9654508562414	3.52244623315727
