chr	pos	lod
Chrom2-1340325	2	2.21798435598771	3.81355651420549
Chrom2-1396160	2	2.39027566795576	4.06889642699449
Chrom2-1452395	2	2.64944085570836	4.42187850545799
Chrom2-1561233	2	2.90924106507422	4.72331697846763
Chrom2-1670354	2	3.09313857806797	5.40466753406933
Chrom2-1722267	2	3.32497117482492	5.40481521616088
Chrom2-1772571	2	3.46108108976558	5.38209452810436
Chrom2-2037270	2	3.73728049394073	5.3740098866488
c2.loc4	2	4	5.57787232079937
Chrom2-2373770	2	4.42289266838883	5.78180341609379
Chrom2-2427998	2	4.42289276838883	5.78180341562266
Chrom2-2529679	2	4.98073073565203	5.77808943959539
Chrom2-2581054	2	4.98073083565203	5.77808912525894
Chrom2-2632994	2	4.98073093565203	5.77808881092252
Chrom2-2683121	2	5.3553334537152	4.58300231380589
Chrom2-2736558	2	5.3553335537152	4.58300192089903
Chrom2-2839292	2	5.79789972218197	4.58330038274242
Chrom2-2919626	2	5.79789982218198	4.58330052983369
c2.loc6	2	6	4.84625729329389
Chrom2-3181097	2	6.21256944877326	5.03485505393932
Chrom2-3232903	2	6.34617022010741	4.99821389018895
Chrom2-3291827	2	6.55804929513579	5.0005325171841
Chrom2-3342703	2	6.78856505457184	4.91515040046094
Chrom2-3393426	2	6.93854640505694	4.91525970619237
Chrom2-3499828	2	6.93854650505695	4.91525970626525
Chrom2-3611997	2	7.2390946319094	4.91547940843974
Chrom2-3714339	2	7.23909473190941	4.91547941535013
Chrom2-3834391	2	7.98248709125552	5.00238834727192
c2.loc8	2	8	4.98603853947064
Chrom2-3896824	2	8.21172986843419	4.76863772307823
Chrom2-4050191	2	8.70998380234533	4.14818947561974
Chrom2-4310626	2	9.11530565440523	4.14856962217596
Chrom2-4364006	2	9.24845174977863	4.14869479516599
Chrom2-4466196	2	9.24845184977864	4.14869479525992
Chrom2-4576623	2	9.36943198962067	4.14789888124668
Chrom2-4683565	2	9.56201796903387	4.21868638409809
c2.loc10	2	10	4.46081075100439
Chrom2-4785190	2	10.6672008029204	4.6275522911262
Chrom2-4886118	2	10.6672009029204	4.62755229185243
Chrom2-5048280	2	10.6672010029204	4.627552292578
Chrom2-5105895	2	10.9293506053382	4.65610190549481
Chrom2-5156989	2	11.3246133397476	4.59925523492732
Chrom2-5207209	2	11.3246134397476	4.59925520607756
Chrom2-5260899	2	11.3246135397476	4.59925517722844
Chrom2-5364959	2	11.3246136397476	4.59925517732527
Chrom2-5517692	2	11.4986849506841	4.59942342032097
Chrom2-5576049	2	11.6747718850906	4.59959384087249
Chrom2-5677501	2	11.6747719850906	4.59959383430162
c2.loc12	2	12	4.59051334129418
Chrom2-5780035	2	12.2963680734076	4.55006453958838
Chrom2-5830452	2	12.7178771056742	4.17267434997735
Chrom2-6257901	2	13.6668192155023	3.81327436678671
Chrom2-13969238	2	28.8787770792329	4.14372365503318
Chrom2-14020217	2	29.0314166044306	4.20365696417939
Chrom2-14074666	2	29.0314167044306	4.2036570025937
Chrom2-14179797	2	29.0314168044306	4.2036570035176
Chrom2-14280803	2	29.489869048048	4.19761181178703
Chrom2-14331940	2	29.489869148048	4.19761178572923
Chrom2-14382139	2	29.8651962069567	4.06322544079062
c2.loc30	2	30	3.99818080445359
Chrom2-14886788	2	31.2692190489371	3.96312211416423
Chrom2-14936900	2	31.2692191489371	3.96312213952624
Chrom2-15041390	2	31.7515297290852	4.05775712277044
c2.loc32	2	32	4.07255430426437
Chrom2-15189735	2	32.2073523149975	4.06576372240911
Chrom2-15350197	2	32.2073524149975	4.06576374252119
Chrom2-15512884	2	32.6734036142903	3.90990339390253
Chrom2-15564211	2	32.6734037142903	3.90990337249156
Chrom2-15666418	2	32.9136264987385	3.94074461034859
Chrom2-15720492	2	33.1548610140433	3.94110749468757
Chrom2-15772443	2	33.3949982740508	3.94146925292525
Chrom2-16033825	2	33.3949983740508	3.94146925307593
Chrom2-16136817	2	33.3949984740508	3.94146917764956
Chrom9-3593599	9	7.40502495983996	3.85689987821386
Chrom9-3748653	9	7.87612696967191	4.14757457972873
Chrom9-3923208	9	7.87612706967191	4.14757449044693
c9.loc8	9	8	4.13257775702521
Chrom9-4078838	9	8.16515661702292	3.91695469013244
