chr	pos	lod
Chrom1-5652	1	0	0.484127030350251
Chrom1-183102	1	1.00000002822922e-07	0.484127030120469
Chrom1-603629	1	2.00000005645844e-07	0.484127029890715
Chrom1-761741	1	3.00000008468766e-07	0.484127029660982
Chrom1-863105	1	0.103471568004863	0.483888799901834
Chrom1-964613	1	0.103471668004866	0.483888794878517
Chrom1-1016938	1	0.29823127307677	0.474194582042031
Chrom1-1069694	1	0.298231373076772	0.474194570110001
Chrom1-1121619	1	0.761938634387554	0.394270295715728
Chrom1-1172951	1	0.761938734387557	0.394270295720112
Chrom1-1223030	1	0.76193883438756	0.394270299463912
Chrom1-1325794	1	1.12247822222867	0.278463919416119
Chrom1-1390198	1	1.12247832222867	0.278463901054614
Chrom1-1441272	1	1.5608482569274	0.271883999863661
Chrom1-1492718	1	1.5608483569274	0.271883998455145
Chrom1-1546098	1	1.5608484569274	0.271883997046565
c1.loc2	1	2	0.266133505350481
Chrom1-1596723	1	2.37488230695494	0.261965553664695
Chrom1-1711327	1	2.59177479975153	0.259877334419606
Chrom1-1763616	1	2.59177489975153	0.259877349892022
Chrom1-1814638	1	2.59177499975153	0.259877365364389
Chrom1-1872167	1	2.93163406541386	0.310581109067726
Chrom1-1924661	1	3.2714210113261	0.35446963566968
Chrom1-2027517	1	3.27142111132611	0.354469647215112
Chrom1-2136853	1	3.74661300739908	0.371093977477777
Chrom1-2187817	1	3.86936961640132	0.373387772374613
c1.loc4	1	4	0.374853396462505
Chrom1-2239587	1	4.16994016573716	0.37523399075171
Chrom1-2291990	1	4.16994026573716	0.375234001719285
Chrom1-2344686	1	4.5197693826835	0.62651709631615
Chrom1-2395776	1	4.87048564535907	0.580775091248704
Chrom1-2446015	1	5.23534709509334	0.602795835980636
Chrom1-2496728	1	5.23534719509334	0.602795832842965
Chrom1-2549023	1	5.32624849103758	0.481685400687475
Chrom1-2650133	1	5.43268963957073	0.351116235345714
Chrom1-2756385	1	5.6582739067001	0.338631097225061
c1.loc6	1	6	0.311195411565585
Chrom1-2807086	1	6.77101698684563	0.248785513623098
Chrom1-2857437	1	6.77101708684564	0.248785505806261
Chrom1-2912792	1	6.77101718684564	0.248785505795745
Chrom1-2965574	1	7.23115784769613	0.152346938763159
Chrom1-3019235	1	7.48236225482419	0.11201969395357
Chrom1-3070720	1	7.48236235482419	0.112019682344595
Chrom1-3122485	1	7.9463985498561	0.12305628975821
Chrom1-3172507	1	7.9463986498561	0.123056291317958
c1.loc8	1	8	0.123859272725028
Chrom1-3229036	1	8.88687984842846	0.130907466588546
Chrom1-3381594	1	8.88687994842846	0.130907464705828
Chrom1-3432080	1	9.11737529316105	0.130891425263883
Chrom1-3482935	1	9.11737539316105	0.130891425256948
Chrom1-3586241	1	9.11737549316105	0.130891425249963
Chrom1-3800847	1	9.61576382607849	0.132033618426703
Chrom1-3956346	1	9.73747460492996	0.132703884956477
c1.loc10	1	10	0.182754754850933
Chrom1-4160303	1	10.1513314850335	0.212711831102055
Chrom1-4212527	1	10.1513315850335	0.212711831093856
Chrom1-4372350	1	10.855619093551	0.126706665258261
Chrom1-4538427	1	11.0628943257647	0.128009870376339
Chrom1-4643471	1	11.8375833438862	0.21013926884013
c1.loc12	1	12	0.226444744923448
Chrom1-4897657	1	12.1220004588309	0.239258307652065
Chrom1-4948517	1	12.1220005588309	0.239258324602368
Chrom1-5056936	1	12.6388664157656	0.239498308137343
Chrom1-5107761	1	12.6388665157656	0.239498306421559
Chrom1-5160796	1	12.6388666157656	0.239498302785989
Chrom1-5213184	1	13.0832233528156	0.107022807498566
Chrom1-5264775	1	13.0832234528156	0.10702283061584
Chrom1-5315439	1	13.0832235528156	0.107022830629802
c1.loc14	1	14	0.121734291735848
Chrom1-5418960	1	14.1012404074118	0.123219077729317
Chrom1-5474279	1	14.1012405074118	0.123219081327534
Chrom1-5525822	1	14.1012406074118	0.123219084925651
Chrom1-5578409	1	14.4944338870687	0.153095037981878
Chrom1-5628901	1	14.8997739657646	0.185100908211425
Chrom1-5679112	1	15.1640255852324	0.186236366568579
Chrom1-5781306	1	15.4484802760875	0.287380834441741
Chrom1-5831406	1	15.4484803760875	0.287380873211767
Chrom1-5882169	1	15.4484804760875	0.287380876250097
c1.loc16	1	16	0.287517385379992
Chrom1-5936223	1	16.0935410285572	0.287540916583879
Chrom1-5987582	1	16.0935411285572	0.28754091721467
Chrom1-6039981	1	16.7382288276951	0.346176862252563
Chrom1-6094232	1	16.7382289276951	0.346176867823836
Chrom1-6144233	1	16.7382290276951	0.346176867851348
Chrom1-6318649	1	17.6098727589947	0.345785880687828
Chrom1-6369443	1	17.6098728589947	0.345785885055385
Chrom1-6420980	1	17.6098729589947	0.345785894250589
Chrom1-6523782	1	17.8970247699018	0.375257013026612
c1.loc18	1	18	0.38712989809811
Chrom1-6629073	1	18.1264280110141	0.402441565019117
Chrom1-6679388	1	18.1264281110141	0.402441579386142
Chrom1-6782046	1	18.7007566422192	0.654507879027847
Chrom1-6833788	1	18.9065784435635	0.672766950360909
Chrom1-6891522	1	19.0515741996239	0.672426904612429
Chrom1-6942777	1	19.5270202672787	0.783748580524609
c1.loc20	1	20	1.08427232051547
Chrom1-6994230	1	20.0519922909055	1.12481093701421
Chrom1-7046610	1	20.0519923909055	1.12481095354745
Chrom1-7098549	1	20.6219415147693	1.18338607628365
Chrom1-7150657	1	20.8907858828773	1.19590834506391
Chrom1-7201632	1	20.8907859828773	1.19590834619257
Chrom1-7267012	1	21.4748075447272	1.26424569675498
Chrom1-7373428	1	21.9419675765868	1.1062912501076
c1.loc22	1	22	1.11174700445924
Chrom1-7535262	1	22.1133534802102	1.12211771212851
Chrom1-7638676	1	22.1133535802102	1.12211772110354
Chrom1-7798435	1	22.2476391396362	1.23110333485425
Chrom1-7917007	1	22.2476392396362	1.2311033441254
Chrom1-8080770	1	22.493879116791	1.3215388966765
Chrom1-8133986	1	22.493879216791	1.32153889670939
Chrom1-8190487	1	22.65744863269	1.27162722149483
Chrom1-8315433	1	22.65744873269	1.27162718225309
Chrom1-8418313	1	22.9880906363023	1.0807373218661
Chrom1-8519661	1	23.1990511379591	1.08080604839257
Chrom1-8570618	1	23.1990512379591	1.08080604842508
Chrom1-8620754	1	23.1990513379591	1.08080604845752
c1.loc24	1	24	1.02893972278037
Chrom1-8723314	1	24.0351135343336	1.02553177865821
Chrom1-8824762	1	24.8715986109492	0.784098489168876
Chrom1-8880536	1	24.8715987109492	0.784098461960674
Chrom1-8939823	1	24.8715988109492	0.784098468287269
Chrom1-9041782	1	25.4670509154335	0.977610829260342
Chrom1-9094942	1	25.6763342193412	0.960302551457723
Chrom1-9146814	1	25.6763343193412	0.960302566550929
c1.loc26	1	26	1.02087256293494
Chrom1-9202503	1	26.547780744899	1.09817087458304
Chrom1-9313638	1	26.547780844899	1.09817088423236
Chrom1-9363831	1	26.547780944899	1.09817088368711
Chrom1-9465395	1	27.0707766700726	1.0584551478447
Chrom1-9519090	1	27.199406856907	1.04827228631948
Chrom1-9620268	1	27.3292516514762	1.03793388782307
Chrom1-9676126	1	27.3292517514762	1.0379338982148
Chrom1-9783173	1	27.6684541469588	1.07921568372865
Chrom1-9833757	1	27.7452713696009	1.08829929668908
Chrom1-9887020	1	27.9064613311172	1.10033518058025
c1.loc28	1	28	1.11774237204333
Chrom1-9995779	1	28.4398393590234	1.20262606404234
Chrom1-10054696	1	28.8004175017485	1.2454408771869
Chrom1-10105268	1	28.8004176017485	1.24544088569921
Chrom1-10158658	1	28.8004177017485	1.24544090099527
Chrom1-10264368	1	29.8206639275874	1.39288906390944
Chrom1-10314433	1	29.8206640275874	1.3928890705575
c1.loc30	1	30	1.38076519640263
Chrom1-10469547	1	30.0442358693533	1.36644378270861
Chrom1-10782470	1	30.2594592018528	1.37452355414798
Chrom1-11002572	1	30.5246015150964	1.44099875296286
Chrom1-11282337	1	31.3436613870164	1.40553049862611
Chrom1-11581340	1	31.5432559709027	1.42380925706328
Chrom1-11734526	1	31.7431112777533	1.48796330259853
c1.loc32	1	32	1.50724650602044
Chrom1-11888825	1	32.4219039912082	1.53129729952546
Chrom1-12010387	1	32.4219040912082	1.53129729635709
Chrom1-12113892	1	32.8386390639686	1.57577511443019
Chrom1-12164327	1	33.578721464302	1.89333862266556
Chrom1-12215819	1	33.6235232290978	1.89750290790026
c1.loc34	1	34	1.88523520858724
Chrom1-12266909	1	34.0070192051692	1.88495237766475
Chrom1-12370910	1	34.2727225599418	1.88495237766476
Chrom1-12522284	1	34.3820431104492	1.8849523776646
Chrom1-12628489	1	34.5878426884874	2.04915025942663
Chrom1-12745616	1	34.5878427884874	2.04915025942663
Chrom1-12902338	1	34.5878428884874	2.0491502594266
Chrom1-12952798	1	34.7106719628827	2.04915025942663
Chrom1-13105023	1	34.9581537777207	2.04915025942663
Chrom1-13213048	1	35.204679608573	1.91308380204424
Chrom1-13320090	1	35.204679708573	1.91308380204425
Chrom1-13490147	1	35.204679808573	1.91308380204425
Chrom1-13540912	1	35.3588311764454	1.91308380204425
Chrom1-13642304	1	35.5123709599889	1.91308380204425
Chrom1-13793503	1	35.5123710599889	1.91308380204419
Chrom1-13960398	1	35.8299267196203	2.22496233562663
Chrom1-14062896	1	35.9869776446686	2.22496233562662
c1.loc36	1	36	2.22496238059784
Chrom1-14167820	1	36.2870880348772	2.22496233562669
Chrom1-14219704	1	36.3067956038196	2.22496233562664
Chrom1-14269866	1	36.5000138487212	2.22496233562664
