chr	pos	lod
Chrom1-5652	1	0	1.42268436875247
Chrom1-183102	1	1.00000002822922e-07	1.42268436874286
Chrom1-603629	1	2.00000005645844e-07	1.42268436873309
Chrom1-761741	1	3.00000008468766e-07	1.42268436872337
Chrom1-863105	1	0.103471568004863	1.42267430272631
Chrom1-964613	1	0.103471668004866	1.42267431595445
Chrom1-1016938	1	0.29823127307677	1.44810357107144
Chrom1-1069694	1	0.298231373076772	1.44810357213424
Chrom1-1121619	1	0.761938634387554	1.40008217613405
Chrom1-1172951	1	0.761938734387557	1.40008217612097
Chrom1-1223030	1	0.76193883438756	1.40008213916474
Chrom1-1325794	1	1.12247822222867	1.04961495163121
Chrom1-1390198	1	1.12247832222867	1.04961493461133
Chrom1-1441272	1	1.5608482569274	1.12256893698304
Chrom1-1492718	1	1.5608483569274	1.12256895291267
Chrom1-1546098	1	1.5608484569274	1.12256892099032
c1.loc2	1	2	0.953656015070237
Chrom1-1596723	1	2.37488230695494	0.781031706692943
Chrom1-1711327	1	2.59177479975153	0.781005998465162
Chrom1-1763616	1	2.59177489975153	0.781005976011613
Chrom1-1814638	1	2.59177499975153	0.781005953557894
Chrom1-1872167	1	2.93163406541386	0.700598600142825
Chrom1-1924661	1	3.2714210113261	0.615077874033886
Chrom1-2027517	1	3.27142111132611	0.615077848578665
Chrom1-2136853	1	3.74661300739908	0.483061473681346
Chrom1-2187817	1	3.86936961640132	0.449174684521097
c1.loc4	1	4	0.420889230863565
Chrom1-2239587	1	4.16994016573716	0.384920038535824
Chrom1-2291990	1	4.16994026573716	0.384920029540865
Chrom1-2344686	1	4.5197693826835	0.703652938005462
Chrom1-2395776	1	4.87048564535907	0.873216536091718
Chrom1-2446015	1	5.23534709509334	0.954760728332928
Chrom1-2496728	1	5.23534719509334	0.954760733641706
Chrom1-2549023	1	5.32624849103758	0.959322311138862
Chrom1-2650133	1	5.43268963957073	0.959306579375152
Chrom1-2756385	1	5.6582739067001	0.908273070312362
c1.loc6	1	6	0.835630052801946
Chrom1-2807086	1	6.77101698684563	0.662993923490149
Chrom1-2857437	1	6.77101708684564	0.662993906560757
Chrom1-2912792	1	6.77101718684564	0.662993905418546
