chr	pos	lod
Chrom1-5652	1	0	1.14464560779885
Chrom1-183102	1	1.00000002822922e-07	1.14464560795875
Chrom1-603629	1	2.00000005645844e-07	1.14464560811876
Chrom1-761741	1	3.00000008468766e-07	1.14464560827878
Chrom1-863105	1	0.103471568004863	1.14481137105861
Chrom1-964613	1	0.103471668004866	1.14481135900479
Chrom1-1016938	1	0.29823127307677	1.11789937695647
Chrom1-1069694	1	0.298231373076772	1.1178993633942
Chrom1-1121619	1	0.761938634387554	1.05461454613322
Chrom1-1172951	1	0.761938734387557	1.05461454628738
Chrom1-1223030	1	0.76193883438756	1.05461453778588
Chrom1-1325794	1	1.12247822222867	1.03235882319876
Chrom1-1390198	1	1.12247832222867	1.03235882689808
Chrom1-1441272	1	1.5608482569274	1.01173969654133
Chrom1-1492718	1	1.5608483569274	1.01173968357364
Chrom1-1546098	1	1.5608484569274	1.01173968422017
c1.loc2	1	2	1.01499169567347
Chrom1-1596723	1	2.37488230695494	1.01810390392762
Chrom1-1711327	1	2.59177479975153	1.01845497766323
Chrom1-1763616	1	2.59177489975153	1.01845497525323
Chrom1-1814638	1	2.59177499975153	1.01845497284319
Chrom1-1872167	1	2.93163406541386	1.01280988924208
Chrom1-1924661	1	3.2714210113261	1.01249105994759
Chrom1-2027517	1	3.27142111132611	1.01249106061545
Chrom1-2136853	1	3.74661300739908	1.01327788525367
Chrom1-2187817	1	3.86936961640132	1.01348262124168
c1.loc4	1	4	1.01370112230404
Chrom1-2239587	1	4.16994016573716	1.01398649411243
Chrom1-2291990	1	4.16994026573716	1.01398649366348
Chrom1-2344686	1	4.5197693826835	1.02095746467711
Chrom1-2395776	1	4.87048564535907	1.05327128401456
Chrom1-2446015	1	5.23534709509334	1.08500015894595
Chrom1-2496728	1	5.23534719509334	1.08500015911733
Chrom1-2549023	1	5.32624849103758	1.08515619427482
Chrom1-2650133	1	5.43268963957073	1.09164175815209
Chrom1-2756385	1	5.6582739067001	1.11733778743098
c1.loc6	1	6	1.14550516809697
Chrom1-2807086	1	6.77101698684563	1.15918130961097
Chrom1-2857437	1	6.77101708684564	1.15918130689715
Chrom1-2912792	1	6.77101718684564	1.15918130753812
Chrom1-2965574	1	7.23115784769613	1.13037283785241
Chrom1-3019235	1	7.48236225482419	1.12364203994389
Chrom1-3070720	1	7.48236235482419	1.12364203682853
Chrom1-3122485	1	7.9463985498561	0.948639510934356
Chrom1-3172507	1	7.9463986498561	0.948639474086406
c1.loc8	1	8	0.928146503393634
Chrom1-3229036	1	8.88687984842846	0.616144263284639
Chrom1-3381594	1	8.88687994842846	0.616144237295998
Chrom1-3432080	1	9.11737529316105	0.616485298827115
Chrom1-3482935	1	9.11737539316105	0.616485298975533
Chrom1-3586241	1	9.11737549316105	0.616485299123894
Chrom1-3800847	1	9.61576382607849	0.700930997794671
Chrom1-3956346	1	9.73747460492996	0.701125282726082
c1.loc10	1	10	0.702413846265586
Chrom1-4160303	1	10.1513314850335	0.703524565095051
Chrom1-4212527	1	10.1513315850335	0.70352456525643
Chrom1-4372350	1	10.855619093551	0.726162518796059
Chrom1-4538427	1	11.0628943257647	0.726502812756451
Chrom1-4643471	1	11.8375833438862	0.685200067045116
c1.loc12	1	12	0.694659861199796
Chrom1-4897657	1	12.1220004588309	0.701926224159706
Chrom1-4948517	1	12.1220005588309	0.701926234266466
Chrom1-5056936	1	12.6388664157656	0.721836903112262
Chrom1-5107761	1	12.6388665157656	0.721836900475978
Chrom1-5160796	1	12.6388666157656	0.721836897426044
Chrom1-5213184	1	13.0832233528156	0.648376892194051
Chrom1-5264775	1	13.0832234528156	0.648376876403461
Chrom1-5315439	1	13.0832235528156	0.648376863468741
c1.loc14	1	14	0.682946749258235
Chrom1-5418960	1	14.1012404074118	0.684009871099988
Chrom1-5474279	1	14.1012405074118	0.684009870437194
Chrom1-5525822	1	14.1012406074118	0.684009869333295
Chrom1-5578409	1	14.4944338870687	0.687917694028272
Chrom1-5628901	1	14.8997739657646	0.71099578341466
Chrom1-5679112	1	15.1640255852324	0.751097076809458
Chrom1-5781306	1	15.4484802760875	0.917378486342443
Chrom1-5831406	1	15.4484803760875	0.917378541900291
Chrom1-5882169	1	15.4484804760875	0.917378537342586
c1.loc16	1	16	0.91845524158191
Chrom1-5936223	1	16.0935410285572	0.918638097672499
Chrom1-5987582	1	16.0935411285572	0.918638112799101
Chrom1-6039981	1	16.7382288276951	0.772523384481474
Chrom1-6094232	1	16.7382289276951	0.77252336945287
Chrom1-6144233	1	16.7382290276951	0.772523369644318
Chrom1-6318649	1	17.6098727589947	0.696495808659677
Chrom1-6369443	1	17.6098728589947	0.696495795657313
Chrom1-6420980	1	17.6098729589947	0.696495782654893
Chrom1-6523782	1	17.8970247699018	0.653646637394331
c1.loc18	1	18	0.635483010306132
Chrom1-6629073	1	18.1264280110141	0.611178652360081
Chrom1-6679388	1	18.1264281110141	0.611178648500356
Chrom1-6782046	1	18.7007566422192	0.553858021229246
Chrom1-6833788	1	18.9065784435635	0.524085303695358
Chrom1-6891522	1	19.0515741996239	0.510517578146505
Chrom1-6942777	1	19.5270202672787	0.621275717167009
c1.loc20	1	20	0.96541830250294
Chrom1-6994230	1	20.0519922909055	1.00879411248599
Chrom1-7046610	1	20.0519923909055	1.00879414166917
Chrom1-7098549	1	20.6219415147693	0.99745583463141
Chrom1-7150657	1	20.8907858828773	0.992261822945125
Chrom1-7201632	1	20.8907859828773	0.992261823062847
Chrom1-7267012	1	21.4748075447272	1.16988426134765
Chrom1-7373428	1	21.9419675765868	1.2984061281465
c1.loc22	1	22	1.29980959213168
Chrom1-7535262	1	22.1133534802102	1.302471028534
Chrom1-7638676	1	22.1133535802102	1.30247103083366
Chrom1-7798435	1	22.2476391396362	1.34300825774858
Chrom1-7917007	1	22.2476392396362	1.34300826021831
Chrom1-8080770	1	22.493879116791	1.3871586336511
Chrom1-8133986	1	22.493879216791	1.38715863380054
Chrom1-8190487	1	22.65744863269	1.49245672651972
Chrom1-8315433	1	22.65744873269	1.49245679253687
Chrom1-8418313	1	22.9880906363023	1.21688584280741
Chrom1-8519661	1	23.1990511379591	1.21726064090478
Chrom1-8570618	1	23.1990512379591	1.21726064108259
Chrom1-8620754	1	23.1990513379591	1.21726064125983
c1.loc24	1	24	1.18435937103226
Chrom1-8723314	1	24.0351135343336	1.18268570397032
Chrom1-8824762	1	24.8715986109492	1.16666650940527
Chrom1-8880536	1	24.8715987109492	1.16666650269696
Chrom1-8939823	1	24.8715988109492	1.16666645038862
Chrom1-9041782	1	25.4670509154335	0.72191686227626
Chrom1-9094942	1	25.6763342193412	0.616162924419029
Chrom1-9146814	1	25.6763343193412	0.616162920452609
c1.loc26	1	26	0.615660432185337
Chrom1-9202503	1	26.547780744899	0.607556306940523
Chrom1-9313638	1	26.547780844899	0.607556306748165
Chrom1-9363831	1	26.547780944899	0.607556316799673
Chrom1-9465395	1	27.0707766700726	0.659090181874376
Chrom1-9519090	1	27.199406856907	0.671094820030476
Chrom1-9620268	1	27.3292516514762	0.682786944095142
Chrom1-9676126	1	27.3292517514762	0.682786993315688
Chrom1-9783173	1	27.6684541469588	0.77134603447098
Chrom1-9833757	1	27.7452713696009	0.692139850807166
Chrom1-9887020	1	27.9064613311172	0.531204879053007
c1.loc28	1	28	0.507228284467885
Chrom1-9995779	1	28.4398393590234	0.397053830815707
Chrom1-10054696	1	28.8004175017485	0.294232283181657
Chrom1-10105268	1	28.8004176017485	0.294232255515567
Chrom1-10158658	1	28.8004177017485	0.294232252545328
Chrom1-10264368	1	29.8206639275874	0.233603393416615
Chrom1-10314433	1	29.8206640275874	0.233603395233558
c1.loc30	1	30	0.199532950695755
Chrom1-10469547	1	30.0442358693533	0.194492346584752
Chrom1-10782470	1	30.2594592018528	0.194786309078665
Chrom1-11002572	1	30.5246015150964	0.262860262153083
Chrom1-11282337	1	31.3436613870164	0.310677264618562
Chrom1-11581340	1	31.5432559709027	0.306133260054423
Chrom1-11734526	1	31.7431112777533	0.192598522143612
c1.loc32	1	32	0.188016556431819
Chrom1-11888825	1	32.4219039912082	0.180363396769565
Chrom1-12010387	1	32.4219040912082	0.180363390618652
Chrom1-12113892	1	32.8386390639686	0.180805832358146
Chrom1-12164327	1	33.578721464302	0.26998211099783
Chrom1-12215819	1	33.6235232290978	0.275560392245779
c1.loc34	1	34	0.353595990483427
Chrom1-12266909	1	34.0070192051692	0.355134573661132
Chrom1-12370910	1	34.2727225599418	0.355134573661132
Chrom1-12522284	1	34.3820431104492	0.355134573661076
Chrom1-12628489	1	34.5878426884874	0.355134573661132
Chrom1-12745616	1	34.5878427884874	0.355134573661132
Chrom1-12902338	1	34.5878428884874	0.355134573661076
Chrom1-12952798	1	34.7106719628827	0.355134573661132
Chrom1-13105023	1	34.9581537777207	0.355134573661132
Chrom1-13213048	1	35.204679608573	0.426489492557778
Chrom1-13320090	1	35.204679708573	0.426489492557778
Chrom1-13490147	1	35.204679808573	0.426489492557778
Chrom1-13540912	1	35.3588311764454	0.426489492557778
Chrom1-13642304	1	35.5123709599889	0.426489492557778
Chrom1-13793503	1	35.5123710599889	0.426489492557835
Chrom1-13960398	1	35.8299267196203	0.45928406062967
Chrom1-14062896	1	35.9869776446686	0.459284060629727
c1.loc36	1	36	0.459284014776472
Chrom1-14167820	1	36.2870880348772	0.45928406062967
Chrom1-14219704	1	36.3067956038196	0.45928406062967
Chrom1-14269866	1	36.5000138487212	0.443157168693858
Chrom1-14476516	1	36.6303954674544	0.452635478016191
Chrom1-14581432	1	36.7250749281307	0.470698341418881
Chrom1-14736217	1	36.9525675838073	0.605850418635782
Chrom1-14898290	1	37.0548736961089	0.605850418635782
Chrom1-15102016	1	37.1574940033545	0.605850418635782
Chrom1-15417330	1	37.2598539411607	0.605850418635839
Chrom1-15575835	1	37.4651561581081	0.605850418635782
Chrom1-15895473	1	37.8785883666525	0.533950351909823
Chrom1-15946213	1	37.8785884666525	0.53395033066937
c1.loc38	1	38	0.490449013537045
Chrom1-15996245	1	38.1528814033053	0.445751994281693
Chrom1-16098601	1	38.2893537580596	0.445751994281636
Chrom1-16368825	1	38.4390972837862	0.413050262569186
Chrom1-16473225	1	38.6161833262119	0.4130502625693
Chrom1-16577688	1	38.7492796980689	0.427794566224918
Chrom1-16631397	1	39.0854216630121	0.509434698903931
Chrom1-16786631	1	39.421506590683	0.444856935810776
Chrom1-16943084	1	39.421506690683	0.444856995336409
Chrom1-17043617	1	39.5847857523571	0.530277169280964
Chrom1-17147073	1	39.6964707211547	0.530277169280964
Chrom1-17198172	1	39.7475013564607	0.530277169280907
c1.loc40	1	40	0.57125179033568
Chrom1-17357072	1	40.2450239849802	0.602220711066025
Chrom1-17407545	1	40.2450240849802	0.602220711066025
Chrom1-17457715	1	40.2450241849802	0.602220711066082
Chrom1-17634061	1	40.8436629437429	0.583162765553993
Chrom1-17737887	1	41.2155531349241	0.495645825715712
Chrom1-17845954	1	41.5868001923233	0.410430347692284
Chrom1-18053208	1	41.5868002923233	0.410430347692284
Chrom1-18203714	1	41.7092201463062	0.410430347692227
Chrom1-18306263	1	41.9301021841797	0.410430347692284
Chrom1-18409583	1	41.9859968783154	0.410430347692284
c1.loc42	1	42	0.408652578859517
Chrom1-18511464	1	42.2189446302547	0.380329075270026
Chrom1-18663582	1	42.8243675219366	0.299504991351171
Chrom1-18824405	1	43.1871229709535	0.299504991351171
Chrom1-18875865	1	43.2553394337504	0.30315922648208
Chrom1-18925875	1	43.3995390716731	0.319076918734538
Chrom1-19027847	1	43.5435414288201	0.345579006191088
Chrom1-19181536	1	43.7492656739006	0.194056413742487
Chrom1-19283131	1	43.9548355031532	0.219655843920179
c1.loc44	1	44	0.219655774845819
Chrom1-19663347	1	44.1602730572025	0.219655843920179
Chrom1-19957038	1	44.1602731572025	0.219655843920179
Chrom1-20109800	1	44.263022276929	0.219655843920179
Chrom1-20360524	1	44.3656444328576	0.219655843920179
Chrom1-21009672	1	44.4680048797201	0.219655843920179
Chrom1-21219775	1	44.6742365323194	0.219655843920179
