chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-14936900	31.2692191489371	2.41145006578699
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	4.07114535170845
chr2	lod_1.5	Chrom2-162653500	112.730484831628	2.59200810858241
chr2	lod_2	Chrom2-8250900	17.8931139644137	1.9880227348182
chr2	lod_2	Chrom2-18358950	38.1277540239129	4.07114535170845
chr2	lod_2	Chrom2-162653500	112.730484831628	2.59200810858241
chr2	bayes	Chrom2-8036322	17.1717608381977	1.94683222787748
chr2	bayes	Chrom2-18358950	38.1277540239129	4.07114535170845
chr2	bayes	Chrom2-162653500	112.730484831628	2.59200810858241
chr6	lod_1.5	Chrom6-5851898	11.9636757089479	6.34063659796649
chr6	lod_1.5	Chrom6-7964580	18.8727922290534	7.98861056511302
chr6	lod_1.5	Chrom6-109501058	59.387413222563	5.91074364351238
chr6	lod_2	Chrom6-4810911	9.71650099817456	5.49380063733452
chr6	lod_2	Chrom6-7964580	18.8727922290534	7.98861056511302
chr6	lod_2	Chrom6-109501058	59.387413222563	5.91074364351238
chr6	bayes	Chrom6-6275705	13.1688363142265	6.6718552344457
chr6	bayes	Chrom6-7964580	18.8727922290534	7.98861056511302
chr6	bayes	Chrom6-109443391	58.7370040425675	6.66191353275784
