chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-1396160	2.39027566795576	4.06889642699449
chr2	lod_1.5	Chrom2-2373770	4.42289266838883	5.78180341609379
chr2	lod_1.5	Chrom2-5830452	12.7178771056742	4.17267434997735
chr2	lod_2	Chrom2-1236932	1.87198835322641	3.66435877948371
chr2	lod_2	Chrom2-2373770	4.42289266838883	5.78180341609379
chr2	lod_2	Chrom2-16242408	33.8316743205875	3.57368839673121
chr2	bayes	Chrom2-1396160	2.39027566795576	4.06889642699449
chr2	bayes	Chrom2-2373770	4.42289266838883	5.78180341609379
chr2	bayes	Chrom2-15350197	32.2073524149975	4.06576374252119
chr8	lod_1.5	Chrom8-13813201	36.5599803010975	1.84053345853208
chr8	lod_1.5	Chrom8-86297606	42.623276817785	3.52725611120121
chr8	lod_1.5	Chrom8-93982066	49.1167599356183	1.68994070075977
chr8	lod_2	Chrom8-10804108	28.7331104748823	1.11236004300389
chr8	lod_2	Chrom8-86297606	42.623276817785	3.52725611120121
chr8	lod_2	Chrom8-109198407	84.0783727281803	1.49699481597832
chr8	bayes	Chrom8-10855113	29.7654166759164	1.62329738459862
chr8	bayes	Chrom8-86297606	42.623276817785	3.52725611120121
chr8	bayes	Chrom8-93829360	48.6426320060186	2.11253184665423
chr9	lod_1.5	Chrom9-1407915	1.37552578167463	2.44719951232829
chr9	lod_1.5	Chrom9-3748653	7.87612696967191	4.14757457972873
chr9	lod_1.5	Chrom9-4764941	10.4539259071313	2.05762490399968
chr9	lod_2	Chrom9-78403	0	2.35267856492955
chr9	lod_2	Chrom9-3748653	7.87612696967191	4.14757457972873
chr9	lod_2	Chrom9-4764941	10.4539259071313	2.05762490399968
chr9	bayes	Chrom9-1407915	1.37552578167463	2.44719951232829
chr9	bayes	Chrom9-3748653	7.87612696967191	4.14757457972873
chr9	bayes	Chrom9-4764941	10.4539259071313	2.05762490399968
