chr	pos	lod
Chrom1-5652	1	0	0.58906872072771
Chrom1-183102	1	1.00000002822922e-07	0.589068720525148
Chrom1-603629	1	2.00000005645844e-07	0.589068720322317
Chrom1-761741	1	3.00000008468766e-07	0.589068720119471
Chrom1-863105	1	0.103471568004863	0.588858484955693
Chrom1-964613	1	0.103471668004866	0.588858483859752
Chrom1-1016938	1	0.29823127307677	0.587041057889138
Chrom1-1069694	1	0.298231373076772	0.58704105124832
Chrom1-1121619	1	0.761938634387554	0.52224368107332
Chrom1-1172951	1	0.761938734387557	0.5222436810689
Chrom1-1223030	1	0.76193883438756	0.522243680141116
Chrom1-1325794	1	1.12247822222867	0.469643801027146
Chrom1-1390198	1	1.12247832222867	0.469643805103516
Chrom1-1441272	1	1.5608482569274	0.472146470614177
Chrom1-1492718	1	1.5608483569274	0.472146471313764
Chrom1-1546098	1	1.5608484569274	0.472146472013762
c1.loc2	1	2	0.475767850726243
Chrom1-1596723	1	2.37488230695494	0.479713602020198
Chrom1-1711327	1	2.59177479975153	0.482328543035393
Chrom1-1763616	1	2.59177489975153	0.482328564184343
Chrom1-1814638	1	2.59177499975153	0.482328585333264
Chrom1-1872167	1	2.93163406541386	0.550860909482594
Chrom1-1924661	1	3.2714210113261	0.608621632609925
Chrom1-2027517	1	3.27142111132611	0.608621647546755
Chrom1-2136853	1	3.74661300739908	0.610515965333022
Chrom1-2187817	1	3.86936961640132	0.608052721178566
c1.loc4	1	4	0.604085409416015
Chrom1-2239587	1	4.16994016573716	0.596898699328221
Chrom1-2291990	1	4.16994026573716	0.596898701806523
Chrom1-2344686	1	4.5197693826835	0.921316630870521
Chrom1-2395776	1	4.87048564535907	0.84597359988949
Chrom1-2446015	1	5.23534709509334	0.862196394650852
Chrom1-2496728	1	5.23534719509334	0.862196396586512
Chrom1-2549023	1	5.32624849103758	0.705081800912438
Chrom1-2650133	1	5.43268963957073	0.531916886102238
Chrom1-2756385	1	5.6582739067001	0.5254960838691
c1.loc6	1	6	0.515853747238864
Chrom1-2807086	1	6.77101698684563	0.497387992986759
Chrom1-2857437	1	6.77101708684564	0.497387986215017
Chrom1-2912792	1	6.77101718684564	0.497387986964497
Chrom1-2965574	1	7.23115784769613	0.387411452714915
Chrom1-3019235	1	7.48236225482419	0.353291051425956
Chrom1-3070720	1	7.48236235482419	0.353291040609051
Chrom1-3122485	1	7.9463985498561	0.343963131211211
Chrom1-3172507	1	7.9463986498561	0.343963124343759
c1.loc8	1	8	0.33888601257101
Chrom1-3229036	1	8.88687984842846	0.252338848570631
Chrom1-3381594	1	8.88687994842846	0.252338838891617
Chrom1-3432080	1	9.11737529316105	0.252302393672778
Chrom1-3482935	1	9.11737539316105	0.252302393656848
Chrom1-3586241	1	9.11737549316105	0.252302393641514
Chrom1-3800847	1	9.61576382607849	0.228614272712051
Chrom1-3956346	1	9.73747460492996	0.228997254721264
c1.loc10	1	10	0.262636928405612
Chrom1-4160303	1	10.1513314850335	0.282385210935487
Chrom1-4212527	1	10.1513315850335	0.282385210921021
Chrom1-4372350	1	10.855619093551	0.0762798733696712
Chrom1-4538427	1	11.0628943257647	0.0683247949383627
Chrom1-4643471	1	11.8375833438862	0.105167575896928
c1.loc12	1	12	0.115662329013759
Chrom1-4897657	1	12.1220004588309	0.124153374301358
Chrom1-4948517	1	12.1220005588309	0.124153376863518
Chrom1-5056936	1	12.6388664157656	0.0992677966602571
Chrom1-5107761	1	12.6388665157656	0.0992677923189689
Chrom1-5160796	1	12.6388666157656	0.0992677901249976
Chrom1-5213184	1	13.0832233528156	0.0257216421969986
Chrom1-5264775	1	13.0832234528156	0.0257216689488899
Chrom1-5315439	1	13.0832235528156	0.0257216689515047
c1.loc14	1	14	0.0285105916709227
Chrom1-5418960	1	14.1012404074118	0.028906636316151
Chrom1-5474279	1	14.1012405074118	0.0289066374270135
Chrom1-5525822	1	14.1012406074118	0.0289066385385723
Chrom1-5578409	1	14.4944338870687	0.038258291148594
Chrom1-5628901	1	14.8997739657646	0.0527542983005844
Chrom1-5679112	1	15.1640255852324	0.052058599427582
Chrom1-5781306	1	15.4484802760875	0.119884413440957
Chrom1-5831406	1	15.4484803760875	0.11988444292831
Chrom1-5882169	1	15.4484804760875	0.119884446341302
c1.loc16	1	16	0.119946042685783
Chrom1-5936223	1	16.0935410285572	0.119956814992861
Chrom1-5987582	1	16.0935411285572	0.119956816164219
Chrom1-6039981	1	16.7382288276951	0.176911272392317
Chrom1-6094232	1	16.7382289276951	0.176911274680222
Chrom1-6144233	1	16.7382290276951	0.176911274693126
Chrom1-6318649	1	17.6098727589947	0.163609340340969
Chrom1-6369443	1	17.6098728589947	0.163609343677194
Chrom1-6420980	1	17.6098729589947	0.163609350403945
Chrom1-6523782	1	17.8970247699018	0.187034142131438
c1.loc18	1	18	0.197365033230028
Chrom1-6629073	1	18.1264280110141	0.211365181998474
Chrom1-6679388	1	18.1264281110141	0.21136519535284
Chrom1-6782046	1	18.7007566422192	0.432802137069956
Chrom1-6833788	1	18.9065784435635	0.456837439354786
Chrom1-6891522	1	19.0515741996239	0.453006064114518
Chrom1-6942777	1	19.5270202672787	0.505731803612562
c1.loc20	1	20	0.719487153007634
Chrom1-6994230	1	20.0519922909055	0.749593928916084
Chrom1-7046610	1	20.0519923909055	0.749593951026895
Chrom1-7098549	1	20.6219415147693	0.80704132447481
Chrom1-7150657	1	20.8907858828773	0.823484574192094
Chrom1-7201632	1	20.8907859828773	0.823484575690983
Chrom1-7267012	1	21.4748075447272	0.838125101677633
Chrom1-7373428	1	21.9419675765868	0.645352940054593
c1.loc22	1	22	0.647935038158067
Chrom1-7535262	1	22.1133534802102	0.652706048274212
Chrom1-7638676	1	22.1133535802102	0.652706052321236
Chrom1-7798435	1	22.2476391396362	0.814503683696216
Chrom1-7917007	1	22.2476392396362	0.814503687810713
Chrom1-8080770	1	22.493879116791	0.890459894249673
Chrom1-8133986	1	22.493879216791	0.890459894265547
Chrom1-8190487	1	22.65744863269	0.863779459658105
Chrom1-8315433	1	22.65744873269	0.863779434656564
Chrom1-8418313	1	22.9880906363023	0.765738079009637
Chrom1-8519661	1	23.1990511379591	0.765771330475843
Chrom1-8570618	1	23.1990512379591	0.765771330491575
Chrom1-8620754	1	23.1990513379591	0.765771330507263
c1.loc24	1	24	0.810588244550217
Chrom1-8723314	1	24.0351135343336	0.812241527047547
Chrom1-8824762	1	24.8715986109492	0.646090334497259
Chrom1-8880536	1	24.8715987109492	0.646090310863997
Chrom1-8939823	1	24.8715988109492	0.646090316386761
Chrom1-9041782	1	25.4670509154335	0.740969811257486
Chrom1-9094942	1	25.6763342193412	0.718437518980878
Chrom1-9146814	1	25.6763343193412	0.718437532298665
c1.loc26	1	26	0.776967428382775
Chrom1-9202503	1	26.547780744899	0.862546445237697
Chrom1-9313638	1	26.547780844899	0.862546458536087
Chrom1-9363831	1	26.547780944899	0.862546462880545
Chrom1-9465395	1	27.0707766700726	0.832414270309457
Chrom1-9519090	1	27.199406856907	0.823623565292337
Chrom1-9620268	1	27.3292516514762	0.814292877393399
Chrom1-9676126	1	27.3292517514762	0.814292913049826
Chrom1-9783173	1	27.6684541469588	0.947201103273571
Chrom1-9833757	1	27.7452713696009	0.969128367760888
Chrom1-9887020	1	27.9064613311172	0.98770320694841
c1.loc28	1	28	1.0182877634135
Chrom1-9995779	1	28.4398393590234	1.16511532180098
Chrom1-10054696	1	28.8004175017485	1.33612206209642
Chrom1-10105268	1	28.8004176017485	1.33612210417652
Chrom1-10158658	1	28.8004177017485	1.3361221337392
Chrom1-10264368	1	29.8206639275874	1.56136059688555
Chrom1-10314433	1	29.8206640275874	1.56136064074154
c1.loc30	1	30	1.67473030932408
Chrom1-10469547	1	30.0442358693533	1.69305924439651
Chrom1-10782470	1	30.2594592018528	1.71284103170449
Chrom1-11002572	1	30.5246015150964	1.84461223654274
Chrom1-11282337	1	31.3436613870164	1.89276964356289
Chrom1-11581340	1	31.5432559709027	1.92133715685269
Chrom1-11734526	1	31.7431112777533	2.01721332883757
c1.loc32	1	32	2.04527435909165
Chrom1-11888825	1	32.4219039912082	2.07731093278841
Chrom1-12010387	1	32.4219040912082	2.07731092477785
Chrom1-12113892	1	32.8386390639686	2.29997851586468
Chrom1-12164327	1	33.578721464302	2.91157984941479
Chrom1-12215819	1	33.6235232290978	2.93027236905816
c1.loc34	1	34	2.87891296307185
Chrom1-12266909	1	34.0070192051692	2.87791905281118
Chrom1-12370910	1	34.2727225599418	2.87791905281127
Chrom1-12522284	1	34.3820431104492	2.87791905281281
Chrom1-12628489	1	34.5878426884874	2.95286710326938
Chrom1-12745616	1	34.5878427884874	2.95286710326938
Chrom1-12902338	1	34.5878428884874	2.95286710326974
Chrom1-12952798	1	34.7106719628827	2.95286710326938
Chrom1-13105023	1	34.9581537777207	2.95286710326938
Chrom1-13213048	1	35.204679608573	2.82794553119484
Chrom1-13320090	1	35.204679708573	2.82794553119483
Chrom1-13490147	1	35.204679808573	2.82794553119483
Chrom1-13540912	1	35.3588311764454	2.82794553119483
Chrom1-13642304	1	35.5123709599889	2.82794553119483
Chrom1-13793503	1	35.5123710599889	2.82794553119551
Chrom1-13960398	1	35.8299267196203	3.19603046221
Chrom1-14062896	1	35.9869776446686	3.19603046221012
c1.loc36	1	36	3.19603049615392
Chrom1-14167820	1	36.2870880348772	3.19603046220965
Chrom1-14219704	1	36.3067956038196	3.19603046221006
Chrom1-14269866	1	36.5000138487212	3.19603046220999
Chrom1-14476516	1	36.6303954674544	3.2015603894673
Chrom1-14581432	1	36.7250749281307	3.26434508636027
Chrom1-14736217	1	36.9525675838073	3.44893272638782
Chrom1-14898290	1	37.0548736961089	3.44893272638772
Chrom1-15102016	1	37.1574940033545	3.44893272638774
Chrom1-15417330	1	37.2598539411607	3.44893272638882
Chrom1-15575835	1	37.4651561581081	3.44893272638774
Chrom1-15895473	1	37.8785883666525	3.8407648331502
Chrom1-15946213	1	37.8785884666525	3.84076485847555
c1.loc38	1	38	3.85654664424783
Chrom1-15996245	1	38.1528814033053	3.80067370369692
Chrom1-16098601	1	38.2893537580596	3.78094379196088
Chrom1-16368825	1	38.4390972837862	3.54677248958299
Chrom1-16473225	1	38.6161833262119	3.59305088786786
Chrom1-16577688	1	38.7492796980689	3.64381541800491
Chrom1-16631397	1	39.0854216630121	3.80532786684456
Chrom1-16786631	1	39.421506590683	3.79378408214674
Chrom1-16943084	1	39.421506690683	3.79378422003968
Chrom1-17043617	1	39.5847857523571	3.94888549525791
Chrom1-17147073	1	39.6964707211547	3.94888549525791
Chrom1-17198172	1	39.7475013564607	3.94888549525785
c1.loc40	1	40	4.08618882900149
Chrom1-17357072	1	40.2450239849802	4.20132420202567
Chrom1-17407545	1	40.2450240849802	4.20132420202546
Chrom1-17457715	1	40.2450241849802	4.20132420202613
Chrom1-17634061	1	40.8436629437429	5.13169209153612
Chrom1-17737887	1	41.2155531349241	5.46162544954615
Chrom1-17845954	1	41.5868001923233	5.7360088784505
Chrom1-18053208	1	41.5868002923233	5.73600887132636
Chrom1-18203714	1	41.7092201463062	5.736008871327
Chrom1-18306263	1	41.9301021841797	5.73600887132717
Chrom1-18409583	1	41.9859968783154	5.73600887132704
c1.loc42	1	42	5.73664721450378
Chrom1-18511464	1	42.2189446302547	5.74305918528194
Chrom1-18663582	1	42.8243675219366	5.68031242309368
Chrom1-18824405	1	43.1871229709535	5.68031242309277
Chrom1-18875865	1	43.2553394337504	5.63212255761924
Chrom1-18925875	1	43.3995390716731	5.46461341682303
Chrom1-19027847	1	43.5435414288201	5.21654240151662
Chrom1-19181536	1	43.7492656739006	4.94278474912461
Chrom1-19283131	1	43.9548355031532	4.74834635556213
c1.loc44	1	44	4.74834662826258
Chrom1-19663347	1	44.1602730572025	4.74834635556222
Chrom1-19957038	1	44.1602731572025	4.74834635556208
Chrom1-20109800	1	44.263022276929	4.74834635556208
Chrom1-20360524	1	44.3656444328576	4.74834635556208
Chrom1-21009672	1	44.4680048797201	4.74834635556195
Chrom1-21219775	1	44.6742365323194	5.02847131626233
Chrom1-21271611	1	44.8786294180737	4.96807950848702
Chrom1-21438326	1	44.8786295180737	4.96807932222517
Chrom1-21902059	1	45.2915932576083	5.21199828407906
Chrom1-21953006	1	45.2915933576083	5.21199827842634
Chrom1-22003207	1	45.2915934576083	5.21199822798937
Chrom1-22163295	1	45.7040969012589	4.8882444673003
Chrom1-22268844	1	45.7040970012589	4.88824446730034
c1.loc46	1	46	4.88824461747312
Chrom1-22475360	1	46.0129803007012	4.8882444673005
Chrom1-22526478	1	46.0129804007012	4.88824448599779
Chrom1-22579384	1	46.0129805007012	4.88824450469538
Chrom1-22685108	1	46.4259708964349	4.86712362812789
Chrom1-22738930	1	46.4259709964349	4.86712362812793
Chrom1-22840863	1	46.6307997771104	4.79026620097986
Chrom1-23114620	1	46.9750419689817	4.88955968159463
Chrom1-23326642	1	47.145668748031	4.88955968159463
Chrom1-23482000	1	47.3169437814551	4.88955968159431
Chrom1-23532260	1	47.3169438814551	4.88955968159463
Chrom1-23585018	1	47.660115554752	4.88955968159463
Chrom1-23686485	1	47.660115654752	4.88955968159462
Chrom1-24175311	1	47.7629160861082	4.88955968159462
Chrom1-24493594	1	47.8655385459496	4.95263048763782
Chrom1-24752701	1	47.9681608099173	4.95263048763795
c1.loc48	1	48	4.94355909654038
Chrom1-25711641	1	48.0707832908858	4.89637847618818
Chrom1-25929840	1	48.1731453759963	4.8963784761881
Chrom1-26549204	1	48.3792398128846	4.71385812670329
Chrom1-27184802	1	48.481601684225	4.73075813385476
Chrom1-27286572	1	48.5839635543164	4.56859208242604
Chrom1-27984580	1	48.7900588654815	4.51778949380827
Chrom1-29782651	1	48.8921630544678	4.49949140402818
Chrom1-33223725	1	49.0976068543367	4.46032145438531
Chrom1-33348869	1	49.0976069543367	4.46032145438532
Chrom1-34690118	1	49.4067616756502	4.35768641376866
Chrom1-34801647	1	49.4067617756502	4.35768637297518
Chrom1-39507600	1	49.5094682685881	4.35768637297529
Chrom1-99913906	1	49.6120918373803	4.35768637297521
Chrom1-102296993	1	49.7147151884736	4.35768637297521
Chrom1-103361357	1	49.8173387571623	4.54684522455905
Chrom1-103675120	1	49.9199625436917	4.49034095133938
c1.loc50	1	50	4.42444845690008
Chrom1-104096031	1	50.022325919725	4.40144875936518
Chrom1-104768386	1	50.2284265285951	4.40144875936508
Chrom1-106197386	1	50.3305297118583	4.40144875936511
Chrom1-107158010	1	50.5366303207072	4.40144875936508
Chrom1-107263246	1	50.6389936998355	4.401448759365
Chrom1-108284003	1	50.7410956171125	4.40144875936508
Chrom1-108494030	1	51.0505341100918	4.46552393338924
Chrom1-109218990	1	51.340034065902	4.46552393338918
Chrom1-109281516	1	51.340034165902	4.46552393338911
Chrom1-109332307	1	51.629323815394	4.46552393338922
Chrom1-109593936	1	51.9766394439115	4.44554216274149
Chrom1-109855771	1	51.9766395439115	4.44554215018707
c1.loc52	1	52	4.67255268888375
Chrom1-110042458	1	52.1828797360261	5.88227396873388
Chrom1-110853266	1	52.3048591120826	5.74945648723873
Chrom1-111013441	1	52.8013454098666	5.6790734457259
Chrom1-111116026	1	52.8013455098666	5.67907344539468
Chrom1-111217315	1	52.8013456098666	5.67907344539353
Chrom1-112330121	1	53.0064672089632	5.67907344539468
Chrom1-113008060	1	53.4327321036604	5.5601255393947
Chrom1-113112203	1	53.5259597454316	5.46303910846497
Chrom1-113167329	1	53.6283327857229	5.44327148549938
Chrom1-113218365	1	53.9231696467156	5.44667892841017
c1.loc54	1	54	5.4448413456488
Chrom1-113322003	1	54.4223015622162	5.41532245077988
Chrom1-113422520	1	54.4223016622162	5.41532245077988
Chrom1-113576066	1	54.759063369229	5.45394359118366
Chrom1-113780650	1	54.759063469229	5.45394359118384
Chrom1-113936162	1	55.0680735334075	5.45394359118366
Chrom1-114353330	1	55.2218801394243	5.4539435911837
Chrom1-114409403	1	55.3756180131636	5.45394359118366
Chrom1-114511994	1	55.3756181131636	5.45394359118467
Chrom1-114772670	1	55.4771437345352	5.45394359118399
c1.loc56	1	56	5.65618439624814
Chrom1-115029927	1	56.0830419889183	5.68018592820006
Chrom1-115134316	1	56.2012352646029	5.68018592819952
Chrom1-115245443	1	56.4068580400199	5.68018592820005
Chrom1-115349709	1	56.4068581400199	5.68018592820006
Chrom1-115551454	1	56.5346424590995	5.69706737353492
Chrom1-115606027	1	56.9216474397811	5.14902491141679
Chrom1-115716576	1	56.9216475397811	5.14902469806115
Chrom1-116034887	1	57.0244710514173	5.1490246980612
Chrom1-117022097	1	57.1270914903887	5.1490246980612
Chrom1-117241720	1	57.2294527342076	5.14902469806121
Chrom1-117522189	1	57.4352751360499	5.04475151149261
Chrom1-117959962	1	57.4352752360499	5.04475151149255
Chrom1-118062249	1	57.4352753360499	5.04475151149255
Chrom1-118502226	1	57.5378256997597	5.04475151149288
Chrom1-119180827	1	57.6673901308554	4.89560056426933
c1.loc58	1	58	4.47660268051173
Chrom1-119335679	1	58.0257213091195	4.438038546557
Chrom1-119387110	1	58.1549116180915	4.43803854655781
Chrom1-119592282	1	58.1549117180915	4.43803854655717
Chrom1-120069674	1	58.2574759051026	4.43803854655717
Chrom1-120436286	1	58.4632321068141	4.43803854655717
Chrom1-120549952	1	58.4632322068141	4.43803854655717
Chrom1-120652550	1	58.5872209960776	4.43803854655717
Chrom1-121283676	1	59.0440671168088	4.4451474375205
Chrom1-121334052	1	59.3110270289579	4.292096991834
Chrom1-121384502	1	59.3701080943262	4.25527164043315
Chrom1-121435757	1	59.5039519767497	4.24432590208386
Chrom1-121539380	1	59.6979779156267	4.21516270983538
Chrom1-121805703	1	59.9729591052424	4.33389688632214
c1.loc60	1	60	4.33289186420748
Chrom1-121959926	1	60.1087456399895	4.32667195615036
Chrom1-122854954	1	60.5220280989218	4.46466079269763
Chrom1-123007270	1	60.9340376636462	4.46466079269695
Chrom1-123212824	1	60.9340377636462	4.4646607926976
Chrom1-123414383	1	61.1911224175004	4.45102577267066
Chrom1-123567103	1	61.4481945915442	4.42504120478617
Chrom1-124526980	1	61.8614668315148	3.24049025979103
Chrom1-124688940	1	61.8614815721045	3.24049025979178
c1.loc62	1	62	3.20138118551624
Chrom1-124743220	1	62.3675882887131	3.0457921265787
Chrom1-124793447	1	62.5018674117262	2.97449839277991
Chrom1-124843976	1	62.5688655939961	2.97836107786276
Chrom1-124999633	1	63.1379959192866	3.04324444815759
Chrom1-125154164	1	63.3049611729116	3.0339603839394
Chrom1-125310236	1	63.3049612729116	3.03396038393825
Chrom1-125734252	1	63.464465451177	3.00620141384381
c1.loc64	1	64	3.03642346455379
Chrom1-125892221	1	64.1020125059223	3.02622999785726
Chrom1-125942490	1	64.3407746508903	2.99554799924246
Chrom1-126105948	1	64.3407747508903	2.99554798544706
Chrom1-126216853	1	64.3407748508903	2.58866392538177
c1.loc66	1	66	2.57848703498483
c1.loc68	1	68	2.5599615356526
c1.loc70	1	70	2.53324658335102
c1.loc72	1	72	2.49680064109143
c1.loc74	1	74	2.44902877303636
c1.loc76	1	76	2.38838745976125
c1.loc78	1	78	2.31353447825988
c1.loc80	1	80	2.22352111029615
c1.loc82	1	82	2.1180100444369
c1.loc84	1	84	1.99748423129564
c1.loc86	1	86	1.86339581204822
c1.loc88	1	88	1.71820068737229
c1.loc90	1	90	1.5652429652762
c1.loc92	1	92	1.40849305622152
c1.loc94	1	94	1.25218613140474
c1.loc96	1	96	1.10043152352473
c1.loc98	1	98	0.956860688163147
c1.loc100	1	100	0.824362637726779
c1.loc102	1	102	0.704934388378007
c1.loc104	1	104	0.599652936104874
c1.loc106	1	106	0.50875400444734
c1.loc108	1	108	0.431785420108056
c1.loc110	1	110	0.367795503603972
c1.loc112	1	112	0.315520739991811
c1.loc114	1	114	0.27354818537718
c1.loc116	1	116	0.240440819923862
c1.loc118	1	118	0.214824305335597
Chrom1-145141298	1	118.923254448536	0.205172582025696
Chrom1-145243720	1	118.923254548536	0.205172582013404
Chrom1-145345411	1	119.092632468436	0.266650387256817
Chrom1-145404246	1	119.594754897857	0.218686352868176
Chrom1-145506101	1	119.614713767757	0.21715704756113
c1.loc120	1	120	0.191514999716276
Chrom1-145659371	1	120.07883077484	0.188573986757376
Chrom1-145763657	1	120.215072461657	0.185385236940164
Chrom1-145867227	1	120.215072561657	0.185385231453182
Chrom1-145921589	1	120.63550430885	0.249458773977892
Chrom1-145972741	1	120.773799592375	0.378780420961604
Chrom1-146023318	1	120.996465510674	0.408361728283353
Chrom1-146073878	1	120.996465610674	0.408361736719797
Chrom1-146127003	1	120.996465710674	0.408361745155915
Chrom1-146342391	1	121.5318028902	0.391526550601739
Chrom1-146450013	1	121.5318029902	0.391526547466825
Chrom1-146501342	1	121.754326703672	0.384623399837054
