chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-12010387	32.4219040912082	2.0708852425355
chr1	lod_1.5	Chrom1-14219704	36.3067956038196	3.58026846149306
chr1	lod_1.5	Chrom1-121334052	59.3110270289579	2.04221158291131
chr1	lod_2	Chrom1-6942777	19.5270202672787	1.42155327859376
chr1	lod_2	Chrom1-14219704	36.3067956038196	3.58026846149306
chr1	lod_2	Chrom1-122854954	60.5220280989218	1.43565147488806
chr1	bayes	Chrom1-9202503	26.547780744899	2.00871478423409
chr1	bayes	Chrom1-14219704	36.3067956038196	3.58026846149306
chr1	bayes	Chrom1-121435757	59.5039519767497	2.02070252646024
chr2	lod_1.5	Chrom2-34440350	55.6021761092847	5.43108722993139
chr2	lod_1.5	Chrom2-46722257	71.6764905869214	7.00359640749838
chr2	lod_1.5	Chrom2-140744131	97.6613589948884	5.34770552138724
chr2	lod_2	Chrom2-23161770	42.4326536454264	4.16617938395984
chr2	lod_2	Chrom2-46722257	71.6764905869214	7.00359640749838
chr2	lod_2	Chrom2-141263060	98.3785065029769	4.69749720533451
chr2	bayes	Chrom2-34593589	55.9416856271949	5.85185508559914
chr2	bayes	Chrom2-46722257	71.6764905869214	7.00359640749838
chr2	bayes	Chrom2-140052013	96.4938907432317	5.3293579850353
chr4	lod_1.5	Chrom4-5310537	11.8116442976674	3.6320259387166
chr4	lod_1.5	Chrom4-8841221	20.6589289460521	5.16057388980499
chr4	lod_1.5	Chrom4-11211587	26.1016319259547	3.65763918990393
chr4	lod_2	Chrom4-4528833	8.42769452609775	2.98971744602824
chr4	lod_2	Chrom4-8841221	20.6589289460521	5.16057388980499
chr4	lod_2	Chrom4-13378985	30.8486772224266	2.9507824329296
chr4	bayes	Chrom4-5566558	12.9851272657353	3.96893846157491
chr4	bayes	Chrom4-8841221	20.6589289460521	5.16057388980499
chr4	bayes	Chrom4-10844391	25.4017788689852	3.94550331231682
chr5	lod_1.5	Chrom5-17491557	19.4002920632425	4.85319158461203
chr5	lod_1.5	Chrom5-120745967	31.2121718431005	6.38537995484251
chr5	lod_1.5	Chrom5-127906088	41.9147535036144	4.3919709599308
chr5	lod_2	Chrom5-14987273	14.7757801394224	4.23683190118663
chr5	lod_2	Chrom5-120745967	31.2121718431005	6.38537995484251
chr5	lod_2	Chrom5-128008071	42.1365078583849	4.13221747582577
chr5	bayes	Chrom5-18913003	20.6838852789636	5.22062267289408
chr5	bayes	Chrom5-120745967	31.2121718431005	6.38537995484251
chr5	bayes	Chrom5-127748648	41.1534040796618	5.2087199391699
chr6	lod_1.5	Chrom6-105182592	49.5689857242217	2.88297574312179
chr6	lod_1.5	Chrom6-117495024	85.3612406842891	4.72529877921232
chr6	lod_1.5	Chrom6-119424603	89.3582831413172	3.94191322179222
chr6	lod_2	Chrom6-103179896	48.6473334604727	2.48043299319653
chr6	lod_2	Chrom6-117495024	85.3612406842891	4.72529877921232
chr6	lod_2	Chrom6-119424603	89.3582831413172	3.94191322179222
chr6	bayes	Chrom6-105337520	49.7745432855388	3.26480723415426
chr6	bayes	Chrom6-117495024	85.3612406842891	4.72529877921232
chr6	bayes	Chrom6-119424603	89.3582831413172	3.94191322179222
