chr	pos	lod
Chrom1-5652	1	0	0.336446608017876
Chrom1-183102	1	1.00000002822922e-07	0.336446607702828
Chrom1-603629	1	2.00000005645844e-07	0.33644660738797
Chrom1-761741	1	3.00000008468766e-07	0.336446607073175
Chrom1-863105	1	0.103471568004863	0.336120162785018
Chrom1-964613	1	0.103471668004866	0.336120157290942
Chrom1-1016938	1	0.29823127307677	0.325533651372142
Chrom1-1069694	1	0.298231373076772	0.325533644344836
Chrom1-1121619	1	0.761938634387554	0.279635969727858
Chrom1-1172951	1	0.761938734387557	0.279635969738754
Chrom1-1223030	1	0.76193883438756	0.27963597037542
Chrom1-1325794	1	1.12247822222867	0.12576907068904
Chrom1-1390198	1	1.12247832222867	0.125769043869934
Chrom1-1441272	1	1.5608482569274	0.115409943164845
Chrom1-1492718	1	1.5608483569274	0.115409940924886
Chrom1-1546098	1	1.5608484569274	0.115409938684726
c1.loc2	1	2	0.1061633706713
Chrom1-1596723	1	2.37488230695494	0.0992791268130871
Chrom1-1711327	1	2.59177479975153	0.095745836528253
Chrom1-1763616	1	2.59177489975153	0.0957458441343902
Chrom1-1814638	1	2.59177499975153	0.0957458517404698
Chrom1-1872167	1	2.93163406541386	0.121597804588288
Chrom1-1924661	1	3.2714210113261	0.145833079304406
Chrom1-2027517	1	3.27142111132611	0.145833085985453
Chrom1-2136853	1	3.74661300739908	0.151727887586553
Chrom1-2187817	1	3.86936961640132	0.152419517090332
c1.loc4	1	4	0.152754581197154
Chrom1-2239587	1	4.16994016573716	0.152567029783536
Chrom1-2291990	1	4.16994026573716	0.152567037514532
Chrom1-2344686	1	4.5197693826835	0.264614986364579
Chrom1-2395776	1	4.87048564535907	0.234932260811386
Chrom1-2446015	1	5.23534709509334	0.265774150527317
Chrom1-2496728	1	5.23534719509334	0.265774150394371
Chrom1-2549023	1	5.32624849103758	0.19199490805991
Chrom1-2650133	1	5.43268963957073	0.126661897827549
Chrom1-2756385	1	5.6582739067001	0.130134518258895
c1.loc6	1	6	0.102592359812516
Chrom1-2807086	1	6.77101698684563	0.0495498170918854
Chrom1-2857437	1	6.77101708684564	0.0495498120127779
Chrom1-2912792	1	6.77101718684564	0.0495498119689164
Chrom1-2965574	1	7.23115784769613	0.0230694147253916
Chrom1-3019235	1	7.48236225482419	0.0123418857172678
Chrom1-3070720	1	7.48236235482419	0.0123418829748032
Chrom1-3122485	1	7.9463985498561	0.0178905419637198
Chrom1-3172507	1	7.9463986498561	0.0178905431553581
c1.loc8	1	8	0.0187465196671623
Chrom1-3229036	1	8.88687984842846	0.0347057598081236
Chrom1-3381594	1	8.88687994842846	0.0347057616953617
Chrom1-3432080	1	9.11737529316105	0.0347173923156912
Chrom1-3482935	1	9.11737539316105	0.0347173923207408
Chrom1-3586241	1	9.11737549316105	0.034717392325626
Chrom1-3800847	1	9.61576382607849	0.0235128554594517
Chrom1-3956346	1	9.73747460492996	0.0215024750498525
c1.loc10	1	10	0.0495362151932908
Chrom1-4160303	1	10.1513314850335	0.0704068321170263
Chrom1-4212527	1	10.1513315850335	0.0704068321195966
Chrom1-4372350	1	10.855619093551	0.11086712171729
Chrom1-4538427	1	11.0628943257647	0.0846683207342994
Chrom1-4643471	1	11.8375833438862	0.242153862264507
c1.loc12	1	12	0.273941465063852
Chrom1-4897657	1	12.1220004588309	0.298832865146322
Chrom1-4948517	1	12.1220005588309	0.298832875426957
Chrom1-5056936	1	12.6388664157656	0.225689460855912
Chrom1-5107761	1	12.6388665157656	0.225689445325676
Chrom1-5160796	1	12.6388666157656	0.225689423758538
Chrom1-5213184	1	13.0832233528156	0.338516580330674
Chrom1-5264775	1	13.0832234528156	0.338516652939922
Chrom1-5315439	1	13.0832235528156	0.338516652961525
c1.loc14	1	14	0.357804787530368
Chrom1-5418960	1	14.1012404074118	0.35967575641485
Chrom1-5474279	1	14.1012405074118	0.359675759639556
Chrom1-5525822	1	14.1012406074118	0.359675762863653
Chrom1-5578409	1	14.4944338870687	0.369338171172548
Chrom1-5628901	1	14.8997739657646	0.375264698413919
Chrom1-5679112	1	15.1640255852324	0.370998064030294
Chrom1-5781306	1	15.4484802760875	0.447583322570975
Chrom1-5831406	1	15.4484803760875	0.44758335157955
Chrom1-5882169	1	15.4484804760875	0.447583352705729
c1.loc16	1	16	0.447745825263651
Chrom1-5936223	1	16.0935410285572	0.447773359655962
