chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-8362508	18.1700379629195	2.57692948733282
chr2	lod_1.5	Chrom2-14936900	31.2692191489371	4.17156198482243
chr2	lod_1.5	Chrom2-18725615	39.1636414082186	2.2026865982366
chr2	lod_2	Chrom2-8250900	17.8931139644137	1.50399572097004
chr2	lod_2	Chrom2-14936900	31.2692191489371	4.17156198482243
chr2	lod_2	Chrom2-41715527	65.5541678826283	2.06702439486651
chr2	bayes	Chrom2-8534728	18.7298052779706	2.7735139430884
chr2	bayes	Chrom2-14936900	31.2692191489371	4.17156198482243
chr2	bayes	Chrom2-18409093	38.1277541239129	2.91067684879042
chr8	lod_1.5	Chrom8-7445	0	2.56029402748069
chr8	lod_1.5	Chrom8-6293093	16.3072098413285	4.04688085572363
chr8	lod_1.5	Chrom8-13113417	35.0250528494458	2.12410338353138
chr8	lod_2	Chrom8-7445	0	2.56029402748069
chr8	lod_2	Chrom8-6293093	16.3072098413285	4.04688085572363
chr8	lod_2	Chrom8-13481991	35.7380311179653	1.6698799677371
chr8	bayes	Chrom8-2159897	3.56816191215158	2.48041074020733
chr8	bayes	Chrom8-6293093	16.3072098413285	4.04688085572363
chr8	bayes	Chrom8-12746211	33.404859513084	3.06222719229581
