chr	pos	lod
c1.loc76	1	76	3.83607157494004
c1.loc78	1	78	4.0240156357192
c1.loc80	1	80	4.2082856552309
c1.loc82	1	82	4.38299780863161
c1.loc84	1	84	4.54148674971884
c1.loc86	1	86	4.67677315081949
c1.loc88	1	88	4.78222414932878
c1.loc90	1	90	4.85231840490394
c1.loc92	1	92	4.8833658846994
c1.loc94	1	94	4.87401255723489
c1.loc96	1	96	4.82540319938425
c1.loc98	1	98	4.74096874021279
c1.loc100	1	100	4.62590631974376
c1.loc102	1	102	4.48648829682583
c1.loc104	1	104	4.32935202766316
c1.loc106	1	106	4.16089265361978
c1.loc108	1	108	3.98682803020006
c1.loc110	1	110	3.81195110234387
c2.loc40	2	40	3.81416528275906
c2.loc42	2	42	4.19302935882888
Chrom2-23161770	2	42.4326536454264	4.21846959410578
c2.loc44	2	44	3.93969555002599
Chrom2-27489648	2	45.7534955468582	3.93513988266113
c2.loc46	2	46	4.14963698207862
Chrom2-27593319	2	46.0799575438947	4.20114129815124
Chrom2-27698966	2	46.0799576438947	4.20114129842
Chrom2-28308525	2	46.8533127316258	4.56538202265921
Chrom2-28412378	2	46.8533128316258	4.56538202295246
Chrom2-28514142	2	46.9563805012083	4.5498738465696
Chrom2-28565881	2	46.9563806012083	4.54987384028112
Chrom2-28624495	2	47.3814663127683	4.46608071189121
c2.loc48	2	48	4.05091160424445
Chrom2-28905072	2	48.4660084266359	3.75288001161852
