chr	pos	lod
Chrom1-5652	1	0	0.155242532490433
Chrom1-183102	1	1.00000002822922e-07	0.155242532449051
Chrom1-603629	1	2.00000005645844e-07	0.155242532407726
Chrom1-761741	1	3.00000008468766e-07	0.155242532366231
Chrom1-863105	1	0.103471568004863	0.155199634528969
Chrom1-964613	1	0.103471668004866	0.155199645277094
Chrom1-1016938	1	0.29823127307677	0.176742662823472
Chrom1-1069694	1	0.298231373076772	0.176742674532477
Chrom1-1121619	1	0.761938634387554	0.233568708090502
Chrom1-1172951	1	0.761938734387557	0.233568708037978
Chrom1-1223030	1	0.76193883438756	0.233568708944233
Chrom1-1325794	1	1.12247822222867	0.203122241105177
Chrom1-1390198	1	1.12247832222867	0.203122204683666
Chrom1-1441272	1	1.5608482569274	0.106858506027208
Chrom1-1492718	1	1.5608483569274	0.106858488897217
Chrom1-1546098	1	1.5608484569274	0.106858482731297
c1.loc2	1	2	0.0874886468483851
Chrom1-1596723	1	2.37488230695494	0.0843317255730085
Chrom1-1711327	1	2.59177479975153	0.0842637330630964
Chrom1-1763616	1	2.59177489975153	0.0842637333755647
Chrom1-1814638	1	2.59177499975153	0.0842637336880898
Chrom1-1872167	1	2.93163406541386	0.0856183036162861
Chrom1-1924661	1	3.2714210113261	0.0874822598074161
Chrom1-2027517	1	3.27142111132611	0.0874822604168344
Chrom1-2136853	1	3.74661300739908	0.105844699674208
Chrom1-2187817	1	3.86936961640132	0.112899788897721
c1.loc4	1	4	0.121402100843454
Chrom1-2239587	1	4.16994016573716	0.133920925635721
Chrom1-2291990	1	4.16994026573716	0.133920935882657
Chrom1-2344686	1	4.5197693826835	0.163366021399099
Chrom1-2395776	1	4.87048564535907	0.150745848415966
Chrom1-2446015	1	5.23534709509334	0.148862202538282
Chrom1-2496728	1	5.23534719509334	0.148862200623967
Chrom1-2549023	1	5.32624849103758	0.172960261614378
Chrom1-2650133	1	5.43268963957073	0.180304167477743
Chrom1-2756385	1	5.6582739067001	0.131648319367969
c1.loc6	1	6	0.14246124638828
Chrom1-2807086	1	6.77101698684563	0.166264982466259
Chrom1-2857437	1	6.77101708684564	0.166264985553198
Chrom1-2912792	1	6.77101718684564	0.166265013076099
Chrom1-2965574	1	7.23115784769613	0.25266630809358
Chrom1-3019235	1	7.48236225482419	0.313205589549568
Chrom1-3070720	1	7.48236235482419	0.313205578913028
Chrom1-3122485	1	7.9463985498561	0.288411561716202
Chrom1-3172507	1	7.9463986498561	0.288411558273992
c1.loc8	1	8	0.283755053673531
Chrom1-3229036	1	8.88687984842846	0.196441250514681
Chrom1-3381594	1	8.88687994842846	0.196441244390542
Chrom1-3432080	1	9.11737529316105	0.189434818978725
Chrom1-3482935	1	9.11737539316105	0.189434818959171
Chrom1-3586241	1	9.11737549316105	0.189434818939731
Chrom1-3800847	1	9.61576382607849	0.394848691380162
Chrom1-3956346	1	9.73747460492996	0.421082585833858
c1.loc10	1	10	0.345823048978843
Chrom1-4160303	1	10.1513314850335	0.30368423808585
Chrom1-4212527	1	10.1513315850335	0.303684238035601
Chrom1-4372350	1	10.855619093551	0.391287946820796
Chrom1-4538427	1	11.0628943257647	0.396211801540801
Chrom1-4643471	1	11.8375833438862	0.318935314340536
c1.loc12	1	12	0.325497347190492
Chrom1-4897657	1	12.1220004588309	0.329963382554183
Chrom1-4948517	1	12.1220005588309	0.329963398947655
Chrom1-5056936	1	12.6388664157656	0.384727360530576
Chrom1-5107761	1	12.6388665157656	0.384727368429822
Chrom1-5160796	1	12.6388666157656	0.384727366197524
Chrom1-5213184	1	13.0832233528156	0.331379723239365
Chrom1-5264775	1	13.0832234528156	0.331379719233496
Chrom1-5315439	1	13.0832235528156	0.331379711919794
c1.loc14	1	14	0.332016847063983
Chrom1-5418960	1	14.1012404074118	0.331133986807913
Chrom1-5474279	1	14.1012405074118	0.331133990669855
Chrom1-5525822	1	14.1012406074118	0.331133994531626
Chrom1-5578409	1	14.4944338870687	0.380890223586334
Chrom1-5628901	1	14.8997739657646	0.42972891656774
Chrom1-5679112	1	15.1640255852324	0.468027505037469
Chrom1-5781306	1	15.4484802760875	0.471616861280097
Chrom1-5831406	1	15.4484803760875	0.471616857273375
Chrom1-5882169	1	15.4484804760875	0.471616861443522
c1.loc16	1	16	0.471065291522791
Chrom1-5936223	1	16.0935410285572	0.470970989850912
Chrom1-5987582	1	16.0935411285572	0.470970986215377
Chrom1-6039981	1	16.7382288276951	0.406124807377125
Chrom1-6094232	1	16.7382289276951	0.406124810457243
Chrom1-6144233	1	16.7382290276951	0.406124811886343
Chrom1-6318649	1	17.6098727589947	0.382905102559448
Chrom1-6369443	1	17.6098728589947	0.382905100984203
Chrom1-6420980	1	17.6098729589947	0.382905102187863
Chrom1-6523782	1	17.8970247699018	0.457540362268048
c1.loc18	1	18	0.459210442409244
Chrom1-6629073	1	18.1264280110141	0.461222471146016
Chrom1-6679388	1	18.1264281110141	0.461222469138534
Chrom1-6782046	1	18.7007566422192	0.321462517858492
Chrom1-6833788	1	18.9065784435635	0.296386150728324
Chrom1-6891522	1	19.0515741996239	0.273035963280392
Chrom1-6942777	1	19.5270202672787	0.183041530173512
c1.loc20	1	20	0.142182239273723
Chrom1-6994230	1	20.0519922909055	0.13784647316885
Chrom1-7046610	1	20.0519923909055	0.137846478212396
Chrom1-7098549	1	20.6219415147693	0.141622893469048
Chrom1-7150657	1	20.8907858828773	0.151860797610652
Chrom1-7201632	1	20.8907859828773	0.151860801201565
Chrom1-7267012	1	21.4748075447272	0.182562014679092
Chrom1-7373428	1	21.9419675765868	0.166503514036549
c1.loc22	1	22	0.166206459471596
Chrom1-7535262	1	22.1133534802102	0.165505915011465
Chrom1-7638676	1	22.1133535802102	0.16550591432383
Chrom1-7798435	1	22.2476391396362	0.172151624173637
Chrom1-7917007	1	22.2476392396362	0.172151623301033
Chrom1-8080770	1	22.493879116791	0.256246069290626
Chrom1-8133986	1	22.493879216791	0.256246072427757
Chrom1-8190487	1	22.65744863269	0.42009325665623
Chrom1-8315433	1	22.65744873269	0.420093363429714
Chrom1-8418313	1	22.9880906363023	0.504135649405953
Chrom1-8519661	1	23.1990511379591	0.51319729219739
Chrom1-8570618	1	23.1990512379591	0.5131972920463
Chrom1-8620754	1	23.1990513379591	0.513197291898962
c1.loc24	1	24	0.502169016860819
Chrom1-8723314	1	24.0351135343336	0.501396257342265
Chrom1-8824762	1	24.8715986109492	0.511208169517602
Chrom1-8880536	1	24.8715987109492	0.511208168509768
Chrom1-8939823	1	24.8715988109492	0.511208168867199
Chrom1-9041782	1	25.4670509154335	0.488205858512572
Chrom1-9094942	1	25.6763342193412	0.496031689569463
Chrom1-9146814	1	25.6763343193412	0.496031679961504
c1.loc26	1	26	0.494171266527644
Chrom1-9202503	1	26.547780744899	0.483187766500464
Chrom1-9313638	1	26.547780844899	0.483187764434888
Chrom1-9363831	1	26.547780944899	0.483187710847801
Chrom1-9465395	1	27.0707766700726	0.248455484842111
Chrom1-9519090	1	27.199406856907	0.251272696405863
Chrom1-9620268	1	27.3292516514762	0.253785705596101
Chrom1-9676126	1	27.3292517514762	0.253785682301043
Chrom1-9783173	1	27.6684541469588	0.155844177945198
Chrom1-9833757	1	27.7452713696009	0.127318764836332
Chrom1-9887020	1	27.9064613311172	0.112878968127461
c1.loc28	1	28	0.0947367928426388
Chrom1-9995779	1	28.4398393590234	0.0308182339724681
Chrom1-10054696	1	28.8004175017485	0.0115106615437526
Chrom1-10105268	1	28.8004176017485	0.0115106576881203
Chrom1-10158658	1	28.8004177017485	0.0115106514041372
Chrom1-10264368	1	29.8206639275874	0.0367061098812087
Chrom1-10314433	1	29.8206640275874	0.0367061099322541
c1.loc30	1	30	0.0345603324975059
Chrom1-10469547	1	30.0442358693533	0.0366109291405792
Chrom1-10782470	1	30.2594592018528	0.0353031990285899
Chrom1-11002572	1	30.5246015150964	0.0222773696440868
Chrom1-11282337	1	31.3436613870164	0.033126328135495
Chrom1-11581340	1	31.5432559709027	0.0324977940770168
Chrom1-11734526	1	31.7431112777533	0.0333927940765761
c1.loc32	1	32	0.0613067360052924
Chrom1-11888825	1	32.4219039912082	0.12871595083891
Chrom1-12010387	1	32.4219040912082	0.12871596632931
Chrom1-12113892	1	32.8386390639686	0.12140659969117
Chrom1-12164327	1	33.578721464302	0.117643740600045
Chrom1-12215819	1	33.6235232290978	0.119099849597262
c1.loc34	1	34	0.10716122078685
Chrom1-12266909	1	34.0070192051692	0.106951109129682
Chrom1-12370910	1	34.2727225599418	0.106951109129739
Chrom1-12522284	1	34.3820431104492	0.106951109129682
Chrom1-12628489	1	34.5878426884874	0.076730232289492
Chrom1-12745616	1	34.5878427884874	0.076730232289492
Chrom1-12902338	1	34.5878428884874	0.0767302322896057
Chrom1-12952798	1	34.7106719628827	0.0865077044360874
Chrom1-13105023	1	34.9581537777207	0.108520496999461
Chrom1-13213048	1	35.204679608573	0.175282123643342
Chrom1-13320090	1	35.204679708573	0.175282123643228
Chrom1-13490147	1	35.204679808573	0.175282123643228
Chrom1-13540912	1	35.3588311764454	0.175282123643228
Chrom1-13642304	1	35.5123709599889	0.175282123643228
Chrom1-13793503	1	35.5123710599889	0.175282120641043
Chrom1-13960398	1	35.8299267196203	0.190514057939595
Chrom1-14062896	1	35.9869776446686	0.182159883488339
c1.loc36	1	36	0.191737520218055
Chrom1-14167820	1	36.2870880348772	0.455842260452471
Chrom1-14219704	1	36.3067956038196	0.457501911200325
Chrom1-14269866	1	36.5000138487212	0.403361839843342
Chrom1-14476516	1	36.6303954674544	0.36991637505173
Chrom1-14581432	1	36.7250749281307	0.369356363264558
Chrom1-14736217	1	36.9525675838073	0.375768941685919
Chrom1-14898290	1	37.0548736961089	0.375768941685919
Chrom1-15102016	1	37.1574940033545	0.375768941685919
Chrom1-15417330	1	37.2598539411607	0.375768941685863
Chrom1-15575835	1	37.4651561581081	0.375768941685919
Chrom1-15895473	1	37.8785883666525	0.254064606869861
Chrom1-15946213	1	37.8785884666525	0.254064591957672
c1.loc38	1	38	0.278438659424353
Chrom1-15996245	1	38.1528814033053	0.308683041028303
Chrom1-16098601	1	38.2893537580596	0.32991487440097
Chrom1-16368825	1	38.4390972837862	0.25316369000268
Chrom1-16473225	1	38.6161833262119	0.253089543525732
Chrom1-16577688	1	38.7492796980689	0.25431830985292
Chrom1-16631397	1	39.0854216630121	0.310705070079507
Chrom1-16786631	1	39.421506590683	0.240994469337124
Chrom1-16943084	1	39.421506690683	0.240994476471542
Chrom1-17043617	1	39.5847857523571	0.252211778699802
Chrom1-17147073	1	39.6964707211547	0.252211778699802
Chrom1-17198172	1	39.7475013564607	0.2534482058403
c1.loc40	1	40	0.271695554839368
Chrom1-17357072	1	40.2450239849802	0.286799934467865
Chrom1-17407545	1	40.2450240849802	0.286799934467922
Chrom1-17457715	1	40.2450241849802	0.286799925639514
Chrom1-17634061	1	40.8436629437429	0.270530994661499
Chrom1-17737887	1	41.2155531349241	0.304140480780916
Chrom1-17845954	1	41.5868001923233	0.310950991581024
Chrom1-18053208	1	41.5868002923233	0.310950995650387
Chrom1-18203714	1	41.7092201463062	0.310950995650444
Chrom1-18306263	1	41.9301021841797	0.43988711909094
Chrom1-18409583	1	41.9859968783154	0.428762533044619
c1.loc42	1	42	0.425735871231211
Chrom1-18511464	1	42.2189446302547	0.384012549825684
Chrom1-18663582	1	42.8243675219366	0.245025131218256
Chrom1-18824405	1	43.1871229709535	0.2274980406807
Chrom1-18875865	1	43.2553394337504	0.221444482595473
Chrom1-18925875	1	43.3995390716731	0.207207956693765
Chrom1-19027847	1	43.5435414288201	0.191641427890602
Chrom1-19181536	1	43.7492656739006	0.24229220625665
Chrom1-19283131	1	43.9548355031532	0.265368959620105
c1.loc44	1	44	0.265368960413298
Chrom1-19663347	1	44.1602730572025	0.265368959619934
Chrom1-19957038	1	44.1602731572025	0.265368959620048
Chrom1-20109800	1	44.263022276929	0.265368959620048
Chrom1-20360524	1	44.3656444328576	0.265368959620048
Chrom1-21009672	1	44.4680048797201	0.265368959619991
Chrom1-21219775	1	44.6742365323194	0.268946888858977
Chrom1-21271611	1	44.8786294180737	0.323407625672758
Chrom1-21438326	1	44.8786295180737	0.323407650546642
Chrom1-21902059	1	45.2915932576083	0.237752761356205
Chrom1-21953006	1	45.2915933576083	0.237752753351572
Chrom1-22003207	1	45.2915934576083	0.237752751850735
Chrom1-22163295	1	45.7040969012589	0.221908961317638
Chrom1-22268844	1	45.7040970012589	0.221908960773476
c1.loc46	1	46	0.221908963127021
Chrom1-22475360	1	46.0129803007012	0.221908960773419
Chrom1-22526478	1	46.0129804007012	0.221908961130282
Chrom1-22579384	1	46.0129805007012	0.221908961532563
Chrom1-22685108	1	46.4259708964349	0.226290996273462
Chrom1-22738930	1	46.4259709964349	0.226290996273462
Chrom1-22840863	1	46.6307997771104	0.22676127899831
Chrom1-23114620	1	46.9750419689817	0.229223921917935
Chrom1-23326642	1	47.145668748031	0.252679294982954
Chrom1-23482000	1	47.3169437814551	0.252679294983295
Chrom1-23532260	1	47.3169438814551	0.252679294982954
Chrom1-23585018	1	47.660115554752	0.252679294982954
Chrom1-23686485	1	47.660115654752	0.252679294982954
Chrom1-24175311	1	47.7629160861082	0.252679294982954
Chrom1-24493594	1	47.8655385459496	0.276411186580276
Chrom1-24752701	1	47.9681608099173	0.276411186580219
c1.loc48	1	48	0.290505000406711
Chrom1-25711641	1	48.0707832908858	0.326412329007098
Chrom1-25929840	1	48.1731453759963	0.326412329007212
Chrom1-26549204	1	48.3792398128846	0.361633362741543
Chrom1-27184802	1	48.481601684225	0.283624784828532
Chrom1-27286572	1	48.5839635543164	0.291804189766879
Chrom1-27984580	1	48.7900588654815	0.286574972483493
Chrom1-29782651	1	48.8921630544678	0.267580436178037
Chrom1-33223725	1	49.0976068543367	0.267580436178037
Chrom1-33348869	1	49.0976069543367	0.267580436178037
Chrom1-34690118	1	49.4067616756502	0.364468274916248
Chrom1-34801647	1	49.4067617756502	0.364468314010708
Chrom1-39507600	1	49.5094682685881	0.364468314010594
Chrom1-99913906	1	49.6120918373803	0.340502023812462
Chrom1-102296993	1	49.7147151884736	0.340502023812462
Chrom1-103361357	1	49.8173387571623	0.621825350726965
Chrom1-103675120	1	49.9199625436917	0.604544950068544
c1.loc50	1	50	0.604544952232857
Chrom1-104096031	1	50.022325919725	0.604544950068544
Chrom1-104768386	1	50.2284265285951	0.589841348962466
Chrom1-106197386	1	50.3305297118583	0.589841348962466
