chr	pos	lod
Chrom4-294403	4	0	3.7365623206298
Chrom4-449194	4	1.00000002822922e-07	3.73656232050462
Chrom4-878760	4	2.00000005645844e-07	3.73656232037938
Chrom4-556194	4	3.00000008468766e-07	3.73656232025411
Chrom4-777952	4	4.00000011291688e-07	3.73656232007039
Chrom4-724456	4	5.0000001411461e-07	3.7365623198867
Chrom4-18807	4	6.00000016937532e-07	3.73656231970295
Chrom4-674377	4	7.00000019760454e-07	3.7365623195193
Chrom4-192751	4	8.00000022583376e-07	3.73656231933554
Chrom4-608699	4	9.00000025406298e-07	3.73656231915184
Chrom4-398021	4	1.00000002822922e-06	3.73656231896775
Chrom4-929301	4	0.268193322754636	3.73606580690225
Chrom4-987818	4	0.535871340374083	3.88233311683942
Chrom4-1105696	4	0.535871440374086	3.8823331751153
Chrom4-1054735	4	0.535871540374089	3.88233317516458
Chrom4-1209962	4	0.95328631156839	3.88253693016628
Chrom4-1158406	4	0.953286411568393	3.88253693021638
Chrom4-1313334	4	1.22956162526039	3.88267019872631
Chrom4-1414400	4	1.22956172526039	3.88267019877446
Chrom4-1471295	4	1.2295618252604	3.88267019882267
Chrom4-1543167	4	1.2295619252604	3.88267024557743
Chrom4-1594414	4	1.79544014738965	4.05428309877468
c4.loc2	4	2	4.03759500486381
Chrom4-1696624	4	2.0641165796382	4.02787673724864
Chrom4-1749121	4	2.4693762312902	3.91834638762123
Chrom4-1915354	4	2.4693763312902	3.91834638833015
Chrom4-1862458	4	2.4693764312902	3.9183464170002
Chrom4-2183942	4	2.9203601963729	4.04073652202258
Chrom4-2080230	4	2.9203602963729	4.0407365220674
Chrom4-2132765	4	2.9203603963729	4.0407365221123
Chrom4-2233943	4	3.42045794336328	4.19327378360519
Chrom4-2286647	4	3.83344884367456	4.69406565709789
Chrom4-2449114	4	3.83344894367456	4.69406575892783
Chrom4-2398186	4	3.83344904367457	4.69406575896847
c4.loc4	4	4	4.70378525148577
Chrom4-2552618	4	4.04686256344954	4.70652575097491
Chrom4-2609617	4	4.04686266344955	4.70652575682612
Chrom4-2718368	4	4.52629569308872	5.0342080221026
Chrom4-2770682	4	4.52629579308873	5.03420806235717
Chrom4-2661805	4	4.52629589308873	5.03420806814249
Chrom4-2932057	4	4.88039623773484	4.78156835893402
Chrom4-2988823	4	4.88039633773485	4.78156836482743
Chrom4-2881053	4	4.88039643773485	4.78156837072458
Chrom4-3047272	4	5.59116600836567	5.0281447870452
Chrom4-3147791	4	5.59116610836568	5.02814477994028
Chrom4-3203204	4	5.75428622195748	5.28027910245934
c4.loc6	4	6	5.39233811923571
Chrom4-3364144	4	6.01216782853793	5.39345757937197
Chrom4-3476373	4	6.20165161107983	5.51201206196519
Chrom4-3628628	4	6.6040143419735	5.53810985694689
Chrom4-3944090	4	7.13063189903886	5.5381752942089
Chrom4-3892624	4	7.13063199903886	5.53817529422078
Chrom4-3995080	4	7.45752533840427	5.53821206543263
Chrom4-4047248	4	7.45752543840427	5.53821206544375
Chrom4-4203621	4	7.78009363091359	5.53824543911432
c4.loc8	4	8	5.47491075316407
Chrom4-4261417	4	8.1021040053948	5.40181126180874
Chrom4-4368463	4	8.1021041053948	5.40181117744572
Chrom4-4311885	4	8.10210420539481	5.40181117698531
Chrom4-4478319	4	8.42769442609774	5.39902951968783
Chrom4-4528833	4	8.42769452609775	5.39902951844223
Chrom4-4581175	4	8.78874015957531	5.76411657975531
Chrom4-4632167	4	9.07096087028569	5.76099626453853
Chrom4-4682806	4	9.15483620593127	5.88401870204787
Chrom4-4939746	4	9.59439646997815	6.30387270224914
Chrom4-4837838	4	9.59439656997815	6.30387270631833
Chrom4-4786840	4	9.59439666997815	6.30387271038846
Chrom4-4735437	4	9.59439676997816	6.30387271445729
Chrom4-4992388	4	9.97287964320203	6.332886733679
c4.loc10	4	10	6.33584777908567
Chrom4-5147442	4	11.607996249247	5.88295352124159
Chrom4-5256462	4	11.607996349247	5.88295352445944
Chrom4-5198038	4	11.607996449247	5.88295352767729
Chrom4-5095853	4	11.6079965492471	5.8829535308952
Chrom4-5310537	4	11.8116442976674	5.87067898278502
c4.loc12	4	12	5.85746206618538
Chrom4-5363427	4	12.4128677389317	5.82306340957022
Chrom4-5465190	4	12.6820339268685	5.42570486112337
Chrom4-5566558	4	12.9851272657353	5.43727379586954
Chrom4-5515458	4	12.9851273657353	5.43727379968986
Chrom4-5828052	4	13.4083689291682	5.7338079952316
Chrom4-5616622	4	13.4083690291682	5.73380799557481
c4.loc14	4	14	5.96174335597965
Chrom4-5986395	4	14.1021428112526	5.99694166851469
Chrom4-5932985	4	14.1021429112526	5.99694165446135
Chrom4-6201986	4	14.4469579316961	5.68987311493503
Chrom4-6144118	4	14.4469580316961	5.68987311532288
Chrom4-6092143	4	14.4469581316961	5.68987311570882
Chrom4-6378012	4	14.8110516505403	5.49344883032663
Chrom4-6483257	4	15.5092106341939	4.6373091758221
Chrom4-6534450	4	15.8256207667944	4.6851074261786
Chrom4-6584933	4	15.8256208667944	4.68510740860558
c4.loc16	4	16	4.55830507944529
Chrom4-6754016	4	16.561441147924	4.05880269647346
Chrom4-6856389	4	16.9442388208539	4.06018348558701
Chrom4-6958345	4	17.3006016037668	4.04154208699791
Chrom4-7181830	4	17.8457839081956	4.04535465980285
Chrom4-7079338	4	17.8457840081956	4.04535466019694
c4.loc18	4	18	4.09577706399085
Chrom4-7285108	4	18.2835630736535	4.16687685443125
Chrom4-7489448	4	18.2835631736535	4.16687687406529
Chrom4-7386210	4	18.2835632736535	4.16687687406309
Chrom4-7700052	4	18.8027139123365	4.16687687406529
Chrom4-7649914	4	18.8027140123365	4.16687687406529
Chrom4-7750757	4	19.0030593561805	4.16687687406529
Chrom4-7802253	4	19.1601270219354	4.16687687406529
Chrom4-7855311	4	19.3552233262615	4.31228633001719
Chrom4-8009430	4	19.9044294199444	4.45008350589283
Chrom4-7959245	4	19.9044295199444	4.45008350589269
c4.loc20	4	20	4.45008338542011
Chrom4-8113217	4	20.0606274132786	4.4500835058913
Chrom4-8266837	4	20.1786788128224	4.45008350589237
Chrom4-8684117	4	20.6589287460521	4.32364360133085
Chrom4-8963585	4	20.6589288460521	4.32364356933106
Chrom4-8841221	4	20.6589289460521	4.32364356933104
