chr	trait.1	trait.2	start.1	end.1	start.2	end.2	overlap_start	overlap_end	overlap_len	peak_distance_cM	frac_sum	jaccard	frac_small
chr2	ANL	COLL	39.2974645971716	112.730484831628	25.6790095917765	97.9952386294825	39.2974645971716	97.9952386294825	58.6977740323109	37.3607541157845	0.4027312272648665	0.6742881021899043	0.8116818978725457
chr2	ANL	EFNSC40	39.2974645971716	112.730484831628	55.9416857271949	84.6585610835185	55.9416857271949	84.6585610835185	28.716875356323605	33.4200423561053	0.2811248625389253	0.3910621579316305	1
chr2	ANL	INFA	39.2974645971716	112.730484831628	38.4900950838706	61.7155643960008	39.2974645971716	61.7155643960008	22.418099798829203	0.7733551877310987	0.23193099648039012	0.30196635382704723	0.9652377524668867
chr2	ANL	LABL	39.2974645971716	112.730484831628	25.3189802638361	112.730484831628	39.2974645971716	112.730484831628	73.43302023445641	7.952203619981802	0.4565465956938184	0.8400841582300588	1
chr2	ANL	LABW	39.2974645971716	112.730484831628	55.6021761092847	97.6613589948884	55.6021761092847	97.6613589948884	42.059182885603704	25.596532943026702	0.36417335325988204	0.5727557269375201	1
chr2	ANL	STAE	39.2974645971716	112.730484831628	1.87198835322641	87.4376648736552	39.2974645971716	87.4376648736552	48.1402002764836	31.537029160942097	0.3027710368638886	0.43424908153848796	0.6555661216545625
chr2	ANL	STAL	39.2974645971716	112.730484831628	31.2692191489371	112.730484831628	39.2974645971716	112.730484831628	73.43302023445641	7.952203619981802	0.47408475916106807	0.9014470818621177	1
chr2	ANL	STATL	39.2974645971716	112.730484831628	31.2692191489371	42.4326536454264	39.2974645971716	42.4326536454264	3.1351890482548015	7.952203619981802	0.037060525269363764	0.038486868844722286	0.2808444882478383
chr1	ANL	STAW	0	59.0440671168088	37.4651561581081	59.6979779156267	37.4651561581081	59.0440671168088	21.578910958700696	13.413199807676698	0.2654987322665194	0.3614680381502862	0.9705880429416582
chr2	ANL	STAW	39.2974645971716	112.730484831628	77.9758396873618	98.3785065029769	77.9758396873618	98.3785065029769	20.402666815615106	48.577954338098095	0.21742971631601174	0.27784049669309013	1
chr1	ANL	STIW	0	59.0440671168088	39.0854216630121	118.923254448536	39.0854216630121	59.0440671168088	19.9586454537967	14.820057847696596	0.1437094788293681	0.16782794539510182	0.33802965189223605
chr2	ANL	STIW	39.2974645971716	112.730484831628	85.2560206999177	112.730484831628	85.2560206999177	112.730484831628	27.474464131710306	62.14072974927829	0.27227379915658884	0.3741431857765082	1
chr1	ANL	VFN	0	59.0440671168088	53.0064672089632	61.8614668315148	53.0064672089632	59.0440671168088	6.037599907845596	15.848475043726594	0.08892021934589657	0.09759871883234739	0.6818294935291983
chr8	CLL	STIW	36.5599803010975	48.2867087004956	14.0281664452649	84.6793336650558	36.5599803010975	48.2867087004956	11.726728399398105	26.3393039920728	0.14235285219724036	0.16598067464217633	1
chr2	COL	COLL	25.3189802638361	39.2974645971716	25.6790095917765	97.9952386294825	25.6790095917765	39.2974645971716	13.618455005395099	45.312957735766304	0.1578133175648873	0.1873851971971146	0.9742440368100702
chr6	COL	COLL	11.9636757089479	59.387413222563	13.8952122974912	59.387413222563	13.8952122974912	59.387413222563	45.4922009250718	0.44831770504869795	0.48960599967562146	0.9592706798364687	1
chr2	COL	INFA	25.3189802638361	39.2974645971716	38.4900950838706	61.7155643960008	38.4900950838706	39.2974645971716	0.8073695133009977	8.7255588077129	0.02170117512226815	0.022182562802301607	0.05775801539338607
chr2	COL	LABL	25.3189802638361	39.2974645971716	25.3189802638361	112.730484831628	25.3189802638361	39.2974645971716	13.978484333335498	0	0.13786848667048293	0.15991584176994114	1
chr6	COL	LABL	11.9636757089479	59.387413222563	11.9636757089479	22.2640408467356	11.9636757089479	22.2640408467356	10.3003651377877	0.12797183213750074	0.1784413211235495	0.21719851023615594	1
