chr	pos	lod
Chrom1-5652	1	0	0.0401050992891833
Chrom1-183102	1	1.00000002822922e-07	0.0401050992552462
Chrom1-603629	1	2.00000005645844e-07	0.0401050992213654
Chrom1-761741	1	3.00000008468766e-07	0.0401050991874444
Chrom1-863105	1	0.103471568004863	0.0400699587087183
Chrom1-964613	1	0.103471668004866	0.0400699621531117
Chrom1-1016938	1	0.29823127307677	0.0470703856097214
Chrom1-1069694	1	0.298231373076772	0.0470703993681868
Chrom1-1121619	1	0.761938634387554	0.179412215870422
Chrom1-1172951	1	0.761938734387557	0.179412215878499
Chrom1-1223030	1	0.76193883438756	0.179412215671761
Chrom1-1325794	1	1.12247822222867	0.120002865374262
Chrom1-1390198	1	1.12247832222867	0.120002853257028
Chrom1-1441272	1	1.5608482569274	0.112623185331086
Chrom1-1492718	1	1.5608483569274	0.112623183677613
Chrom1-1546098	1	1.5608484569274	0.112623182024369
c1.loc2	1	2	0.105529270405766
Chrom1-1596723	1	2.37488230695494	0.0997905636131046
Chrom1-1711327	1	2.59177479975153	0.0966289404424641
Chrom1-1763616	1	2.59177489975153	0.0966289472697804
Chrom1-1814638	1	2.59177499975153	0.096628954097012
Chrom1-1872167	1	2.93163406541386	0.119637048705203
Chrom1-1924661	1	3.2714210113261	0.140776458156915
Chrom1-2027517	1	3.27142111132611	0.140776463913323
Chrom1-2136853	1	3.74661300739908	0.196757328263083
Chrom1-2187817	1	3.86936961640132	0.21198174674065
c1.loc4	1	4	0.228292656552895
Chrom1-2239587	1	4.16994016573716	0.24945476502576
Chrom1-2291990	1	4.16994026573716	0.249454781012393
Chrom1-2344686	1	4.5197693826835	0.178889102992262
Chrom1-2395776	1	4.87048564535907	0.162882528665259
Chrom1-2446015	1	5.23534709509334	0.148131871966843
Chrom1-2496728	1	5.23534719509334	0.148131867597446
Chrom1-2549023	1	5.32624849103758	0.187678037971446
Chrom1-2650133	1	5.43268963957073	0.241628966270275
Chrom1-2756385	1	5.6582739067001	0.23873267687354
c1.loc6	1	6	0.220898383780578
Chrom1-2807086	1	6.77101698684563	0.17940376912573
Chrom1-2857437	1	6.77101708684564	0.179403760987274
Chrom1-2912792	1	6.77101718684564	0.17940376136332
Chrom1-2965574	1	7.23115784769613	0.173445564853272
Chrom1-3019235	1	7.48236225482419	0.173395608394455
Chrom1-3070720	1	7.48236235482419	0.173395600717834
Chrom1-3122485	1	7.9463985498561	0.153665643583159
Chrom1-3172507	1	7.9463986498561	0.153665635752833
c1.loc8	1	8	0.14924864999
Chrom1-3229036	1	8.88687984842846	0.0783912733481647
Chrom1-3381594	1	8.88687994842846	0.0783912719896761
Chrom1-3432080	1	9.11737529316105	0.0784122132200202
Chrom1-3482935	1	9.11737539316105	0.0784122132292384
Chrom1-3586241	1	9.11737549316105	0.0784122132384364
Chrom1-3800847	1	9.61576382607849	0.128553957863297
Chrom1-3956346	1	9.73747460492996	0.131359402451984
c1.loc10	1	10	0.186916727070544
Chrom1-4160303	1	10.1513314850335	0.223872163486814
Chrom1-4212527	1	10.1513315850335	0.223872163501864
Chrom1-4372350	1	10.855619093551	0.377312717523715
