chr	interval	marker	pos	lod
chr6	lod_1.5	Chrom6-3819694	6.31045465914472	10.7941699601166
chr6	lod_1.5	Chrom6-4397163	8.57162938617707	12.7125800203963
chr6	lod_1.5	Chrom6-4757587	9.71650089817456	11.0924737737572
chr6	lod_2	Chrom6-3343495	5.01773564678791	10.4336435612648
chr6	lod_2	Chrom6-4397163	8.57162938617707	12.7125800203963
chr6	lod_2	Chrom6-4962302	10.4164992978407	10.0474574866232
chr6	bayes	Chrom6-3871865	6.70920358332416	11.5640362637025
chr6	bayes	Chrom6-4397163	8.57162938617707	12.7125800203963
chr6	bayes	Chrom6-4657266	9.16173159323558	11.7873815422112
chr8	lod_1.5	Chrom8-3995550	8.46042100377302	2.46861165051939
chr8	lod_1.5	c8.loc14	14	4.09961324834734
chr8	lod_1.5	Chrom8-10641934	28.2600013872957	2.21256385618307
chr8	lod_2	Chrom8-2003156	3.22744065123091	1.8598382012226
chr8	lod_2	c8.loc14	14	4.09961324834734
chr8	lod_2	Chrom8-84093539	41.6974416005708	2.08442965193939
chr8	bayes	Chrom8-2622795	5.27410409109928	2.40239573154196
chr8	bayes	c8.loc14	14	4.09961324834734
chr8	bayes	Chrom8-82069301	41.5950795950036	2.46189417706063
