chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-1236932	1.87198835322641	3.77205329847999
chr2	lod_1.5	Chrom2-129740274	77.6169868048368	5.54418032114972
chr2	lod_1.5	Chrom2-136800537	87.4376648736552	4.03089130818876
chr2	lod_2	Chrom2-550580	0.10197987531197	3.14564914007852
chr2	lod_2	Chrom2-129740274	77.6169868048368	5.54418032114972
chr2	lod_2	Chrom2-140052013	96.4938907432317	2.81127125889347
chr2	bayes	Chrom2-550580	0.10197987531197	3.14564914007852
chr2	bayes	Chrom2-129740274	77.6169868048368	5.54418032114972
chr2	bayes	Chrom2-139926410	95.9445214017259	3.62452787424968
chr4.2.9	lod_1.5	Chrom4-5465190	12.6820339268685	4.32903974100176
chr4.2.9	lod_1.5	Chrom4-9873879	23.6586776894954	5.8456940555736
chr4.2.9	lod_1.5	Chrom4-12530657	27.4385781889511	4.32294486745141
chr4.2.9	lod_2	Chrom4-5310537	11.8116442976674	3.74210307123622
chr4.2.9	lod_2	Chrom4-9873879	23.6586776894954	5.8456940555736
chr4.2.9	lod_2	Chrom4-13065911	28.6493296703628	3.41262110330544
chr4.2.9	bayes	Chrom4-5566558	12.9851272657353	4.8881549526412
chr4.2.9	bayes	Chrom4-9873879	23.6586776894954	5.8456940555736
chr4.2.9	bayes	Chrom4-11550134	26.8609918957446	4.41274745373232
chr7.5	lod_1.5	Chrom7-5819927	18.5740038155421	2.36708613637401
chr7.5	lod_1.5	c7.5.loc31	31	4.06944944787608
chr7.5	lod_1.5	Chrom7-15624405	37.6723218856705	2.4813950099433
chr7.5	lod_2	Chrom7-3725583	10.6204912705596	2.0552469033548
chr7.5	lod_2	c7.5.loc31	31	4.06944944787608
chr7.5	lod_2	Chrom7-39883975	45.162159194165	1.90088798181841
chr7.5	bayes	Chrom7-5977443	19.0670094733486	2.58073867183037
chr7.5	bayes	c7.5.loc31	31	4.06944944787608
chr7.5	bayes	Chrom7-15624405	37.6723218856705	2.4813950099433
chr3	lod_1.5	Chrom3-7875722	14.493402758655	3.82097845862828
chr3	lod_1.5	Chrom3-113656415	60.8471573645268	5.84693780258047
chr3	lod_1.5	Chrom3-117515529	70.8006775916428	4.26346062876507
chr3	lod_2	Chrom3-7875722	14.493402758655	3.82097845862828
chr3	lod_2	Chrom3-113656415	60.8471573645268	5.84693780258047
chr3	lod_2	Chrom3-118461616	74.381830793741	3.41015726630474
chr3	bayes	Chrom3-7875722	14.493402758655	3.82097845862828
chr3	bayes	Chrom3-113656415	60.8471573645268	5.84693780258047
chr3	bayes	Chrom3-118197135	73.3440233008232	4.20974701941441
