chr	pos	lod
Chrom4-2286647	4	3.83344884367456	4.18755744583758
Chrom4-2449114	4	3.83344894367456	4.18755755059266
Chrom4-2398186	4	3.83344904367457	4.18755755079862
c4.loc4	4	4	4.2048270863184
Chrom4-2552618	4	4.04686256344954	4.20962764137329
Chrom4-2609617	4	4.04686266344955	4.20962765158973
Chrom4-2718368	4	4.52629569308872	4.36731733931394
Chrom4-2770682	4	4.52629579308873	4.36731736177227
Chrom4-2661805	4	4.52629589308873	4.36731737132824
Chrom4-2932057	4	4.88039623773484	4.28447450845172
Chrom4-2988823	4	4.88039633773485	4.28447451761448
Chrom4-2881053	4	4.88039643773485	4.28447452677967
Chrom4-3047272	4	5.59116600836567	5.02212004650901
Chrom4-3147791	4	5.59116610836568	5.02212010877432
Chrom4-3203204	4	5.75428622195748	5.38006860559847
c4.loc6	4	6	5.49438685443551
Chrom4-3364144	4	6.01216782853793	5.49753658107315
Chrom4-3476373	4	6.20165161107983	5.54651044294386
Chrom4-3628628	4	6.6040143419735	5.57320893599685
Chrom4-3944090	4	7.13063189903886	5.57421335639635
Chrom4-3892624	4	7.13063199903886	5.57421335658607
Chrom4-3995080	4	7.45752533840427	5.57483101656754
Chrom4-4047248	4	7.45752543840427	5.57483101675601
Chrom4-4203621	4	7.78009363091359	5.57543597281803
c4.loc8	4	8	5.75788359888164
Chrom4-4261417	4	8.1021040053948	5.81774081903497
Chrom4-4368463	4	8.1021041053948	5.81774086900128
Chrom4-4311885	4	8.10210420539481	5.81774086799808
Chrom4-4478319	4	8.42769442609774	5.8113030661585
Chrom4-4528833	4	8.42769452609775	5.81130306320735
Chrom4-4581175	4	8.78874015957531	5.77496597332723
Chrom4-4632167	4	9.07096087028569	5.76030958611982
Chrom4-4682806	4	9.15483620593127	5.78997769031327
Chrom4-4939746	4	9.59439646997815	5.58306798906164
Chrom4-4837838	4	9.59439656997815	5.583067990346
Chrom4-4786840	4	9.59439666997815	5.58306799163222
Chrom4-4735437	4	9.59439676997816	5.58306799292095
Chrom4-4992388	4	9.97287964320203	5.6120910575787
c4.loc10	4	10	5.62053004910635
Chrom4-5147442	4	11.607996249247	5.80804594560394
Chrom4-5256462	4	11.607996349247	5.80804594082623
Chrom4-5198038	4	11.607996449247	5.80804593604882
Chrom4-5095853	4	11.6079965492471	5.80804593127088
Chrom4-5310537	4	11.8116442976674	5.77279092925259
c4.loc12	4	12	5.72979608195316
Chrom4-5363427	4	12.4128677389317	5.60357927866129
Chrom4-5465190	4	12.6820339268685	5.50198455914451
Chrom4-5566558	4	12.9851272657353	5.50374974854416
Chrom4-5515458	4	12.9851273657353	5.50374974903433
Chrom4-5828052	4	13.4083689291682	5.74199366132127
Chrom4-5616622	4	13.4083690291682	5.74199366142305
c4.loc14	4	14	5.81898234257478
Chrom4-5986395	4	14.1021428112526	5.81402730343917
Chrom4-5932985	4	14.1021429112526	5.81402729653717
Chrom4-6201986	4	14.4469579316961	6.20502804277776
Chrom4-6144118	4	14.4469580316961	6.20502804287876
Chrom4-6092143	4	14.4469581316961	6.20502804297929
Chrom4-6378012	4	14.8110516505403	6.23569648544471
Chrom4-6483257	4	15.5092106341939	6.60652481936118
Chrom4-6534450	4	15.8256207667944	6.39528599140883
Chrom4-6584933	4	15.8256208667944	6.39528591177547
c4.loc16	4	16	6.25637129411277
Chrom4-6754016	4	16.561441147924	5.68791970529137
Chrom4-6856389	4	16.9442388208539	5.68827240833692
Chrom4-6958345	4	17.3006016037668	5.78149573113577
Chrom4-7181830	4	17.8457839081956	5.71181349974947
Chrom4-7079338	4	17.8457840081956	5.71181349984692
c4.loc18	4	18	5.8775656223011
Chrom4-7285108	4	18.2835630736535	6.14396918772602
Chrom4-7489448	4	18.2835631736535	6.14396927089761
Chrom4-7386210	4	18.2835632736535	6.14396927089717
Chrom4-7700052	4	18.8027139123365	6.14396927089761
Chrom4-7649914	4	18.8027140123365	6.14396927089761
Chrom4-7750757	4	19.0030593561805	6.14396927089761
Chrom4-7802253	4	19.1601270219354	6.14396927089761
