chr	pos	lod
Chrom1-110042458	1	52.1828797360261	3.90553835901333
Chrom1-110853266	1	52.3048591120826	4.0581479425754
Chrom1-111013441	1	52.8013454098666	4.05798690824687
Chrom1-111116026	1	52.8013455098666	4.05798691005787
Chrom1-111217315	1	52.8013456098666	4.05798691005677
Chrom1-112330121	1	53.0064672089632	4.05798691005786
Chrom1-113008060	1	53.4327321036604	3.87680545780308
c1.loc56	1	56	3.78019478146994
Chrom1-115029927	1	56.0830419889183	3.78670491642392
Chrom1-115134316	1	56.2012352646029	3.78670491642345
Chrom1-115245443	1	56.4068580400199	3.78670491642398
Chrom1-115349709	1	56.4068581400199	3.78670491642402
Chrom1-115551454	1	56.5346424590995	3.78866727317041
Chrom8-860567	8	0.50434702352013	3.918596380072
Chrom8-916061	8	0.535002899129933	3.94630396022499
Chrom8-967460	8	1.14321343282798	3.97686202333273
Chrom8-1017714	8	1.14321353282799	3.97686203385377
Chrom8-1069979	8	1.14321363282799	3.97686203235726
Chrom8-1204806	8	1.81501476545355	3.99552114012608
Chrom8-1255399	8	1.81501486545356	3.99552114365637
c8.loc2	8	2	4.00209179864235
Chrom8-1391034	8	2.12180437439786	4.00642766312338
Chrom8-1453558	8	2.25071722339409	4.23117674382414
Chrom8-1557094	8	2.30849519664491	4.29646875552718
Chrom8-1670903	8	2.72022386850786	4.60796491721622
Chrom8-1723240	8	2.72022396850787	4.60796496136413
Chrom8-1773352	8	2.72022406850787	4.60796496146774
Chrom8-1901458	8	3.14834646532374	4.59329012880797
Chrom8-2003156	8	3.22744065123091	4.59062665328001
Chrom8-2056322	8	3.56816171215157	4.71030546281141
Chrom8-2109818	8	3.56816181215158	4.71030542157055
Chrom8-2159897	8	3.56816191215158	4.71030543046702
c8.loc4	8	4	4.92271435575462
Chrom8-2213088	8	4.42262194311178	4.97890433842128
Chrom8-2264545	8	4.42262204311178	4.97890436094553
Chrom8-2315267	8	4.42262214311179	4.9789043536035
Chrom8-2416517	8	4.6315812319131	4.70779067107721
Chrom8-2520969	8	4.83997419003871	5.2281353713568
Chrom8-2622795	8	5.27410409109928	5.43515143777775
Chrom8-2820307	8	5.27410419109928	5.43515143534771
Chrom8-3013566	8	5.27410429109928	5.43515148085049
Chrom8-3178199	8	5.88754992328386	5.33456988933656
Chrom8-3233334	8	5.88755002328386	5.33456981973426
Chrom8-3287505	8	5.88755012328386	5.33456982039853
