chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-22840863	46.6307997771104	11.6679562678115
chr1	lod_1.5	Chrom1-103361357	49.8173387571623	13.4147312539859
chr1	lod_1.5	Chrom1-110042458	52.1828797360261	11.1542213602768
chr1	lod_2	Chrom1-17737887	41.2155531349241	11.3460052133196
chr1	lod_2	Chrom1-103361357	49.8173387571623	13.4147312539859
chr1	lod_2	Chrom1-110042458	52.1828797360261	11.1542213602768
chr1	bayes	Chrom1-17845954	41.5868001923233	11.8693840185633
chr1	bayes	Chrom1-103361357	49.8173387571623	13.4147312539859
chr1	bayes	Chrom1-110042458	52.1828797360261	11.1542213602768
chr8	lod_1.5	Chrom8-13813201	36.5599803010975	4.72875394100072
chr8	lod_1.5	c8.loc40	40	6.73847991685977
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	3.52036076678917
chr8	lod_2	Chrom8-13813201	36.5599803010975	4.72875394100072
chr8	lod_2	c8.loc40	40	6.73847991685977
chr8	lod_2	Chrom8-84936295	42.3156153195737	3.52036076678917
chr8	bayes	Chrom8-13924075	36.9263780194074	6.25125303809943
chr8	bayes	c8.loc40	40	6.73847991685977
chr8	bayes	Chrom8-84093539	41.6974416005708	5.91050444491952
