chr	pos	lod
Chrom1-5652	1	0	0.84721449143828
Chrom1-183102	1	1.00000002822922e-07	0.847214491515359
Chrom1-603629	1	2.00000005645844e-07	0.847214491591615
Chrom1-761741	1	3.00000008468766e-07	0.847214491669462
Chrom1-863105	1	0.103471568004863	0.847294244942674
Chrom1-964613	1	0.103471668004866	0.847294251855402
Chrom1-1016938	1	0.29823127307677	0.8592646545234
Chrom1-1069694	1	0.298231373076772	0.859264668459161
Chrom1-1121619	1	0.761938634387554	0.90431665999887
Chrom1-1172951	1	0.761938734387557	0.904316660079417
Chrom1-1223030	1	0.76193883438756	0.904316672528381
Chrom1-1325794	1	1.12247822222867	0.813032964335036
Chrom1-1390198	1	1.12247832222867	0.813032965098699
Chrom1-1441272	1	1.5608482569274	0.955087025947705
Chrom1-1492718	1	1.5608483569274	0.955087055004867
Chrom1-1546098	1	1.5608484569274	0.955087005668162
c1.loc2	1	2	0.749068638408488
Chrom1-1596723	1	2.37488230695494	0.602156566529743
Chrom1-1711327	1	2.59177479975153	0.60232905668741
Chrom1-1763616	1	2.59177489975153	0.602329052341986
Chrom1-1814638	1	2.59177499975153	0.60232904799679
Chrom1-1872167	1	2.93163406541386	0.587336012124695
Chrom1-1924661	1	3.2714210113261	0.57255903157403
Chrom1-2027517	1	3.27142111132611	0.572559027349428
Chrom1-2136853	1	3.74661300739908	0.584475252483657
Chrom1-2187817	1	3.86936961640132	0.58748594749062
c1.loc4	1	4	0.59062827533819
Chrom1-2239587	1	4.16994016573716	0.594591686183918
Chrom1-2291990	1	4.16994026573716	0.594591689793987
Chrom1-2344686	1	4.5197693826835	0.701796785196052
Chrom1-2395776	1	4.87048564535907	0.718784891075956
Chrom1-2446015	1	5.23534709509334	0.720271579616764
Chrom1-2496728	1	5.23534719509334	0.720271582517569
Chrom1-2549023	1	5.32624849103758	0.738564610730435
Chrom1-2650133	1	5.43268963957073	0.662822129922546
Chrom1-2756385	1	5.6582739067001	0.445375688589621
c1.loc6	1	6	0.400531081125592
Chrom1-2807086	1	6.77101698684563	0.293524352054277
Chrom1-2857437	1	6.77101708684564	0.29352434157235
Chrom1-2912792	1	6.77101718684564	0.293524352184875
Chrom1-2965574	1	7.23115784769613	0.282867118898025
