chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-13793503	35.5123710599889	2.10966690689812
chr1	lod_1.5	Chrom1-110853266	52.3048591120826	3.72935312117011
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	1.64693321763741
chr1	lod_2	Chrom1-7201632	20.8907859828773	1.64470756366417
chr1	lod_2	Chrom1-110853266	52.3048591120826	3.72935312117011
chr1	lod_2	Chrom1-124526980	61.8614668315148	1.64693321763741
chr1	bayes	Chrom1-12164327	33.578721464302	1.93374299236502
chr1	bayes	Chrom1-110853266	52.3048591120826	3.72935312117011
chr1	bayes	Chrom1-123567103	61.4481945915442	3.01260288456242
chr8	lod_1.5	Chrom8-13376083	35.0250532494458	6.74207973306065
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	8.34574686249393
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	8.34574686249393
chr8	lod_1.5	Chrom8-84462893	41.9028729812813	6.71546251145907
chr8	lod_2	Chrom8-3338267	6.05702121175024	6.26997622474055
chr8	lod_2	Chrom8-38467862	40.7733459704726	8.34574686249393
chr8	lod_2	Chrom8-44440966	41.0816555290401	8.34574686249393
chr8	lod_2	Chrom8-84936295	42.3156153195737	5.36217656801954
chr8	bayes	Chrom8-10908027	30.119663844323	6.60327816419627
chr8	bayes	Chrom8-38467862	40.7733459704726	8.34574686249393
chr8	bayes	Chrom8-84719673	41.9028730812813	6.71546212979616
chr9	lod_1.5	Chrom9-78403	0	5.51242259865122
chr9	lod_1.5	Chrom9-3325193	6.91247544514482	6.69213953537729
chr9	lod_1.5	Chrom9-4131929	9.14825760706946	4.85903674053028
chr9	lod_2	Chrom9-78403	0	5.51242259865122
chr9	lod_2	Chrom9-3325193	6.91247544514482	6.69213953537729
chr9	lod_2	Chrom9-5230136	11.3788157836196	4.42983852790124
chr9	bayes	Chrom9-1143729	1.0026333724508	5.52709718205888
chr9	bayes	Chrom9-3325193	6.91247544514482	6.69213953537729
chr9	bayes	Chrom9-4078838	8.16515661702292	5.76112439214223
