chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-12015573	25.3189802638361	3.94255211530142
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	5.83831322804099
chr2	lod_1.5	Chrom2-162653500	112.730484831628	4.72877936092348
chr2	lod_2	Chrom2-8250900	17.8931139644137	3.66652795691977
chr2	lod_2	Chrom2-18358950	38.1277540239129	5.83831322804099
chr2	lod_2	Chrom2-162653500	112.730484831628	4.72877936092348
chr2	bayes	Chrom2-4683565	9.56201796903387	3.67432511131241
chr2	bayes	Chrom2-18358950	38.1277540239129	5.83831322804099
chr2	bayes	Chrom2-162653500	112.730484831628	4.72877936092348
chr6	lod_1.5	Chrom6-5851898	11.9636757089479	7.93294765182077
chr6	lod_1.5	Chrom6-7636574	18.5524463561422	9.87346554983668
chr6	lod_1.5	Chrom6-9141957	22.2640408467356	8.34899088455714
chr6	lod_2	Chrom6-5647729	11.4417479682122	7.7775237570321
chr6	lod_2	Chrom6-7636574	18.5524463561422	9.87346554983668
chr6	lod_2	Chrom6-9347988	23.1991377870024	7.75133904289831
chr6	bayes	Chrom6-6275705	13.1688363142265	8.43831640732054
chr6	bayes	Chrom6-7636574	18.5524463561422	9.87346554983668
chr6	bayes	Chrom6-8928620	22.1614404476487	8.56973854353762
