chr	pos	lod
Chrom1-5652	1	0	0.515691504467696
Chrom1-183102	1	1.00000002822922e-07	0.515691504468379
Chrom1-603629	1	2.00000005645844e-07	0.515691504469032
Chrom1-761741	1	3.00000008468766e-07	0.515691504469714
Chrom1-863105	1	0.103471568004863	0.51569218512401
Chrom1-964613	1	0.103471668004866	0.515692191829231
Chrom1-1016938	1	0.29823127307677	0.527857436244773
Chrom1-1069694	1	0.298231373076772	0.52785743741677
Chrom1-1121619	1	0.761938634387554	0.535355334482261
Chrom1-1172951	1	0.761938734387557	0.535355334482801
Chrom1-1223030	1	0.76193883438756	0.535355337755817
Chrom1-1325794	1	1.12247822222867	0.401296567501532
Chrom1-1390198	1	1.12247832222867	0.401296488352045
Chrom1-1441272	1	1.5608482569274	0.290061939035837
Chrom1-1492718	1	1.5608483569274	0.290061913951291
Chrom1-1546098	1	1.5608484569274	0.290061900899246
c1.loc2	1	2	0.234029843332394
Chrom1-1596723	1	2.37488230695494	0.188968271105097
Chrom1-1711327	1	2.59177479975153	0.188968672368048
Chrom1-1763616	1	2.59177489975153	0.188968673649924
Chrom1-1814638	1	2.59177499975153	0.188968674931715
Chrom1-1872167	1	2.93163406541386	0.193093644542131
Chrom1-1924661	1	3.2714210113261	0.196589992025736
Chrom1-2027517	1	3.27142111132611	0.196589992942478
Chrom1-2136853	1	3.74661300739908	0.210137109151077
Chrom1-2187817	1	3.86936961640132	0.213787818254104
c1.loc4	1	4	0.21770425266655
Chrom1-2239587	1	4.16994016573716	0.222811592635367
Chrom1-2291990	1	4.16994026573716	0.222811598778492
Chrom1-2344686	1	4.5197693826835	0.253580880543609
Chrom1-2395776	1	4.87048564535907	0.240843572350116
Chrom1-2446015	1	5.23534709509334	0.161005947453276
Chrom1-2496728	1	5.23534719509334	0.161005930241004
Chrom1-2549023	1	5.32624849103758	0.135742825561664
Chrom1-2650133	1	5.43268963957073	0.102367857272782
Chrom1-2756385	1	5.6582739067001	0.0622369772910645
c1.loc6	1	6	0.0461251801000344
Chrom1-2807086	1	6.77101698684563	0.0305083783241287
Chrom1-2857437	1	6.77101708684564	0.0305083773396291
Chrom1-2912792	1	6.77101718684564	0.0305083792357266
Chrom1-2965574	1	7.23115784769613	0.0298608728182614
Chrom1-3019235	1	7.48236225482419	0.0244663080243583
Chrom1-3070720	1	7.48236235482419	0.0244663049966789
Chrom1-3122485	1	7.9463985498561	0.0234442462712821
Chrom1-3172507	1	7.9463986498561	0.0234442457972364
c1.loc8	1	8	0.023565542363599
Chrom1-3229036	1	8.88687984842846	0.031211223753786
Chrom1-3381594	1	8.88687994842846	0.0312112232986692
Chrom1-3432080	1	9.11737529316105	0.0267076498818994
Chrom1-3482935	1	9.11737539316105	0.0267076498805352
Chrom1-3586241	1	9.11737549316105	0.0267076498790857
Chrom1-3800847	1	9.61576382607849	0.0186710572673121
Chrom1-3956346	1	9.73747460492996	0.0157976964922568
c1.loc10	1	10	0.0239606258646461
Chrom1-4160303	1	10.1513314850335	0.0290580178592847
Chrom1-4212527	1	10.1513315850335	0.0290580178588584
Chrom1-4372350	1	10.855619093551	0.0436110655427058
Chrom1-4538427	1	11.0628943257647	0.0458229506041903
Chrom1-4643471	1	11.8375833438862	0.0241398980423071
c1.loc12	1	12	0.0153576449945376
Chrom1-4897657	1	12.1220004588309	0.0105151358308717
Chrom1-4948517	1	12.1220005588309	0.0105151359173306
Chrom1-5056936	1	12.6388664157656	0.011973601444879
Chrom1-5107761	1	12.6388665157656	0.011973602246087
Chrom1-5160796	1	12.6388666157656	0.0119736031736295
Chrom1-5213184	1	13.0832233528156	0.0202344228565607
Chrom1-5264775	1	13.0832234528156	0.0202344246112887
Chrom1-5315439	1	13.0832235528156	0.0202344273905055
c1.loc14	1	14	0.0501403376218263
Chrom1-5418960	1	14.1012404074118	0.0554247414981148
Chrom1-5474279	1	14.1012405074118	0.0554247470572591
Chrom1-5525822	1	14.1012406074118	0.0554247526166307
Chrom1-5578409	1	14.4944338870687	0.0555011668227223
Chrom1-5628901	1	14.8997739657646	0.0542831514824229
Chrom1-5679112	1	15.1640255852324	0.0319040219035003
Chrom1-5781306	1	15.4484802760875	0.0548489897043964
Chrom1-5831406	1	15.4484803760875	0.0548490011538831
Chrom1-5882169	1	15.4484804760875	0.0548490011625518
c1.loc16	1	16	0.0611204076010949
Chrom1-5936223	1	16.0935410285572	0.062178473074681
Chrom1-5987582	1	16.0935411285572	0.0621784742597242
Chrom1-6039981	1	16.7382288276951	0.0853073769719686
Chrom1-6094232	1	16.7382289276951	0.0853073803467623
Chrom1-6144233	1	16.7382290276951	0.0853073813319725
Chrom1-6318649	1	17.6098727589947	0.121574818310819
Chrom1-6369443	1	17.6098728589947	0.121574824114134
Chrom1-6420980	1	17.6098729589947	0.121574824696239
Chrom1-6523782	1	17.8970247699018	0.107670902424417
c1.loc18	1	18	0.107346991976357
Chrom1-6629073	1	18.1264280110141	0.106552822753287
Chrom1-6679388	1	18.1264281110141	0.106552827058636
Chrom1-6782046	1	18.7007566422192	0.0426719382929548
Chrom1-6833788	1	18.9065784435635	0.0436242989402444
Chrom1-6891522	1	19.0515741996239	0.0424216699117039
Chrom1-6942777	1	19.5270202672787	0.0372180073196091
c1.loc20	1	20	0.00957871023243229
Chrom1-6994230	1	20.0519922909055	0.00771238534093754
Chrom1-7046610	1	20.0519923909055	0.00771238260816176
Chrom1-7098549	1	20.6219415147693	0.000134669028881262
Chrom1-7150657	1	20.8907858828773	5.75057958371872e-05
Chrom1-7201632	1	20.8907859828773	5.75058252536564e-05
Chrom1-7267012	1	21.4748075447272	0.00325878969945848
Chrom1-7373428	1	21.9419675765868	0.0235762283400049
c1.loc22	1	22	0.0239315940151812
Chrom1-7535262	1	22.1133534802102	0.0247005456957368
Chrom1-7638676	1	22.1133535802102	0.0247005464172219
Chrom1-7798435	1	22.2476391396362	0.0226258784488209
Chrom1-7917007	1	22.2476392396362	0.0226258788846962
Chrom1-8080770	1	22.493879116791	0.0237738333422328
Chrom1-8133986	1	22.493879216791	0.0237738334446362
Chrom1-8190487	1	22.65744863269	0.0230128043213824
