chr	pos	lod
Chrom8-9934866	8	26.3682904637012	3.41492875647384
Chrom8-9986011	8	26.7138254751249	3.41492875647367
Chrom8-10087640	8	26.7138255751249	3.41492875647384
Chrom8-10139431	8	26.7138256751249	3.41492875647384
Chrom8-10250708	8	27.2103995848883	3.38245963343752
Chrom8-10304026	8	27.2103996848883	3.38245962636086
c8.loc30	8	30	3.50114181910129
Chrom8-10908027	8	30.119663844323	3.54272197725857
Chrom8-11562976	8	31.4780537343095	3.45298375650702
Chrom8-11672293	8	31.5802975108822	3.45298375650697
Chrom8-12083733	8	31.8312908374532	3.51512332351012
Chrom8-12746211	8	33.404859513084	3.76106248295196
Chrom8-12907965	8	33.9118371634893	3.82105930812361
Chrom8-12960832	8	33.9118372634893	3.82105930916919
Chrom8-13012241	8	33.9118373634893	3.821059308857
c8.loc34	8	34	3.85988856831341
Chrom8-13113417	8	35.0250528494458	4.1290978521647
Chrom8-13164887	8	35.0250529494458	4.12909787155098
Chrom8-13216932	8	35.0250530494458	4.12909786057577
Chrom8-13267045	8	35.0250531494458	4.12909783709767
Chrom8-13376083	8	35.0250532494458	4.12909781727359
Chrom8-13481991	8	35.7380311179653	4.02044331880518
Chrom8-13532250	8	35.7380312179653	4.02044338128178
c8.loc36	8	36	4.1216554670828
Chrom8-13583789	8	36.1612519235953	4.11781543393352
Chrom8-13635051	8	36.1612520235953	4.11781542554166
Chrom8-13753535	8	36.5599802010975	4.30280114268669
Chrom8-13813201	8	36.5599803010975	4.30280117953458
Chrom8-13924075	8	36.9263780194074	4.68756517279149
Chrom8-14025481	8	36.9263781194074	4.68756526096814
Chrom8-14882957	8	37.5728472066028	4.53794798582112
Chrom8-14986015	8	37.5728473066028	4.5379480025054
Chrom8-15087752	8	37.5728474066028	4.53794803977416
Chrom8-15259653	8	37.5728493816064	4.5379496441152
Chrom8-15485229	8	37.8523738969763	4.75440303168153
Chrom8-15592502	8	37.8523739969763	4.75440309328275
c8.loc38	8	38	4.85747431736746
Chrom8-15746465	8	38.2844605221014	5.02351536916183
Chrom8-16369574	8	38.5248991467625	4.88751793114449
Chrom8-17416670	8	38.6337244289097	5.63310509236214
Chrom8-17889448	8	38.6337245289097	5.63310506158427
Chrom8-18058137	8	39.1820993238876	5.38394601283261
Chrom8-18274563	8	39.1820994238876	5.38394599788535
Chrom8-18448565	8	39.1820995238876	5.38394599788535
Chrom8-18683818	8	39.1820996238876	5.38394599788535
Chrom8-18848646	8	39.4367633105465	5.38394599788535
Chrom8-19904389	8	39.4367634105465	5.38394599788535
Chrom8-20333800	8	39.563869297409	5.38394599788535
Chrom8-21117884	8	39.7545575247268	5.38394599788535
Chrom8-21606017	8	39.7545603202593	5.38394599788535
Chrom8-22108019	8	39.9458077718391	5.38394599788535
Chrom8-22268690	8	39.9458078718391	5.38394599788535
Chrom8-22377748	8	39.9458079718391	5.38394599788529
c8.loc40	8	40	5.38394598724813
Chrom8-23128741	8	40.0548234037424	5.38394599788535
Chrom8-24461752	8	40.157428702302	5.38394599788535
Chrom8-27713482	8	40.2600494416429	5.38394599788535
Chrom8-28512082	8	40.3626699649908	5.38394599788535
Chrom8-29549395	8	40.465291139873	5.77031794704192
Chrom8-33823147	8	40.5679101737759	5.77031794704192
Chrom8-38038103	8	40.5679102737759	5.77031794704197
Chrom8-38356098	8	40.7733458704726	5.77031794704192
Chrom8-38467862	8	40.7733459704726	5.77031794704192
Chrom8-40191569	8	40.8760939238291	5.77031794704192
Chrom8-40515877	8	40.8760940238291	5.77031794704192
Chrom8-40637481	8	40.8760941238291	5.77031794704192
Chrom8-44276226	8	41.0816554290401	5.93142441407934
Chrom8-44440966	8	41.0816555290401	5.93142448202713
Chrom8-44700904	8	41.0816556290401	5.93142448202713
Chrom8-50415370	8	41.1842749818426	5.93142448202713
Chrom8-75882863	8	41.2866351346688	5.82110881310348
Chrom8-76372637	8	41.4927198759075	5.82110881310348
Chrom8-82069301	8	41.5950795950036	5.82110881310348
Chrom8-84093539	8	41.6974416005708	5.64639987523697
Chrom8-84462893	8	41.9028729812813	4.94661468045024
Chrom8-84719673	8	41.9028730812813	4.94661430278836
c8.loc42	8	42	4.90546723760815
Chrom8-84936295	8	42.3156153195737	4.68392115279261
Chrom8-85039076	8	42.3156154195737	4.68392106809557
Chrom8-85091551	8	42.4182970783962	4.68392106809557
Chrom8-85709750	8	42.5209178739284	4.83991838598502
Chrom8-86297606	8	42.623276817785	4.83991838598507
Chrom8-86656773	8	42.8294993264242	4.83468689132354
Chrom8-86707357	8	43.0344104942125	4.70896469765046
Chrom8-86949727	8	43.0344105942125	4.70896464657926
Chrom8-88960105	8	43.2404946981861	4.7159095145152
Chrom8-89318330	8	43.3425942320608	4.71590951451526
Chrom8-89656160	8	43.5489519409496	4.71458696483433
Chrom8-89709565	8	43.7534698753073	4.78052530891074
Chrom8-89822099	8	43.7534699753073	4.7805253089108
c8.loc44	8	44	4.78052508373224
Chrom8-90193943	8	44.1663502909464	4.78052530891102
Chrom8-90417425	8	44.1663503909464	4.7805253089108
Chrom8-91408397	8	44.2801163972064	4.83094566551762
Chrom8-91646297	8	44.5875430707638	4.54450019922336
Chrom8-91699234	8	44.5875431707638	4.54450025281255
Chrom8-91852496	8	45.1819940515665	4.998085590438
Chrom8-92010372	8	45.3006856222897	4.99096083605224
Chrom8-92117883	8	45.4372166196092	5.06647450911748
Chrom8-92320877	8	45.7124528883734	5.20341208466499
Chrom8-92480994	8	45.8146321671636	5.20341208466516
Chrom8-92635466	8	45.920283582968	5.20923984619623
c8.loc46	8	46	5.23582391032994
Chrom8-92950185	8	46.1399531403878	5.20346607538579
Chrom8-93053427	8	46.7032796328592	5.07615411849753
Chrom8-93155246	8	46.8780008870364	5.05350408334436
Chrom8-93257491	8	47.2733360031565	4.93080138405804
Chrom8-93315463	8	47.5677355084361	4.8182658563444
Chrom8-93368076	8	47.5677356084361	4.8182658142747
c8.loc48	8	48	4.49966858022316
Chrom8-93522371	8	48.2867087004956	4.23122660712721
Chrom8-93573612	8	48.2867088004956	4.23122650764202
Chrom8-93674555	8	48.2867089004956	4.2312264547428
Chrom8-93726102	8	48.2867090004956	4.23122632103963
Chrom8-93829360	8	48.6426320060186	3.63695005301804
Chrom8-93982066	8	49.1167599356183	3.58743691204728
Chrom8-94083568	8	49.1167600356183	3.58743688120046
Chrom8-94133908	8	49.2194354731466	3.66966173619045
Chrom8-94235156	8	49.3213405422903	3.66966173619068
Chrom8-94439890	8	49.7093484487739	3.59691018071157
Chrom8-94543358	8	49.8365218805837	3.59691018071152
c8.loc50	8	50	3.60216977908914
Chrom8-94700853	8	50.1258158152174	3.55992154837537
Chrom8-94767003	8	50.1258159152174	3.5599215180211
Chrom8-94872639	8	50.5584538161282	3.37566348985581
Chrom8-94978427	8	50.5584539161282	3.37566350309731
Chrom8-95152165	8	51.0548873520707	3.6878247536805
Chrom8-95259455	8	51.176519073571	3.6878247536805
Chrom8-95417945	8	51.5210769291375	4.02704737963143
Chrom8-95576067	8	51.6900356736486	4.0270473796316
c8.loc52	8	52	3.79326540910705
Chrom8-96043394	8	52.6826458479943	3.47091285829231
Chrom8-96196375	8	52.9889892184857	3.59892880210555
