chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-104096031	50.022325919725	2.03858628918596
chr1	lod_1.5	Chrom1-113780650	54.759063469229	3.55031974546148
chr1	lod_1.5	Chrom1-124743220	62.3675882887131	2.01073107556186
chr1	lod_2	Chrom1-17198172	39.7475013564607	1.37086728993313
chr1	lod_2	Chrom1-113780650	54.759063469229	3.55031974546148
chr1	lod_2	Chrom1-126216853	64.3407748508903	1.50924131135872
chr1	bayes	Chrom1-17043617	39.5847857523571	1.38333367932569
chr1	bayes	Chrom1-113780650	54.759063469229	3.55031974546148
chr1	bayes	Chrom1-145141298	118.923254448536	0.865087882257399
chr6	lod_1.5	Chrom6-7417027	17.9420343078368	2.49970644446489
chr6	lod_1.5	Chrom6-112313681	67.8597284776	4.01515552692581
chr6	lod_1.5	Chrom6-114441135	74.8089990346945	2.421353884388
chr6	lod_2	Chrom6-5647729	11.4417479682122	1.99335499275139
chr6	lod_2	Chrom6-112313681	67.8597284776	4.01515552692581
chr6	lod_2	Chrom6-117600873	85.7756988926664	1.90830211285248
chr6	bayes	Chrom6-7260338	17.2652035061135	2.37205543036282
chr6	bayes	Chrom6-112313681	67.8597284776	4.01515552692581
chr6	bayes	Chrom6-117392331	84.99749097812	2.34929162189155
chr7	lod_1.5	Chrom7-7848141	26.3129405990461	1.88524035099351
chr7	lod_1.5	Chrom7-18112440	38.7027204530078	3.55477119857392
chr7	lod_1.5	Chrom7-18266800	38.7027205530078	3.55477119857392
chr7	lod_1.5	Chrom7-83563400	90.9578192873125	0.533970411555686
chr7	lod_2	Chrom7-6738779	22.1351171361172	1.36398842521123
chr7	lod_2	Chrom7-18112440	38.7027204530078	3.55477119857392
chr7	lod_2	Chrom7-18266800	38.7027205530078	3.55477119857392
chr7	lod_2	Chrom7-83563400	90.9578192873125	0.533970411555686
chr7	bayes	Chrom7-7950248	26.5359930077435	2.29932448551727
chr7	bayes	Chrom7-18112440	38.7027204530078	3.55477119857392
chr7	bayes	Chrom7-83563400	90.9578192873125	0.533970411555686
