chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	4.20132420202613
chr1	lod_1.5	Chrom1-110042458	52.1828797360261	5.88227396873388
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	3.24049025979103
chr1	lod_2	Chrom1-16943084	39.421506690683	3.79378422003968
chr1	lod_2	Chrom1-110042458	52.1828797360261	5.88227396873388
chr1	lod_2	Chrom1-124526980	61.8614668315148	3.24049025979103
chr1	bayes	Chrom1-17634061	40.8436629437429	5.13169209153612
chr1	bayes	Chrom1-110042458	52.1828797360261	5.88227396873388
chr1	bayes	Chrom1-119335679	58.0257213091195	4.438038546557
chr4	lod_1.5	Chrom4-4528833	8.42769452609775	2.13300241703493
chr4	lod_1.5	Chrom4-5986395	14.1021428112526	4.10227557175854
chr4	lod_1.5	Chrom4-11397134	26.4802465150859	2.5377932339847
chr4	lod_2	Chrom4-4203621	7.78009363091359	2.05993924035167
chr4	lod_2	Chrom4-5986395	14.1021428112526	4.10227557175854
chr4	lod_2	Chrom4-13065911	28.6493296703628	1.68087645728946
chr4	bayes	Chrom4-4528833	8.42769452609775	2.13300241703493
chr4	bayes	Chrom4-5986395	14.1021428112526	4.10227557175854
chr4	bayes	Chrom4-12686913	27.6658647877998	2.15056181642406
chr8	lod_1.5	Chrom8-14025481	36.9263781194074	7.93430485263336
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	9.74726760592868
chr8	lod_1.5	Chrom8-84462893	41.9028729812813	8.08032732556767
chr8	lod_2	Chrom8-13813201	36.5599803010975	7.40612632634071
chr8	lod_2	Chrom8-50415370	41.1842749818426	9.74726760592868
chr8	lod_2	Chrom8-84936295	42.3156153195737	6.90585142022512
chr8	bayes	Chrom8-14882957	37.5728472066028	8.90233436696897
chr8	bayes	Chrom8-50415370	41.1842749818426	9.74726760592868
chr8	bayes	Chrom8-82069301	41.5950795950036	9.44180668321712
chr9	lod_1.5	Chrom9-78403	0	3.43402751116318
chr9	lod_1.5	Chrom9-1724692	2.37198284363606	4.7838651745283
chr9	lod_1.5	Chrom9-4764941	10.4539259071313	2.91940636035343
chr9	lod_2	Chrom9-78403	0	3.43402751116318
chr9	lod_2	Chrom9-1724692	2.37198284363606	4.7838651745283
chr9	lod_2	Chrom9-5230136	11.3788157836196	2.30854587558659
chr9	bayes	Chrom9-758890	0.546937242979958	3.43948287597242
chr9	bayes	Chrom9-1724692	2.37198284363606	4.7838651745283
chr9	bayes	Chrom9-4078838	8.16515661702292	3.7848013061561
