chr	pos	lod
Chrom1-5652	1	0	0.55547062849547
Chrom1-183102	1	1.00000002822922e-07	0.555470628463411
Chrom1-603629	1	2.00000005645844e-07	0.555470628431692
Chrom1-761741	1	3.00000008468766e-07	0.555470628399405
Chrom1-863105	1	0.103471568004863	0.555437567568617
Chrom1-964613	1	0.103471668004866	0.555437567538718
Chrom1-1016938	1	0.29823127307677	0.555525674976309
Chrom1-1069694	1	0.298231373076772	0.555525681453105
Chrom1-1121619	1	0.761938634387554	0.566582071665266
Chrom1-1172951	1	0.761938734387557	0.56658207162809
Chrom1-1223030	1	0.76193883438756	0.566582024273828
Chrom1-1325794	1	1.12247822222867	0.418731059614174
Chrom1-1390198	1	1.12247832222867	0.418731079150234
Chrom1-1441272	1	1.5608482569274	0.428942492630426
Chrom1-1492718	1	1.5608483569274	0.428942494701516
Chrom1-1546098	1	1.5608484569274	0.428942494788828
c1.loc2	1	2	0.425417649446899
Chrom1-1596723	1	2.37488230695494	0.418862616485285
Chrom1-1711327	1	2.59177479975153	0.418723021016092
Chrom1-1763616	1	2.59177489975153	0.41872301758417
Chrom1-1814638	1	2.59177499975153	0.418723014151851
Chrom1-1872167	1	2.93163406541386	0.405380785929083
Chrom1-1924661	1	3.2714210113261	0.389323253771238
Chrom1-2027517	1	3.27142111132611	0.389323248753954
Chrom1-2136853	1	3.74661300739908	0.412577315694705
Chrom1-2187817	1	3.86936961640132	0.418257782237674
c1.loc4	1	4	0.42409009619962
Chrom1-2239587	1	4.16994016573716	0.431296785024472
Chrom1-2291990	1	4.16994026573716	0.431296798840549
Chrom1-2344686	1	4.5197693826835	0.725904148271468
Chrom1-2395776	1	4.87048564535907	0.829490074529645
Chrom1-2446015	1	5.23534709509334	0.894965084675448
Chrom1-2496728	1	5.23534719509334	0.89496508408655
Chrom1-2549023	1	5.32624849103758	0.841629739994289
Chrom1-2650133	1	5.43268963957073	0.806118383315322
Chrom1-2756385	1	5.6582739067001	0.891766139456422
c1.loc6	1	6	0.901784602455507
Chrom1-2807086	1	6.77101698684563	0.920165276414025
Chrom1-2857437	1	6.77101708684564	0.920165274126816
Chrom1-2912792	1	6.77101718684564	0.920165299204143
Chrom1-2965574	1	7.23115784769613	1.11144257113767
Chrom1-3019235	1	7.48236225482419	1.25790971272301
Chrom1-3070720	1	7.48236235482419	1.2579097490933
Chrom1-3122485	1	7.9463985498561	1.37285676788247
Chrom1-3172507	1	7.9463986498561	1.37285678469692
c1.loc8	1	8	1.3644854454281
Chrom1-3229036	1	8.88687984842846	1.20603176580443
Chrom1-3381594	1	8.88687994842846	1.20603174332035
Chrom1-3432080	1	9.11737529316105	1.22108991486141
Chrom1-3482935	1	9.11737539316105	1.22108991471879
Chrom1-3586241	1	9.11737549316105	1.2210899145764
Chrom1-3800847	1	9.61576382607849	0.906746855346796
Chrom1-3956346	1	9.73747460492996	0.891981450263017
c1.loc10	1	10	0.89274654782372
Chrom1-4160303	1	10.1513314850335	0.889699869790888
Chrom1-4212527	1	10.1513315850335	0.889699869664128
Chrom1-4372350	1	10.855619093551	0.526840622931047
Chrom1-4538427	1	11.0628943257647	0.514070238063653
Chrom1-4643471	1	11.8375833438862	0.301530560705999
c1.loc12	1	12	0.270294262051721
Chrom1-4897657	1	12.1220004588309	0.247955955143823
Chrom1-4948517	1	12.1220005588309	0.247955917178388
Chrom1-5056936	1	12.6388664157656	0.129253913045147
Chrom1-5107761	1	12.6388665157656	0.129253893204918
Chrom1-5160796	1	12.6388666157656	0.129253879026464
Chrom1-5213184	1	13.0832233528156	0.135056415267627
Chrom1-5264775	1	13.0832234528156	0.135056417277667
Chrom1-5315439	1	13.0832235528156	0.135056420384956
c1.loc14	1	14	0.162583849057398
Chrom1-5418960	1	14.1012404074118	0.165448073115385
Chrom1-5474279	1	14.1012405074118	0.165448086347396
Chrom1-5525822	1	14.1012406074118	0.16544809957918
Chrom1-5578409	1	14.4944338870687	0.225045488055287
Chrom1-5628901	1	14.8997739657646	0.294056816880129
Chrom1-5679112	1	15.1640255852324	0.332527173338008
Chrom1-5781306	1	15.4484802760875	0.344335982777352
Chrom1-5831406	1	15.4484803760875	0.344335984339693
Chrom1-5882169	1	15.4484804760875	0.344335999485168
c1.loc16	1	16	0.332075326318147
Chrom1-5936223	1	16.0935410285572	0.329769394556706
Chrom1-5987582	1	16.0935411285572	0.329769391856246
Chrom1-6039981	1	16.7382288276951	0.313349537884108
Chrom1-6094232	1	16.7382289276951	0.313349541160107
Chrom1-6144233	1	16.7382290276951	0.31334954580467
Chrom1-6318649	1	17.6098727589947	0.361459698434885
Chrom1-6369443	1	17.6098728589947	0.361459707182462
Chrom1-6420980	1	17.6098729589947	0.361459710620863
Chrom1-6523782	1	17.8970247699018	0.367074165143947
c1.loc18	1	18	0.370297168404477
Chrom1-6629073	1	18.1264280110141	0.373888360997569
Chrom1-6679388	1	18.1264281110141	0.373888331562796
Chrom1-6782046	1	18.7007566422192	0.135244192754783
Chrom1-6833788	1	18.9065784435635	0.106047803843012
Chrom1-6891522	1	19.0515741996239	0.100380657725452
Chrom1-6942777	1	19.5270202672787	0.0721077745183152
c1.loc20	1	20	0.0567290266986333
Chrom1-6994230	1	20.0519922909055	0.0566123251367117
Chrom1-7046610	1	20.0519923909055	0.0566123243108905
Chrom1-7098549	1	20.6219415147693	0.0432803417864989
Chrom1-7150657	1	20.8907858828773	0.0367284083495747
Chrom1-7201632	1	20.8907859828773	0.0367284054521519
Chrom1-7267012	1	21.4748075447272	0.0225873662076879
Chrom1-7373428	1	21.9419675765868	0.0120710117018916
c1.loc22	1	22	0.0121266650009488
Chrom1-7535262	1	22.1133534802102	0.0122272583947165
Chrom1-7638676	1	22.1133535802102	0.0122272584787311
Chrom1-7798435	1	22.2476391396362	0.0302856486138694
Chrom1-7917007	1	22.2476392396362	0.0302856486907785
Chrom1-8080770	1	22.493879116791	0.00314662922892239
Chrom1-8133986	1	22.493879216791	0.00314662895169704
Chrom1-8190487	1	22.65744863269	0.00749294862794159
Chrom1-8315433	1	22.65744873269	0.00749295186977861
Chrom1-8418313	1	22.9880906363023	0.0247323778464761
Chrom1-8519661	1	23.1990511379591	0.0233294528194961
Chrom1-8570618	1	23.1990512379591	0.0233294527939165
Chrom1-8620754	1	23.1990513379591	0.0233294527674843
c1.loc24	1	24	0.0464780389220323
Chrom1-8723314	1	24.0351135343336	0.0477068598128767
Chrom1-8824762	1	24.8715986109492	0.0671584240743073
Chrom1-8880536	1	24.8715987109492	0.0671584228229563
Chrom1-8939823	1	24.8715988109492	0.0671584217030841
Chrom1-9041782	1	25.4670509154335	0.077979314262393
Chrom1-9094942	1	25.6763342193412	0.0607247961107191
Chrom1-9146814	1	25.6763343193412	0.0607247987849178
c1.loc26	1	26	0.0583396218663097
Chrom1-9202503	1	26.547780744899	0.0523667320904906
Chrom1-9313638	1	26.547780844899	0.0523667302625768
Chrom1-9363831	1	26.547780944899	0.0523667313797773
Chrom1-9465395	1	27.0707766700726	0.0549196518578015
Chrom1-9519090	1	27.199406856907	0.0505897118808889
Chrom1-9620268	1	27.3292516514762	0.0463512592631901
Chrom1-9676126	1	27.3292517514762	0.0463512411903935
Chrom1-9783173	1	27.6684541469588	0.0118582376611016
Chrom1-9833757	1	27.7452713696009	0.0127263463962208
Chrom1-9887020	1	27.9064613311172	0.0188308855614991
c1.loc28	1	28	0.0243501727193234
Chrom1-9995779	1	28.4398393590234	0.0597684276132213
Chrom1-10054696	1	28.8004175017485	0.0616725380114644
Chrom1-10105268	1	28.8004176017485	0.0616725380590424
Chrom1-10158658	1	28.8004177017485	0.0616725397078426
Chrom1-10264368	1	29.8206639275874	0.0456879800617571
Chrom1-10314433	1	29.8206640275874	0.0456879512670412
c1.loc30	1	30	0.0116989895477673
Chrom1-10469547	1	30.0442358693533	0.00792321401519303
Chrom1-10782470	1	30.2594592018528	0.00740052913022282
Chrom1-11002572	1	30.5246015150964	0.00840839659707626
Chrom1-11282337	1	31.3436613870164	0.0925168108327625
Chrom1-11581340	1	31.5432559709027	0.108169169292069
Chrom1-11734526	1	31.7431112777533	0.127445592149968
c1.loc32	1	32	0.133343761776871
Chrom1-11888825	1	32.4219039912082	0.163922357923752
Chrom1-12010387	1	32.4219040912082	0.163922362839173
Chrom1-12113892	1	32.8386390639686	0.199889224381536
Chrom1-12164327	1	33.578721464302	0.313184991285311
Chrom1-12215819	1	33.6235232290978	0.320356399381751
c1.loc34	1	34	0.319779549359282
Chrom1-12266909	1	34.0070192051692	0.319767550801544
Chrom1-12370910	1	34.2727225599418	0.31976755080143
Chrom1-12522284	1	34.3820431104492	0.31976755080035
Chrom1-12628489	1	34.5878426884874	0.306007227306736
Chrom1-12745616	1	34.5878427884874	0.306007227306736
Chrom1-12902338	1	34.5878428884874	0.306007206281436
Chrom1-12952798	1	34.7106719628827	0.283786957139114
Chrom1-13105023	1	34.9581537777207	0.30057696473898
Chrom1-13213048	1	35.204679608573	0.378931666698122
Chrom1-13320090	1	35.204679708573	0.378931666698065
Chrom1-13490147	1	35.204679808573	0.378931666698065
Chrom1-13540912	1	35.3588311764454	0.378931666698122
Chrom1-13642304	1	35.5123709599889	0.378931666698065
Chrom1-13793503	1	35.5123710599889	0.378931665816765
Chrom1-13960398	1	35.8299267196203	0.387749517642703
Chrom1-14062896	1	35.9869776446686	0.397623340033078
c1.loc36	1	36	0.399084041730589
Chrom1-14167820	1	36.2870880348772	0.420447420752282
Chrom1-14219704	1	36.3067956038196	0.415610804606843
Chrom1-14269866	1	36.5000138487212	0.403955587026417
Chrom1-14476516	1	36.6303954674544	0.435120342959067
Chrom1-14581432	1	36.7250749281307	0.464546354687457
Chrom1-14736217	1	36.9525675838073	0.494111105714296
Chrom1-14898290	1	37.0548736961089	0.494111105714239
Chrom1-15102016	1	37.1574940033545	0.494111105714239
Chrom1-15417330	1	37.2598539411607	0.494111105714353
Chrom1-15575835	1	37.4651561581081	0.494111105714239
Chrom1-15895473	1	37.8785883666525	0.591897812912919
Chrom1-15946213	1	37.8785884666525	0.591897863888448
c1.loc38	1	38	0.621985156287167
Chrom1-15996245	1	38.1528814033053	0.662233551352358
Chrom1-16098601	1	38.2893537580596	0.755047199232649
Chrom1-16368825	1	38.4390972837862	0.813420623122511
Chrom1-16473225	1	38.6161833262119	0.808224078847047
Chrom1-16577688	1	38.7492796980689	0.826904970935914
Chrom1-16631397	1	39.0854216630121	1.03802985858334
Chrom1-16786631	1	39.421506590683	1.10125081092178
Chrom1-16943084	1	39.421506690683	1.10125090018909
Chrom1-17043617	1	39.5847857523571	1.24447739451227
Chrom1-17147073	1	39.6964707211547	1.24447739451233
Chrom1-17198172	1	39.7475013564607	1.2419001953964
c1.loc40	1	40	1.28183325146176
Chrom1-17357072	1	40.2450239849802	1.31337586483875
Chrom1-17407545	1	40.2450240849802	1.31337586483892
Chrom1-17457715	1	40.2450241849802	1.31337585947932
Chrom1-17634061	1	40.8436629437429	1.36838432808537
Chrom1-17737887	1	41.2155531349241	1.48574039148406
Chrom1-17845954	1	41.5868001923233	1.51187547155456
Chrom1-18053208	1	41.5868002923233	1.51187547830312
Chrom1-18203714	1	41.7092201463062	1.51187547830204
Chrom1-18306263	1	41.9301021841797	1.51673314300928
Chrom1-18409583	1	41.9859968783154	1.52892432156807
c1.loc42	1	42	1.52403295821102
Chrom1-18511464	1	42.2189446302547	1.42777059640946
Chrom1-18663582	1	42.8243675219366	1.10747211034789
Chrom1-18824405	1	43.1871229709535	1.09168414274802
Chrom1-18875865	1	43.2553394337504	1.0904627590005
Chrom1-18925875	1	43.3995390716731	1.09253383369793
Chrom1-19027847	1	43.5435414288201	1.10107296204637
Chrom1-19181536	1	43.7492656739006	1.24013471798821
Chrom1-19283131	1	43.9548355031532	1.3744015395273
c1.loc44	1	44	1.37440163075047
Chrom1-19663347	1	44.1602730572025	1.37440153952781
Chrom1-19957038	1	44.1602731572025	1.37440153952758
Chrom1-20109800	1	44.263022276929	1.37440153952758
Chrom1-20360524	1	44.3656444328576	1.37440153952758
Chrom1-21009672	1	44.4680048797201	1.37440153952764
Chrom1-21219775	1	44.6742365323194	1.39146113245278
Chrom1-21271611	1	44.8786294180737	1.39232881752844
Chrom1-21438326	1	44.8786295180737	1.3923288171635
Chrom1-21902059	1	45.2915932576083	1.10389628477714
Chrom1-21953006	1	45.2915933576083	1.1038962128286
Chrom1-22003207	1	45.2915934576083	1.10389621286777
Chrom1-22163295	1	45.7040969012589	1.22673283063125
Chrom1-22268844	1	45.7040970012589	1.22673282360245
c1.loc46	1	46	1.22673285851135
Chrom1-22475360	1	46.0129803007012	1.22673282360267
Chrom1-22526478	1	46.0129804007012	1.22673279721397
Chrom1-22579384	1	46.0129805007012	1.22673276213857
Chrom1-22685108	1	46.4259708964349	1.04791422509231
Chrom1-22738930	1	46.4259709964349	1.04791422509226
Chrom1-22840863	1	46.6307997771104	1.17720660681709
Chrom1-23114620	1	46.9750419689817	1.23415917627233
Chrom1-23326642	1	47.145668748031	1.41714603652508
Chrom1-23482000	1	47.3169437814551	1.4171460365252
Chrom1-23532260	1	47.3169438814551	1.41714603652508
Chrom1-23585018	1	47.660115554752	1.41714603652508
Chrom1-23686485	1	47.660115654752	1.41714603652514
Chrom1-24175311	1	47.7629160861082	1.41714603652514
Chrom1-24493594	1	47.8655385459496	1.44971556811186
Chrom1-24752701	1	47.9681608099173	1.44971556811203
c1.loc48	1	48	1.3879881865671
Chrom1-25711641	1	48.0707832908858	1.24021812756604
Chrom1-25929840	1	48.1731453759963	1.2402181275661
Chrom1-26549204	1	48.3792398128846	1.2115773181705
Chrom1-27184802	1	48.481601684225	1.2120408294158
Chrom1-27286572	1	48.5839635543164	1.14240472683014
Chrom1-27984580	1	48.7900588654815	1.22947901951079
Chrom1-29782651	1	48.8921630544678	1.26201922839869
Chrom1-33223725	1	49.0976068543367	1.26201922839869
Chrom1-33348869	1	49.0976069543367	1.26201922839874
Chrom1-34690118	1	49.4067616756502	1.43570446732224
Chrom1-34801647	1	49.4067617756502	1.43570451729676
Chrom1-39507600	1	49.5094682685881	1.43570451729698
Chrom1-99913906	1	49.6120918373803	1.3700078004066
Chrom1-102296993	1	49.7147151884736	1.3700078004066
Chrom1-103361357	1	49.8173387571623	1.45867020905422
Chrom1-103675120	1	49.9199625436917	1.76562906894281
c1.loc50	1	50	1.76562908339884
Chrom1-104096031	1	50.022325919725	1.76562906894281
Chrom1-104768386	1	50.2284265285951	2.02971862920845
Chrom1-106197386	1	50.3305297118583	2.02971862920845
Chrom1-107158010	1	50.5366303207072	2.02971862920845
Chrom1-107263246	1	50.6389936998355	2.02971862920839
Chrom1-108284003	1	50.7410956171125	2.0297186292085
Chrom1-108494030	1	51.0505341100918	2.0141268588111
Chrom1-109218990	1	51.340034065902	2.01412685881138
Chrom1-109281516	1	51.340034165902	2.01412684637864
Chrom1-109332307	1	51.629323815394	1.97844432521464
Chrom1-109593936	1	51.9766394439115	1.87424925197627
Chrom1-109855771	1	51.9766395439115	1.87424921288755
c1.loc52	1	52	1.88779201241761
Chrom1-110042458	1	52.1828797360261	2.03799899436996
Chrom1-110853266	1	52.3048591120826	2.08782665620515
Chrom1-111013441	1	52.8013454098666	2.38032782345391
Chrom1-111116026	1	52.8013455098666	2.38032785545425
Chrom1-111217315	1	52.8013456098666	2.38032785545369
Chrom1-112330121	1	53.0064672089632	2.38032785545425
Chrom1-113008060	1	53.4327321036604	2.51918510586137
Chrom1-113112203	1	53.5259597454316	2.54027271993778
Chrom1-113167329	1	53.6283327857229	2.50731193750175
Chrom1-113218365	1	53.9231696467156	2.6988387835699
c1.loc54	1	54	2.7521293606552
Chrom1-113322003	1	54.4223015622162	2.9928971700578
Chrom1-113422520	1	54.4223016622162	2.99289717556775
Chrom1-113576066	1	54.759063369229	2.85428568764735
Chrom1-113780650	1	54.759063469229	2.85428568764655
Chrom1-113936162	1	55.0680735334075	2.85428568764735
Chrom1-114353330	1	55.2218801394243	2.85428568764729
Chrom1-114409403	1	55.3756180131636	2.51677743678522
Chrom1-114511994	1	55.3756181131636	2.51677720370941
Chrom1-114772670	1	55.4771437345352	2.51677720370958
c1.loc56	1	56	2.15622934157892
Chrom1-115029927	1	56.0830419889183	2.08740832964912
Chrom1-115134316	1	56.2012352646029	2.08740832964901
Chrom1-115245443	1	56.4068580400199	2.04737079589086
Chrom1-115349709	1	56.4068581400199	2.04737079589086
Chrom1-115551454	1	56.5346424590995	1.83153159446124
