chr	pos	lod
Chrom1-5652	1	0	0.529269340311226
Chrom1-183102	1	1.00000002822922e-07	0.529269340144789
Chrom1-603629	1	2.00000005645844e-07	0.529269339978291
Chrom1-761741	1	3.00000008468766e-07	0.529269339811653
Chrom1-863105	1	0.103471568004863	0.529096662470984
Chrom1-964613	1	0.103471668004866	0.529096656430262
Chrom1-1016938	1	0.29823127307677	0.51726094057299
Chrom1-1069694	1	0.298231373076772	0.517260928873994
Chrom1-1121619	1	0.761938634387554	0.436141964005366
Chrom1-1172951	1	0.761938734387557	0.436141964013043
Chrom1-1223030	1	0.76193883438756	0.436141965420777
Chrom1-1325794	1	1.12247822222867	0.292132121637389
Chrom1-1390198	1	1.12247832222867	0.292132100668884
Chrom1-1441272	1	1.5608482569274	0.287007116349109
Chrom1-1492718	1	1.5608483569274	0.28700711522045
Chrom1-1546098	1	1.5608484569274	0.287007114092114
c1.loc2	1	2	0.282249674554061
Chrom1-1596723	1	2.37488230695494	0.278547965720557
Chrom1-1711327	1	2.59177479975153	0.276568536092549
Chrom1-1763616	1	2.59177489975153	0.276568548862446
Chrom1-1814638	1	2.59177499975153	0.276568561632558
Chrom1-1872167	1	2.93163406541386	0.316857427830685
Chrom1-1924661	1	3.2714210113261	0.348610990204794
Chrom1-2027517	1	3.27142111132611	0.348610998046214
Chrom1-2136853	1	3.74661300739908	0.370126830444017
Chrom1-2187817	1	3.86936961640132	0.373739473946046
c1.loc4	1	4	0.376613442299222
Chrom1-2239587	1	4.16994016573716	0.378814798064184
Chrom1-2291990	1	4.16994026573716	0.378814811612124
Chrom1-2344686	1	4.5197693826835	0.553407452145212
Chrom1-2395776	1	4.87048564535907	0.525562731138118
Chrom1-2446015	1	5.23534709509334	0.550874221869187
Chrom1-2496728	1	5.23534719509334	0.55087421838801
Chrom1-2549023	1	5.32624849103758	0.493409131862077
Chrom1-2650133	1	5.43268963957073	0.422925904641729
Chrom1-2756385	1	5.6582739067001	0.419669738288241
c1.loc6	1	6	0.400796658563245
Chrom1-2807086	1	6.77101698684563	0.347665416291571
Chrom1-2857437	1	6.77101708684564	0.347665409191548
Chrom1-2912792	1	6.77101718684564	0.347665409394804
Chrom1-2965574	1	7.23115784769613	0.239876189969837
Chrom1-3019235	1	7.48236225482419	0.183755148124344
Chrom1-3070720	1	7.48236235482419	0.183755131524981
Chrom1-3122485	1	7.9463985498561	0.201600886054493
Chrom1-3172507	1	7.9463986498561	0.201600890071124
c1.loc8	1	8	0.204277537823925
Chrom1-3229036	1	8.88687984842846	0.232844531083687
Chrom1-3381594	1	8.88687994842846	0.232844529865018
Chrom1-3432080	1	9.11737529316105	0.232830766306467
Chrom1-3482935	1	9.11737539316105	0.232830766300498
Chrom1-3586241	1	9.11737549316105	0.232830766294714
Chrom1-3800847	1	9.61576382607849	0.229521795684116
Chrom1-3956346	1	9.73747460492996	0.22885079727611
c1.loc10	1	10	0.308444535817571
Chrom1-4160303	1	10.1513314850335	0.353569839517559
Chrom1-4212527	1	10.1513315850335	0.353569839508816
Chrom1-4372350	1	10.855619093551	0.354515378154609
Chrom1-4538427	1	11.0628943257647	0.332877871803321
Chrom1-4643471	1	11.8375833438862	0.430723105066386
c1.loc12	1	12	0.44758711093731
Chrom1-4897657	1	12.1220004588309	0.460481181530342
Chrom1-4948517	1	12.1220005588309	0.460481222955616
Chrom1-5056936	1	12.6388664157656	0.561000302164568
Chrom1-5107761	1	12.6388665157656	0.561000319335591
Chrom1-5160796	1	12.6388666157656	0.561000329730198
Chrom1-5213184	1	13.0832233528156	0.197286300801061
Chrom1-5264775	1	13.0832234528156	0.197286288759117
Chrom1-5315439	1	13.0832235528156	0.197286288790762
c1.loc14	1	14	0.223351954450692
Chrom1-5418960	1	14.1012404074118	0.225741470450441
Chrom1-5474279	1	14.1012405074118	0.225741475388435
Chrom1-5525822	1	14.1012406074118	0.225741480327121
Chrom1-5578409	1	14.4944338870687	0.258309298160464
Chrom1-5628901	1	14.8997739657646	0.289944327390319
Chrom1-5679112	1	15.1640255852324	0.297982226435121
Chrom1-5781306	1	15.4484802760875	0.401728351340887
Chrom1-5831406	1	15.4484803760875	0.4017283836084
Chrom1-5882169	1	15.4484804760875	0.401728385826007
c1.loc16	1	16	0.401987258473427
Chrom1-5936223	1	16.0935410285572	0.402031812682739
Chrom1-5987582	1	16.0935411285572	0.40203181638147
Chrom1-6039981	1	16.7382288276951	0.455023044795056
Chrom1-6094232	1	16.7382289276951	0.455023051233273
Chrom1-6144233	1	16.7382290276951	0.455023051284114
Chrom1-6318649	1	17.6098727589947	0.446520158854132
Chrom1-6369443	1	17.6098728589947	0.446520161575128
Chrom1-6420980	1	17.6098729589947	0.446520168849422
Chrom1-6523782	1	17.8970247699018	0.469554384562599
c1.loc18	1	18	0.478593584865417
Chrom1-6629073	1	18.1264280110141	0.489962508711252
Chrom1-6679388	1	18.1264281110141	0.489962518707244
Chrom1-6782046	1	18.7007566422192	0.724423689426392
Chrom1-6833788	1	18.9065784435635	0.732284032163551
Chrom1-6891522	1	19.0515741996239	0.728163425366498
Chrom1-6942777	1	19.5270202672787	0.844427518273632
c1.loc20	1	20	1.23706394713316
Chrom1-6994230	1	20.0519922909055	1.29173783717563
Chrom1-7046610	1	20.0519923909055	1.29173784479253
Chrom1-7098549	1	20.6219415147693	1.33755630052032
Chrom1-7150657	1	20.8907858828773	1.34668047878767
Chrom1-7201632	1	20.8907859828773	1.34668048104892
Chrom1-7267012	1	21.4748075447272	1.45564298011278
Chrom1-7373428	1	21.9419675765868	1.47092460760614
