chr	pos	lod
Chrom6-112431292	6	68.8057203487569	3.7565019315295
Chrom6-112547270	6	69.5111468625853	3.856103375663
Chrom6-112599313	6	69.5111469625853	3.85610331264837
Chrom7-6397362	7	20.8467839601848	5.13376039227484
Chrom7-6347022	7	20.8467840601848	5.13376037091132
Chrom7-6557058	7	21.3010792348747	4.93410160502839
Chrom7-6505884	7	21.3010793348747	4.9341015779429
Chrom7-6628440	7	21.8934890881809	4.53501403195946
Chrom7-6683594	7	21.8934891881809	4.53501395019748
c7.loc22	7	22	4.44551651494572
Chrom7-6738779	7	22.1351171361172	4.32547343197291
Chrom7-6896611	7	22.700250427164	4.07208102224899
Chrom7-6789114	7	22.700250527164	4.0720809924353
