chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-18832578	39.2974645971716	2.84605907930327
chr2	lod_1.5	Chrom2-27698966	46.0799576438947	4.52533425437018
chr2	lod_1.5	Chrom2-162653500	112.730484831628	3.37029475234557
chr2	lod_2	Chrom2-550580	0.10197987531197	2.31669423070774
chr2	lod_2	Chrom2-27698966	46.0799576438947	4.52533425437018
chr2	lod_2	Chrom2-162653500	112.730484831628	3.37029475234557
chr2	bayes	Chrom2-18306916	38.1277539239129	2.74564505123895
chr2	bayes	Chrom2-27698966	46.0799576438947	4.52533425437018
chr2	bayes	Chrom2-162653500	112.730484831628	3.37029475234557
chr1	lod_1.5	Chrom1-5652	0	2.69138092347838
chr1	lod_1.5	Chrom1-17845954	41.5868001923233	3.93767874424586
chr1	lod_1.5	Chrom1-121283676	59.0440671168088	2.26392286705725
chr1	lod_2	Chrom1-5652	0	2.69138092347838
chr1	lod_2	Chrom1-17845954	41.5868001923233	3.93767874424586
chr1	lod_2	Chrom1-123567103	61.4481945915442	1.93724310111813
chr1	bayes	Chrom1-5652	0	2.69138092347838
chr1	bayes	Chrom1-17845954	41.5868001923233	3.93767874424586
chr1	bayes	Chrom1-145141298	118.923254448536	0.85271193016311
