chr	pos	lod
Chrom2-14667199	2	30.9155736940028	3.8241833629462
Chrom2-14782211	2	30.9155737940028	3.82418340942644
Chrom2-14886788	2	31.2692190489371	4.17156197892862
Chrom2-14936900	2	31.2692191489371	4.17156198482243
Chrom2-15041390	2	31.7515297290852	4.00695714262332
c2.loc32	2	32	3.89631094678097
Chrom2-15189735	2	32.2073523149975	3.79196683059459
Chrom2-15350197	2	32.2073524149975	3.79196681684371
c2.loc34	2	34	3.76266961193136
Chrom2-16351768	2	34.1843400430904	3.8738442219568
Chrom2-16510670	2	34.5739084191358	4.13374160960129
Chrom2-16616712	2	34.5739085191358	4.13374159850937
Chrom8-6089758	8	15.9050206005702	3.95493732365563
c8.loc16	8	16	3.9809768785066
Chrom8-6293093	8	16.3072098413285	4.04688085572363
Chrom8-6346206	8	16.4472736446452	4.04524197957161
Chrom8-6516128	8	16.8561779412487	3.8213056095338
Chrom8-6594013	8	16.8561780412487	3.82130561145888
Chrom8-6871641	8	17.7849750657077	3.77058617284797
Chrom8-6923893	8	17.7849751657077	3.77058618159984
c8.loc18	8	18	3.79343656814001
Chrom8-7041008	8	18.662858640646	3.82534705462547
Chrom8-7094681	8	18.662858740646	3.82534705198688
Chrom8-7201404	8	19.2731184141789	3.80824003210006
c8.loc22	8	22	3.88811751248315
Chrom8-8314882	8	22.1280164700244	3.93884525039525
Chrom8-8424279	8	22.1280165700244	3.93884525043941
Chrom8-8476434	8	22.1280166700244	3.93884530932399
Chrom8-12468218	8	32.4952083427474	3.75681700384789
Chrom8-12522729	8	32.4952084427474	3.75681699242608
